IGOR
X| Wed May 17 17:33:23 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  250   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		4.4250		
	1.0000		4.4250		
	2.0000		4.4269		
	3.0000		4.4300		
	4.0000		4.4279		
	5.0000		4.4250		
	6.0000		4.4218		
	7.0000		4.4200		
	8.0000		4.4200		
	9.0000		4.4214		
	10.0000		4.4220		
	11.0000		4.4232		
	12.0000		4.4250		
	13.0000		4.4254		
	14.0000		4.4270		
	15.0000		4.4291		
	16.0000		4.4300		
	17.0000		4.4312		
	18.0000		4.4320		
	19.0000		4.4320		
	20.0000		4.4350		
	21.0000		4.4354		
	22.0000		4.4364		
	23.0000		4.4362		
	24.0000		4.4350		
	25.0000		4.4344		
	26.0000		4.4318		
	27.0000		4.4300		
	28.0000		4.4300		
	29.0000		4.4273		
	30.0000		4.4260		
	31.0000		4.4229		
	32.0000		4.4202		
	33.0000		4.4176		
	34.0000		4.4158		
	35.0000		4.4141		
	36.0000		4.4120		
	37.0000		4.4108		
	38.0000		4.4073		
	39.0000		4.4054		
	40.0000		4.4010		
	41.0000		4.3974		
	42.0000		4.3932		
	43.0000		4.3888		
	44.0000		4.3858		
	45.0000		4.3826		
	46.0000		4.3810		
	47.0000		4.3800		
	48.0000		4.3800		
	49.0000		4.3800		
	50.0000		4.3800		
	51.0000		4.3800		
	52.0000		4.3810		
	53.0000		4.3820		
	54.0000		4.3820		
	55.0000		4.3820		
	56.0000		4.3812		
	57.0000		4.3800		
	58.0000		4.3797		
	59.0000		4.3770		
	60.0000		4.3770		
	61.0000		4.3770		
	62.0000		4.3766		
	63.0000		4.3741		
	64.0000		4.3720		
	65.0000		4.3700		
	66.0000		4.3688		
	67.0000		4.3670		
	68.0000		4.3670		
	69.0000		4.3662		
	70.0000		4.3650		
	71.0000		4.3650		
	72.0000		4.3650		
	73.0000		4.3654		
	74.0000		4.3670		
	75.0000		4.3697		
	76.0000		4.3724		
	77.0000		4.3756		
	78.0000		4.3782		
	79.0000		4.3812		
	80.0000		4.3844		
	81.0000		4.3870		
	82.0000		4.3891		
	83.0000		4.3923		
	84.0000		4.3950		
	85.0000		4.3960		
	86.0000		4.3970		
	87.0000		4.4000		
	88.0000		4.4002		
	89.0000		4.4016		
	90.0000		4.4023		
	91.0000		4.4050		
	92.0000		4.4052		
	93.0000		4.4060		
	94.0000		4.4064		
	95.0000		4.4070		
	96.0000		4.4070		
	97.0000		4.4100		
	98.0000		4.4100		
	99.0000		4.4120		
	100.0000		4.4141		
	101.0000		4.4160		
	102.0000		4.4170		
	103.0000		4.4170		
	104.0000		4.4170		
	105.0000		4.4170		
	106.0000		4.4170		
	107.0000		4.4156		
	108.0000		4.4150		
	109.0000		4.4150		
	110.0000		4.4150		
	111.0000		4.4150		
	112.0000		4.4126		
	113.0000		4.4120		
	114.0000		4.4120		
	115.0000		4.4114		
	116.0000		4.4100		
	117.0000		4.4100		
	118.0000		4.4108		
	119.0000		4.4106		
	120.0000		4.4104		
	121.0000		4.4116		
	122.0000		4.4120		
	123.0000		4.4118		
	124.0000		4.4102		
	125.0000		4.4100		
	126.0000		4.4100		
	127.0000		4.4100		
	128.0000		4.4079		
	129.0000		4.4070		
	130.0000		4.4066		
	131.0000		4.4050		
	132.0000		4.4050		
	133.0000		4.4050		
	134.0000		4.4050		
	135.0000		4.4050		
	136.0000		4.4050		
	137.0000		4.4047		
	138.0000		4.4050		
	139.0000		4.4050		
	140.0000		4.4050		
	141.0000		4.4050		
	142.0000		4.4050		
	143.0000		4.4020		
	144.0000		4.4020		
	145.0000		4.4014		
	146.0000		4.4002		
	147.0000		4.3997		
	148.0000		4.3970		
	149.0000		4.3970		
	150.0000		4.3956		
	151.0000		4.3938		
	152.0000		4.3910		
	153.0000		4.3879		
	154.0000		4.3852		
	155.0000		4.3826		
	156.0000		4.3791		
	157.0000		4.3748		
	158.0000		4.3703		
	159.0000		4.3655		
	160.0000		4.3610		
	161.0000		4.3576		
	162.0000		4.3538		
	163.0000		4.3520		
	164.0000		4.3504		
	165.0000		4.3500		
	166.0000		4.3500		
	167.0000		4.3500		
	168.0000		4.3506		
	169.0000		4.3520		
	170.0000		4.3535		
	171.0000		4.3564		
	172.0000		4.3593		
	173.0000		4.3632		
	174.0000		4.3685		
	175.0000		4.3749		
	176.0000		4.3823		
	177.0000		4.3892		
	178.0000		4.3965		
	179.0000		4.4035		
	180.0000		4.4113		
	181.0000		4.4192		
	182.0000		4.4263		
	183.0000		4.4333		
	184.0000		4.4395		
	185.0000		4.4452		
	186.0000		4.4513		
	187.0000		4.4565		
	188.0000		4.4612		
	189.0000		4.4658		
	190.0000		4.4691		
	191.0000		4.4714		
	192.0000		4.4720		
	193.0000		4.4720		
	194.0000		4.4706		
	195.0000		4.4688		
	196.0000		4.4662		
	197.0000		4.4635		
	198.0000		4.4610		
	199.0000		4.4582		
	200.0000		4.4560		
	201.0000		4.4535		
	202.0000		4.4506		
	203.0000		4.4488		
	204.0000		4.4470		
	205.0000		4.4470		
	206.0000		4.4470		
	207.0000		4.4468		
	208.0000		4.4470		
	209.0000		4.4470		
	210.0000		4.4470		
	211.0000		4.4476		
	212.0000		4.4500		
	213.0000		4.4502		
	214.0000		4.4500		
	215.0000		4.4491		
	216.0000		4.4466		
	217.0000		4.4435		
	218.0000		4.4405		
	219.0000		4.4349		
	220.0000		4.4292		
	221.0000		4.4228		
	222.0000		4.4178		
	223.0000		4.4113		
	224.0000		4.4040		
	225.0000		4.3982		
	226.0000		4.3923		
	227.0000		4.3852		
	228.0000		4.3795		
	229.0000		4.3753		
	230.0000		4.3708		
	231.0000		4.3671		
	232.0000		4.3644		
	233.0000		4.3620		
	234.0000		4.3608		
	235.0000		4.3597		
	236.0000		4.3570		
	237.0000		4.3566		
	238.0000		4.3550		
	239.0000		4.3541		
	240.0000		4.3520		
	241.0000		4.3520		
	242.0000		4.3520		
	243.0000		4.3502		
	244.0000		4.3502		
	245.0000		4.3500		
	246.0000		4.3500		
	247.0000		4.3491		
	248.0000		4.3470		
	249.0000		4.3466		
END
