IGOR
X| Fri May 19 20:13:08 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		0.1808		
	1.0000		0.1773		
	2.0000		0.1750		
	3.0000		0.1720		
	4.0000		0.1720		
	5.0000		0.1720		
	6.0000		0.1716		
	7.0000		0.1700		
	8.0000		0.1700		
	9.0000		0.1700		
	10.0000		0.1704		
	11.0000		0.1720		
	12.0000		0.1735		
	13.0000		0.1750		
	14.0000		0.1760		
	15.0000		0.1770		
	16.0000		0.1788		
	17.0000		0.1808		
	18.0000		0.1520		
	19.0000		0.1529		
	20.0000		0.1627		
	21.0000		0.1712		
	22.0000		0.1775		
	23.0000		0.1829		
	24.0000		0.1864		
	25.0000		0.1882		
	26.0000		0.1900		
	27.0000		0.1900		
	28.0000		0.1900		
	29.0000		0.1900		
	30.0000		0.1891		
	31.0000		0.1870		
	32.0000		0.1849		
	33.0000		0.1823		
	34.0000		0.1791		
	35.0000		0.1766		
	36.0000		0.1750		
	37.0000		0.1723		
	38.0000		0.1704		
	39.0000		0.1679		
	40.0000		0.1670		
	41.0000		0.1670		
	42.0000		0.1670		
	43.0000		0.1670		
	44.0000		0.1670		
	45.0000		0.1682		
	46.0000		0.1700		
	47.0000		0.1700		
	48.0000		0.1718		
	49.0000		0.1720		
	50.0000		0.1741		
	51.0000		0.1750		
	52.0000		0.1750		
	53.0000		0.1750		
	54.0000		0.1758		
	55.0000		0.1770		
	56.0000		0.1770		
	57.0000		0.1770		
	58.0000		0.1770		
	59.0000		0.1770		
	60.0000		0.1758		
	61.0000		0.1750		
	62.0000		0.1750		
	63.0000		0.1750		
	64.0000		0.1729		
	65.0000		0.1718		
	66.0000		0.1700		
	67.0000		0.1682		
	68.0000		0.1670		
	69.0000		0.1670		
	70.0000		0.1654		
	71.0000		0.1650		
	72.0000		0.1650		
	73.0000		0.1650		
	74.0000		0.1650		
	75.0000		0.1650		
	76.0000		0.1656		
	77.0000		0.1670		
	78.0000		0.1670		
	79.0000		0.1676		
	80.0000		0.1700		
	81.0000		0.1700		
	82.0000		0.1700		
	83.0000		0.1708		
	84.0000		0.1718		
	85.0000		0.1704		
	86.0000		0.1702		
	87.0000		0.1700		
	88.0000		0.1700		
	89.0000		0.1679		
	90.0000		0.1670		
	91.0000		0.1670		
	92.0000		0.1658		
	93.0000		0.1650		
	94.0000		0.1620		
	95.0000		0.1618		
	96.0000		0.1600		
	97.0000		0.1594		
	98.0000		0.1570		
	99.0000		0.1570		
	100.0000		0.1570		
	101.0000		0.1570		
	102.0000		0.1570		
	103.0000		0.1570		
	104.0000		0.1570		
	105.0000		0.1597		
	106.0000		0.1600		
	107.0000		0.1600		
	108.0000		0.1608		
	109.0000		0.1620		
	110.0000		0.1623		
	111.0000		0.1647		
	112.0000		0.1658		
	113.0000		0.1670		
	114.0000		0.1682		
	115.0000		0.1700		
	116.0000		0.1716		
	117.0000		0.1723		
	118.0000		0.1747		
	119.0000		0.1750		
	120.0000		0.1754		
	121.0000		0.1766		
	122.0000		0.1770		
	123.0000		0.1770		
	124.0000		0.1770		
	125.0000		0.1770		
	126.0000		0.1770		
	127.0000		0.1770		
	128.0000		0.1768		
	129.0000		0.1750		
	130.0000		0.1729		
	131.0000		0.1712		
	132.0000		0.1697		
	133.0000		0.1670		
	134.0000		0.1662		
	135.0000		0.1650		
	136.0000		0.1620		
	137.0000		0.1620		
	138.0000		0.1614		
	139.0000		0.1600		
	140.0000		0.1600		
	141.0000		0.1608		
	142.0000		0.1620		
	143.0000		0.1632		
	144.0000		0.1652		
	145.0000		0.1670		
	146.0000		0.1679		
	147.0000		0.1708		
	148.0000		0.1732		
	149.0000		0.1758		
	150.0000		0.1770		
	151.0000		0.1802		
	152.0000		0.1820		
	153.0000		0.1826		
	154.0000		0.1835		
	155.0000		0.1820		
	156.0000		0.1820		
	157.0000		0.1814		
	158.0000		0.1800		
	159.0000		0.1776		
	160.0000		0.1760		
	161.0000		0.1726		
	162.0000		0.1708		
	163.0000		0.1682		
	164.0000		0.1662		
	165.0000		0.1644		
	166.0000		0.1620		
	167.0000		0.1610		
	168.0000		0.1600		
	169.0000		0.1600		
	170.0000		0.1600		
	171.0000		0.1597		
	172.0000		0.1570		
	173.0000		0.1570		
	174.0000		0.1570		
	175.0000		0.1570		
	176.0000		0.1570		
	177.0000		0.1570		
	178.0000		0.1570		
	179.0000		0.1570		
	180.0000		0.1570		
	181.0000		0.1570		
	182.0000		0.1570		
	183.0000		0.1582		
	184.0000		0.1602		
	185.0000		0.1620		
	186.0000		0.1620		
	187.0000		0.1650		
	188.0000		0.1650		
	189.0000		0.1666		
	190.0000		0.1670		
	191.0000		0.1670		
	192.0000		0.1679		
	193.0000		0.1670		
	194.0000		0.1670		
	195.0000		0.1670		
	196.0000		0.1670		
	197.0000		0.1670		
	198.0000		0.1668		
	199.0000		0.1664		
	200.0000		0.1652		
	201.0000		0.1652		
	202.0000		0.1650		
	203.0000		0.1664		
	204.0000		0.1670		
	205.0000		0.1670		
	206.0000		0.1676		
	207.0000		0.1694		
	208.0000		0.1700		
	209.0000		0.1712		
	210.0000		0.1720		
	211.0000		0.1720		
	212.0000		0.1720		
	213.0000		0.1744		
	214.0000		0.1756		
	215.0000		0.1770		
	216.0000		0.1776		
	217.0000		0.1684		
	218.0000		0.1557		
	219.0000		0.1635		
	220.0000		0.1707		
	221.0000		0.1778		
	222.0000		0.1842		
	223.0000		0.1902		
	224.0000		0.1955		
	225.0000		0.1988		
	226.0000		0.2016		
	227.0000		0.2058		
	228.0000		0.2076		
	229.0000		0.2100		
	230.0000		0.2100		
	231.0000		0.2100		
