IGOR
X| Thu May 25 00:06:38 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		0.1179		
	1.0000		0.1170		
	2.0000		0.1170		
	3.0000		0.1158		
	4.0000		0.1144		
	5.0000		0.1120		
	6.0000		0.1106		
	7.0000		0.1085		
	8.0000		0.1070		
	9.0000		0.1054		
	10.0000		0.1041		
	11.0000		0.1020		
	12.0000		0.1012		
	13.0000		0.1000		
	14.0000		0.0979		
	15.0000		0.0970		
	16.0000		0.0970		
	17.0000		0.0970		
	18.0000		0.1000		
	19.0000		0.0960		
	20.0000		0.0867		
	21.0000		0.0928		
	22.0000		0.0999		
	23.0000		0.1065		
	24.0000		0.1142		
	25.0000		0.1213		
	26.0000		0.1280		
	27.0000		0.1354		
	28.0000		0.1430		
	29.0000		0.1497		
	30.0000		0.1560		
	31.0000		0.1585		
	32.0000		0.1616		
	33.0000		0.1644		
	34.0000		0.1660		
	35.0000		0.1670		
	36.0000		0.1658		
	37.0000		0.1650		
	38.0000		0.1629		
	39.0000		0.1601		
	40.0000		0.1570		
	41.0000		0.1550		
	42.0000		0.1512		
	43.0000		0.1467		
	44.0000		0.1422		
	45.0000		0.1376		
	46.0000		0.1341		
	47.0000		0.1308		
	48.0000		0.1276		
	49.0000		0.1252		
	50.0000		0.1220		
	51.0000		0.1206		
	52.0000		0.1200		
	53.0000		0.1200		
	54.0000		0.1200		
	55.0000		0.1200		
	56.0000		0.1214		
	57.0000		0.1220		
	58.0000		0.1247		
	59.0000		0.1256		
	60.0000		0.1270		
	61.0000		0.1285		
	62.0000		0.1300		
	63.0000		0.1312		
	64.0000		0.1320		
	65.0000		0.1320		
	66.0000		0.1320		
	67.0000		0.1320		
	68.0000		0.1302		
	69.0000		0.1300		
	70.0000		0.1279		
	71.0000		0.1266		
	72.0000		0.1250		
	73.0000		0.1229		
	74.0000		0.1218		
	75.0000		0.1200		
	76.0000		0.1182		
	77.0000		0.1170		
	78.0000		0.1154		
	79.0000		0.1135		
	80.0000		0.1120		
	81.0000		0.1114		
	82.0000		0.1100		
	83.0000		0.1100		
	84.0000		0.1079		
	85.0000		0.1070		
	86.0000		0.1070		
	87.0000		0.1070		
	88.0000		0.1070		
	89.0000		0.1070		
	90.0000		0.1070		
	91.0000		0.1088		
	92.0000		0.1100		
	93.0000		0.1102		
	94.0000		0.1120		
	95.0000		0.1120		
	96.0000		0.1135		
	97.0000		0.1150		
	98.0000		0.1150		
	99.0000		0.1150		
	100.0000		0.1150		
	101.0000		0.1150		
	102.0000		0.1150		
	103.0000		0.1144		
	104.0000		0.1120		
	105.0000		0.1120		
	106.0000		0.1106		
	107.0000		0.1097		
	108.0000		0.1076		
	109.0000		0.1070		
	110.0000		0.1070		
	111.0000		0.1070		
	112.0000		0.1070		
	113.0000		0.1070		
	114.0000		0.1076		
	115.0000		0.1100		
	116.0000		0.1108		
	117.0000		0.1120		
	118.0000		0.1144		
	119.0000		0.1170		
	120.0000		0.1185		
	121.0000		0.1204		
	122.0000		0.1220		
	123.0000		0.1250		
	124.0000		0.1268		
	125.0000		0.1294		
	126.0000		0.1310		
	127.0000		0.1320		
	128.0000		0.1347		
	129.0000		0.1350		
	130.0000		0.1350		
	131.0000		0.1350		
	132.0000		0.1350		
	133.0000		0.1335		
	134.0000		0.1320		
	135.0000		0.1316		
	136.0000		0.1300		
	137.0000		0.1270		
	138.0000		0.1258		
	139.0000		0.1235		
	140.0000		0.1214		
	141.0000		0.1194		
	142.0000		0.1170		
	143.0000		0.1156		
	144.0000		0.1141		
	145.0000		0.1120		
	146.0000		0.1120		
	147.0000		0.1106		
	148.0000		0.1100		
	149.0000		0.1100		
	150.0000		0.1100		
	151.0000		0.1100		
	152.0000		0.1112		
	153.0000		0.1120		
	154.0000		0.1135		
	155.0000		0.1158		
	156.0000		0.1170		
	157.0000		0.1188		
	158.0000		0.1210		
	159.0000		0.1238		
	160.0000		0.1266		
	161.0000		0.1294		
	162.0000		0.1314		
	163.0000		0.1332		
	164.0000		0.1350		
	165.0000		0.1364		
	166.0000		0.1370		
	167.0000		0.1370		
	168.0000		0.1364		
	169.0000		0.1350		
	170.0000		0.1335		
	171.0000		0.1316		
	172.0000		0.1291		
	173.0000		0.1266		
	174.0000		0.1232		
	175.0000		0.1208		
	176.0000		0.1179		
	177.0000		0.1158		
	178.0000		0.1126		
	179.0000		0.1094		
	180.0000		0.1070		
	181.0000		0.1052		
	182.0000		0.1032		
	183.0000		0.1020		
	184.0000		0.1008		
	185.0000		0.1000		
	186.0000		0.1000		
	187.0000		0.1000		
	188.0000		0.0997		
	189.0000		0.0988		
	190.0000		0.1000		
	191.0000		0.1000		
	192.0000		0.1018		
	193.0000		0.1046		
	194.0000		0.1076		
	195.0000		0.1120		
	196.0000		0.1169		
	197.0000		0.1210		
	198.0000		0.1260		
	199.0000		0.1313		
	200.0000		0.1365		
	201.0000		0.1412		
	202.0000		0.1455		
	203.0000		0.1485		
	204.0000		0.1512		
	205.0000		0.1520		
	206.0000		0.1523		
	207.0000		0.1520		
	208.0000		0.1510		
	209.0000		0.1497		
	210.0000		0.1466		
	211.0000		0.1438		
	212.0000		0.1406		
	213.0000		0.1373		
	214.0000		0.1354		
	215.0000		0.1326		
	216.0000		0.1308		
	217.0000		0.1300		
	218.0000		0.1287		
	219.0000		0.1088		
	220.0000		0.1057		
	221.0000		0.1142		
	222.0000		0.1210		
	223.0000		0.1278		
	224.0000		0.1342		
	225.0000		0.1392		
	226.0000		0.1442		
	227.0000		0.1493		
	228.0000		0.1535		
	229.0000		0.1568		
	230.0000		0.1576		
	231.0000		0.1600		
