IGOR
X| Wed May 24 23:58:46 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		0.1808		
	1.0000		0.1826		
	2.0000		0.1860		
	3.0000		0.1885		
	4.0000		0.1914		
	5.0000		0.1946		
	6.0000		0.1973		
	7.0000		0.2017		
	8.0000		0.2060		
	9.0000		0.2088		
	10.0000		0.2112		
	11.0000		0.2132		
	12.0000		0.2150		
	13.0000		0.2160		
	14.0000		0.2170		
	15.0000		0.2162		
	16.0000		0.2150		
	17.0000		0.2138		
	18.0000		0.2112		
	19.0000		0.1974		
	20.0000		0.1668		
	21.0000		0.1723		
	22.0000		0.1760		
	23.0000		0.1770		
	24.0000		0.1770		
	25.0000		0.1766		
	26.0000		0.1744		
	27.0000		0.1710		
	28.0000		0.1679		
	29.0000		0.1654		
	30.0000		0.1623		
	31.0000		0.1597		
	32.0000		0.1570		
	33.0000		0.1570		
	34.0000		0.1550		
	35.0000		0.1547		
	36.0000		0.1526		
	37.0000		0.1541		
	38.0000		0.1544		
	39.0000		0.1550		
	40.0000		0.1568		
	41.0000		0.1573		
	42.0000		0.1600		
	43.0000		0.1626		
	44.0000		0.1660		
	45.0000		0.1685		
	46.0000		0.1719		
	47.0000		0.1760		
	48.0000		0.1788		
	49.0000		0.1814		
	50.0000		0.1829		
	51.0000		0.1850		
	52.0000		0.1870		
	53.0000		0.1870		
	54.0000		0.1868		
	55.0000		0.1852		
	56.0000		0.1850		
	57.0000		0.1826		
	58.0000		0.1820		
	59.0000		0.1802		
	60.0000		0.1791		
	61.0000		0.1770		
	62.0000		0.1762		
	63.0000		0.1750		
	64.0000		0.1726		
	65.0000		0.1710		
	66.0000		0.1691		
	67.0000		0.1670		
	68.0000		0.1670		
	69.0000		0.1670		
	70.0000		0.1670		
	71.0000		0.1670		
	72.0000		0.1670		
	73.0000		0.1691		
	74.0000		0.1700		
	75.0000		0.1700		
	76.0000		0.1716		
	77.0000		0.1720		
	78.0000		0.1750		
	79.0000		0.1752		
	80.0000		0.1770		
	81.0000		0.1770		
	82.0000		0.1791		
	83.0000		0.1800		
	84.0000		0.1800		
	85.0000		0.1800		
	86.0000		0.1800		
	87.0000		0.1800		
	88.0000		0.1800		
	89.0000		0.1800		
	90.0000		0.1797		
	91.0000		0.1773		
	92.0000		0.1770		
	93.0000		0.1764		
	94.0000		0.1750		
	95.0000		0.1741		
	96.0000		0.1723		
	97.0000		0.1720		
	98.0000		0.1720		
	99.0000		0.1720		
	100.0000		0.1720		
	101.0000		0.1732		
	102.0000		0.1750		
	103.0000		0.1750		
	104.0000		0.1768		
	105.0000		0.1770		
	106.0000		0.1770		
	107.0000		0.1794		
	108.0000		0.1800		
	109.0000		0.1818		
	110.0000		0.1820		
	111.0000		0.1820		
	112.0000		0.1820		
	113.0000		0.1820		
	114.0000		0.1820		
	115.0000		0.1820		
	116.0000		0.1816		
	117.0000		0.1800		
	118.0000		0.1773		
	119.0000		0.1762		
	120.0000		0.1747		
	121.0000		0.1720		
	122.0000		0.1704		
	123.0000		0.1676		
	124.0000		0.1670		
	125.0000		0.1652		
	126.0000		0.1647		
	127.0000		0.1620		
	128.0000		0.1620		
	129.0000		0.1620		
	130.0000		0.1606		
	131.0000		0.1600		
	132.0000		0.1600		
	133.0000		0.1600		
	134.0000		0.1600		
	135.0000		0.1618		
	136.0000		0.1620		
	137.0000		0.1629		
	138.0000		0.1650		
	139.0000		0.1658		
	140.0000		0.1670		
	141.0000		0.1685		
	142.0000		0.1708		
	143.0000		0.1720		
	144.0000		0.1747		
	145.0000		0.1760		
	146.0000		0.1770		
	147.0000		0.1794		
	148.0000		0.1800		
	149.0000		0.1810		
	150.0000		0.1820		
	151.0000		0.1820		
	152.0000		0.1820		
	153.0000		0.1820		
	154.0000		0.1818		
	155.0000		0.1802		
	156.0000		0.1785		
	157.0000		0.1770		
	158.0000		0.1750		
	159.0000		0.1723		
	160.0000		0.1708		
	161.0000		0.1679		
	162.0000		0.1664		
	163.0000		0.1647		
	164.0000		0.1620		
	165.0000		0.1620		
	166.0000		0.1612		
	167.0000		0.1618		
	168.0000		0.1620		
	169.0000		0.1623		
	170.0000		0.1650		
	171.0000		0.1654		
	172.0000		0.1670		
	173.0000		0.1697		
	174.0000		0.1714		
	175.0000		0.1744		
	176.0000		0.1770		
	177.0000		0.1794		
	178.0000		0.1816		
	179.0000		0.1832		
	180.0000		0.1860		
	181.0000		0.1873		
	182.0000		0.1900		
	183.0000		0.1906		
	184.0000		0.1920		
	185.0000		0.1923		
	186.0000		0.1950		
	187.0000		0.1956		
	188.0000		0.1970		
	189.0000		0.1970		
	190.0000		0.1970		
	191.0000		0.1970		
	192.0000		0.1970		
	193.0000		0.1964		
	194.0000		0.1947		
	195.0000		0.1918		
	196.0000		0.1891		
	197.0000		0.1860		
	198.0000		0.1826		
	199.0000		0.1791		
	200.0000		0.1758		
	201.0000		0.1719		
	202.0000		0.1688		
	203.0000		0.1662		
	204.0000		0.1647		
	205.0000		0.1620		
	206.0000		0.1620		
	207.0000		0.1620		
	208.0000		0.1620		
	209.0000		0.1620		
	210.0000		0.1641		
	211.0000		0.1656		
	212.0000		0.1670		
	213.0000		0.1685		
	214.0000		0.1702		
	215.0000		0.1720		
	216.0000		0.1720		
	217.0000		0.1720		
	218.0000		0.1720		
	219.0000		0.1669		
	220.0000		0.1402		
	221.0000		0.1428		
	222.0000		0.1476		
	223.0000		0.1506		
	224.0000		0.1520		
	225.0000		0.1520		
	226.0000		0.1520		
	227.0000		0.1520		
	228.0000		0.1514		
	229.0000		0.1500		
	230.0000		0.1500		
	231.0000		0.1491		
