IGOR
X| Thu May 25 17:38:31 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		0.2318		
	1.0000		0.2320		
	2.0000		0.2320		
	3.0000		0.2320		
	4.0000		0.2320		
	5.0000		0.2320		
	6.0000		0.2320		
	7.0000		0.2320		
	8.0000		0.2320		
	9.0000		0.2341		
	10.0000		0.2350		
	11.0000		0.2370		
	12.0000		0.2370		
	13.0000		0.2397		
	14.0000		0.2402		
	15.0000		0.2420		
	16.0000		0.2420		
	17.0000		0.2420		
	18.0000		0.2432		
	19.0000		0.2438		
	20.0000		0.2426		
	21.0000		0.2420		
	22.0000		0.2420		
	23.0000		0.2420		
	24.0000		0.2420		
	25.0000		0.2412		
	26.0000		0.2400		
	27.0000		0.2400		
	28.0000		0.2400		
	29.0000		0.2379		
	30.0000		0.2370		
	31.0000		0.2370		
	32.0000		0.2370		
	33.0000		0.2370		
	34.0000		0.2319		
	35.0000		0.2155		
	36.0000		0.2198		
	37.0000		0.2247		
	38.0000		0.2293		
	39.0000		0.2329		
	40.0000		0.2360		
	41.0000		0.2382		
	42.0000		0.2410		
	43.0000		0.2453		
	44.0000		0.2493		
	45.0000		0.2540		
	46.0000		0.2579		
	47.0000		0.2617		
	48.0000		0.2662		
	49.0000		0.2698		
	50.0000		0.2735		
	51.0000		0.2766		
	52.0000		0.2788		
	53.0000		0.2800		
	54.0000		0.2810		
	55.0000		0.2810		
	56.0000		0.2800		
	57.0000		0.2776		
	58.0000		0.2760		
	59.0000		0.2717		
	60.0000		0.2682		
	61.0000		0.2643		
	62.0000		0.2605		
	63.0000		0.2562		
	64.0000		0.2513		
	65.0000		0.2469		
	66.0000		0.2432		
	67.0000		0.2399		
	68.0000		0.2368		
	69.0000		0.2341		
	70.0000		0.2314		
	71.0000		0.2297		
	72.0000		0.2270		
	73.0000		0.2270		
	74.0000		0.2270		
	75.0000		0.2270		
	76.0000		0.2270		
	77.0000		0.2270		
	78.0000		0.2270		
	79.0000		0.2288		
	80.0000		0.2302		
	81.0000		0.2318		
	82.0000		0.2338		
	83.0000		0.2354		
	84.0000		0.2370		
	85.0000		0.2370		
	86.0000		0.2370		
	87.0000		0.2370		
	88.0000		0.2388		
	89.0000		0.2400		
	90.0000		0.2400		
	91.0000		0.2400		
	92.0000		0.2400		
	93.0000		0.2400		
	94.0000		0.2385		
	95.0000		0.2370		
	96.0000		0.2370		
	97.0000		0.2370		
	98.0000		0.2370		
	99.0000		0.2370		
	100.0000		0.2370		
	101.0000		0.2370		
	102.0000		0.2370		
	103.0000		0.2370		
	104.0000		0.2370		
	105.0000		0.2370		
	106.0000		0.2370		
	107.0000		0.2370		
	108.0000		0.2382		
	109.0000		0.2400		
	110.0000		0.2400		
	111.0000		0.2408		
	112.0000		0.2420		
	113.0000		0.2420		
	114.0000		0.2432		
	115.0000		0.2450		
	116.0000		0.2450		
	117.0000		0.2450		
	118.0000		0.2452		
	119.0000		0.2456		
	120.0000		0.2458		
	121.0000		0.2450		
	122.0000		0.2450		
	123.0000		0.2450		
	124.0000		0.2450		
	125.0000		0.2447		
	126.0000		0.2420		
	127.0000		0.2420		
	128.0000		0.2420		
	129.0000		0.2420		
	130.0000		0.2402		
	131.0000		0.2400		
	132.0000		0.2400		
	133.0000		0.2400		
	134.0000		0.2394		
	135.0000		0.2373		
	136.0000		0.2370		
	137.0000		0.2370		
	138.0000		0.2373		
	139.0000		0.2379		
	140.0000		0.2397		
	141.0000		0.2400		
	142.0000		0.2410		
	143.0000		0.2420		
	144.0000		0.2423		
	145.0000		0.2450		
	146.0000		0.2450		
	147.0000		0.2452		
	148.0000		0.2468		
	149.0000		0.2470		
	150.0000		0.2470		
	151.0000		0.2470		
	152.0000		0.2470		
	153.0000		0.2464		
	154.0000		0.2450		
	155.0000		0.2450		
	156.0000		0.2432		
	157.0000		0.2420		
	158.0000		0.2404		
	159.0000		0.2397		
	160.0000		0.2370		
	161.0000		0.2370		
	162.0000		0.2358		
	163.0000		0.2344		
	164.0000		0.2323		
	165.0000		0.2320		
	166.0000		0.2306		
	167.0000		0.2300		
	168.0000		0.2288		
	169.0000		0.2270		
	170.0000		0.2270		
	171.0000		0.2270		
	172.0000		0.2270		
	173.0000		0.2270		
	174.0000		0.2270		
	175.0000		0.2282		
	176.0000		0.2302		
	177.0000		0.2320		
	178.0000		0.2338		
	179.0000		0.2364		
	180.0000		0.2370		
	181.0000		0.2400		
	182.0000		0.2414		
	183.0000		0.2423		
	184.0000		0.2450		
	185.0000		0.2450		
	186.0000		0.2468		
	187.0000		0.2470		
	188.0000		0.2470		
	189.0000		0.2470		
	190.0000		0.2470		
	191.0000		0.2454		
	192.0000		0.2450		
	193.0000		0.2450		
	194.0000		0.2450		
	195.0000		0.2423		
	196.0000		0.2416		
	197.0000		0.2400		
	198.0000		0.2388		
	199.0000		0.2370		
	200.0000		0.2370		
	201.0000		0.2368		
	202.0000		0.2352		
	203.0000		0.2341		
	204.0000		0.2323		
	205.0000		0.2320		
	206.0000		0.2320		
	207.0000		0.2320		
	208.0000		0.2320		
	209.0000		0.2320		
	210.0000		0.2326		
	211.0000		0.2352		
	212.0000		0.2370		
	213.0000		0.2379		
	214.0000		0.2402		
	215.0000		0.2426		
	216.0000		0.2460		
	217.0000		0.2488		
	218.0000		0.2512		
	219.0000		0.2549		
	220.0000		0.2573		
	221.0000		0.2600		
	222.0000		0.2620		
	223.0000		0.2620		
	224.0000		0.2638		
	225.0000		0.2650		
	226.0000		0.2644		
	227.0000		0.2623		
	228.0000		0.2620		
	229.0000		0.2600		
	230.0000		0.2579		
	231.0000		0.2558		
