IGOR
X| Tue May 30 20:34:59 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.0488		
	1.0000		-0.0454		
	2.0000		-0.0414		
	3.0000		-0.0379		
	4.0000		-0.0362		
	5.0000		-0.0344		
	6.0000		-0.0320		
	7.0000		-0.0314		
	8.0000		-0.0300		
	9.0000		-0.0276		
	10.0000		-0.0270		
	11.0000		-0.0258		
	12.0000		-0.0250		
	13.0000		-0.0250		
	14.0000		-0.0250		
	15.0000		-0.0250		
	16.0000		-0.0250		
	17.0000		-0.0252		
	18.0000		-0.0270		
	19.0000		-0.0270		
	20.0000		-0.0270		
	21.0000		-0.0270		
	22.0000		-0.0264		
	23.0000		-0.0260		
	24.0000		-0.0250		
	25.0000		-0.0250		
	26.0000		-0.0250		
	27.0000		-0.0250		
	28.0000		-0.0244		
	29.0000		-0.0220		
	30.0000		-0.0220		
	31.0000		-0.0218		
	32.0000		-0.0206		
	33.0000		-0.0200		
	34.0000		-0.0200		
	35.0000		-0.0200		
	36.0000		-0.0200		
	37.0000		-0.0200		
	38.0000		-0.0200		
	39.0000		-0.0200		
	40.0000		-0.0200		
	41.0000		-0.0200		
	42.0000		-0.0202		
	43.0000		-0.0204		
	44.0000		-0.0202		
	45.0000		-0.0200		
	46.0000		-0.0202		
	47.0000		-0.0220		
	48.0000		-0.0220		
	49.0000		-0.0220		
	50.0000		-0.0220		
	51.0000		-0.0220		
	52.0000		-0.0220		
	53.0000		-0.0220		
	54.0000		-0.0220		
	55.0000		-0.0223		
	56.0000		-0.0226		
	57.0000		-0.0250		
	58.0000		-0.0250		
	59.0000		-0.0244		
	60.0000		-0.0232		
	61.0000		-0.0223		
	62.0000		-0.0250		
	63.0000		-0.0232		
	64.0000		-0.0238		
	65.0000		-0.0238		
	66.0000		-0.0226		
	67.0000		-0.0235		
	68.0000		-0.0250		
	69.0000		-0.0250		
	70.0000		-0.0244		
	71.0000		-0.0220		
	72.0000		-0.0220		
	73.0000		-0.0220		
	74.0000		-0.0220		
	75.0000		-0.0220		
	76.0000		-0.0220		
	77.0000		-0.0220		
	78.0000		-0.0232		
	79.0000		-0.0220		
	80.0000		-0.0226		
	81.0000		-0.0220		
	82.0000		-0.0250		
	83.0000		-0.0250		
	84.0000		-0.0250		
	85.0000		-0.0250		
	86.0000		-0.0250		
	87.0000		-0.0250		
	88.0000		-0.0250		
	89.0000		-0.0250		
	90.0000		-0.0250		
	91.0000		-0.0244		
	92.0000		-0.0223		
	93.0000		-0.0220		
	94.0000		-0.0220		
	95.0000		-0.0220		
	96.0000		-0.0208		
	97.0000		-0.0204		
	98.0000		-0.0204		
	99.0000		-0.0214		
	100.0000		-0.0216		
	101.0000		-0.0208		
	102.0000		-0.0216		
	103.0000		-0.0216		
	104.0000		-0.0220		
	105.0000		-0.0220		
	106.0000		-0.0220		
	107.0000		-0.0220		
	108.0000		-0.0220		
	109.0000		-0.0220		
	110.0000		-0.0220		
	111.0000		-0.0220		
	112.0000		-0.0229		
	113.0000		-0.0223		
	114.0000		-0.0220		
	115.0000		-0.0220		
	116.0000		-0.0220		
	117.0000		-0.0220		
	118.0000		-0.0220		
	119.0000		-0.0220		
	120.0000		-0.0220		
	121.0000		-0.0220		
	122.0000		-0.0220		
	123.0000		-0.0220		
	124.0000		-0.0220		
	125.0000		-0.0220		
	126.0000		-0.0220		
	127.0000		-0.0220		
	128.0000		-0.0220		
	129.0000		-0.0216		
	130.0000		-0.0214		
	131.0000		-0.0202		
	132.0000		-0.0204		
	133.0000		-0.0200		
	134.0000		-0.0200		
	135.0000		-0.0202		
	136.0000		-0.0212		
	137.0000		-0.0220		
	138.0000		-0.0218		
	139.0000		-0.0200		
	140.0000		-0.0214		
	141.0000		-0.0216		
	142.0000		-0.0212		
	143.0000		-0.0206		
	144.0000		-0.0200		
	145.0000		-0.0204		
	146.0000		-0.0212		
	147.0000		-0.0220		
	148.0000		-0.0216		
	149.0000		-0.0202		
	150.0000		-0.0200		
	151.0000		-0.0200		
	152.0000		-0.0214		
	153.0000		-0.0220		
	154.0000		-0.0220		
	155.0000		-0.0220		
	156.0000		-0.0220		
	157.0000		-0.0220		
	158.0000		-0.0220		
	159.0000		-0.0220		
	160.0000		-0.0220		
	161.0000		-0.0220		
	162.0000		-0.0220		
	163.0000		-0.0220		
	164.0000		-0.0220		
	165.0000		-0.0232		
	166.0000		-0.0241		
	167.0000		-0.0223		
	168.0000		-0.0220		
	169.0000		-0.0220		
	170.0000		-0.0220		
	171.0000		-0.0232		
	172.0000		-0.0250		
	173.0000		-0.0250		
	174.0000		-0.0250		
	175.0000		-0.0250		
	176.0000		-0.0250		
	177.0000		-0.0250		
	178.0000		-0.0250		
	179.0000		-0.0250		
	180.0000		-0.0250		
	181.0000		-0.0250		
	182.0000		-0.0250		
	183.0000		-0.0250		
	184.0000		-0.0247		
	185.0000		-0.0247		
	186.0000		-0.0247		
	187.0000		-0.0226		
	188.0000		-0.0223		
	189.0000		-0.0250		
	190.0000		-0.0250		
	191.0000		-0.0250		
	192.0000		-0.0262		
	193.0000		-0.0260		
	194.0000		-0.0254		
	195.0000		-0.0266		
	196.0000		-0.0270		
	197.0000		-0.0256		
	198.0000		-0.0250		
	199.0000		-0.0250		
	200.0000		-0.0247		
	201.0000		-0.0250		
	202.0000		-0.0250		
	203.0000		-0.0250		
	204.0000		-0.0235		
	205.0000		-0.0220		
	206.0000		-0.0220		
	207.0000		-0.0220		
	208.0000		-0.0220		
	209.0000		-0.0220		
	210.0000		-0.0220		
	211.0000		-0.0220		
	212.0000		-0.0220		
	213.0000		-0.0220		
