IGOR
X| Sun Jun 18 12:58:55 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  400   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		0.0120		
	1.0000		0.0120		
	2.0000		0.0120		
	3.0000		0.0120		
	4.0000		0.0138		
	5.0000		0.0150		
	6.0000		0.0150		
	7.0000		0.0150		
	8.0000		0.0150		
	9.0000		0.0150		
	10.0000		0.0150		
	11.0000		0.0156		
	12.0000		0.0168		
	13.0000		0.0152		
	14.0000		0.0150		
	15.0000		0.0150		
	16.0000		0.0158		
	17.0000		0.0152		
	18.0000		0.0150		
	19.0000		0.0150		
	20.0000		0.0150		
	21.0000		0.0150		
	22.0000		0.0150		
	23.0000		0.0150		
	24.0000		0.0150		
	25.0000		0.0150		
	26.0000		0.0150		
	27.0000		0.0150		
	28.0000		0.0150		
	29.0000		0.0150		
	30.0000		0.0150		
	31.0000		0.0154		
	32.0000		0.0152		
	33.0000		0.0150		
	34.0000		0.0150		
	35.0000		0.0150		
	36.0000		0.0150		
	37.0000		0.0150		
	38.0000		0.0150		
	39.0000		0.0150		
	40.0000		0.0132		
	41.0000		0.0120		
	42.0000		0.0120		
	43.0000		0.0120		
	44.0000		0.0120		
	45.0000		0.0118		
	46.0000		0.0106		
	47.0000		0.0104		
	48.0000		0.0118		
	49.0000		0.0120		
	50.0000		0.0120		
	51.0000		0.0120		
	52.0000		0.0129		
	53.0000		0.0150		
	54.0000		0.0150		
	55.0000		0.0150		
	56.0000		0.0150		
	57.0000		0.0150		
	58.0000		0.0150		
	59.0000		0.0150		
	60.0000		0.0150		
	61.0000		0.0150		
	62.0000		0.0150		
	63.0000		0.0150		
	64.0000		0.0150		
	65.0000		0.0150		
	66.0000		0.0152		
	67.0000		0.0152		
	68.0000		0.0156		
	69.0000		0.0170		
	70.0000		0.0170		
	71.0000		0.0170		
	72.0000		0.0170		
	73.0000		0.0170		
	74.0000		0.0170		
	75.0000		0.0158		
	76.0000		0.0150		
	77.0000		0.0150		
	78.0000		0.0150		
	79.0000		0.0152		
	80.0000		0.0166		
	81.0000		0.0170		
	82.0000		0.0170		
	83.0000		0.0170		
	84.0000		0.0170		
	85.0000		0.0170		
	86.0000		0.0170		
	87.0000		0.0170		
	88.0000		0.0170		
	89.0000		0.0170		
	90.0000		0.0170		
	91.0000		0.0170		
	92.0000		0.0170		
	93.0000		0.0170		
	94.0000		0.0170		
	95.0000		0.0170		
	96.0000		0.0170		
	97.0000		0.0170		
	98.0000		0.0170		
	99.0000		0.0170		
	100.0000		0.0170		
	101.0000		0.0170		
	102.0000		0.0170		
	103.0000		0.0170		
	104.0000		0.0170		
	105.0000		0.0170		
	106.0000		0.0170		
	107.0000		0.0170		
	108.0000		0.0170		
	109.0000		0.0170		
	110.0000		0.0170		
	111.0000		0.0170		
	112.0000		0.0170		
	113.0000		0.0170		
	114.0000		0.0170		
	115.0000		0.0170		
	116.0000		0.0194		
	117.0000		0.0200		
	118.0000		0.0200		
	119.0000		0.0200		
	120.0000		0.0200		
	121.0000		0.0200		
	122.0000		0.0200		
	123.0000		0.0197		
	124.0000		0.0194		
	125.0000		0.0197		
	126.0000		0.0170		
	127.0000		0.0179		
	128.0000		0.0197		
	129.0000		0.0200		
	130.0000		0.0200		
	131.0000		0.0200		
	132.0000		0.0200		
	133.0000		0.0200		
	134.0000		0.0200		
	135.0000		0.0200		
	136.0000		0.0200		
	137.0000		0.0200		
	138.0000		0.0200		
	139.0000		0.0200		
	140.0000		0.0200		
	141.0000		0.0200		
	142.0000		0.0200		
	143.0000		0.0200		
	144.0000		0.0200		
	145.0000		0.0200		
	146.0000		0.0170		
	147.0000		0.0170		
	148.0000		0.0170		
	149.0000		0.0170		
	150.0000		0.0170		
	151.0000		0.0170		
	152.0000		0.0170		
	153.0000		0.0170		
	154.0000		0.0170		
	155.0000		0.0170		
	156.0000		0.0170		
	157.0000		0.0170		
	158.0000		0.0170		
	159.0000		0.0170		
	160.0000		0.0170		
	161.0000		0.0170		
	162.0000		0.0170		
	163.0000		0.0170		
