IGOR
X| Sun Jun 18 13:04:23 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  400   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		0.0150		
	1.0000		0.0150		
	2.0000		0.0162		
	3.0000		0.0166		
	4.0000		0.0170		
	5.0000		0.0170		
	6.0000		0.0158		
	7.0000		0.0152		
	8.0000		0.0156		
	9.0000		0.0152		
	10.0000		0.0152		
	11.0000		0.0164		
	12.0000		0.0168		
	13.0000		0.0170		
	14.0000		0.0162		
	15.0000		0.0150		
	16.0000		0.0150		
	17.0000		0.0150		
	18.0000		0.0150		
	19.0000		0.0150		
	20.0000		0.0132		
	21.0000		0.0123		
	22.0000		0.0141		
	23.0000		0.0150		
	24.0000		0.0150		
	25.0000		0.0150		
	26.0000		0.0150		
	27.0000		0.0150		
	28.0000		0.0150		
	29.0000		0.0150		
	30.0000		0.0150		
	31.0000		0.0150		
	32.0000		0.0150		
	33.0000		0.0150		
	34.0000		0.0150		
	35.0000		0.0150		
	36.0000		0.0150		
	37.0000		0.0147		
	38.0000		0.0141		
	39.0000		0.0141		
	40.0000		0.0147		
	41.0000		0.0147		
	42.0000		0.0141		
	43.0000		0.0120		
	44.0000		0.0120		
	45.0000		0.0120		
	46.0000		0.0120		
	47.0000		0.0120		
	48.0000		0.0120		
	49.0000		0.0120		
	50.0000		0.0120		
	51.0000		0.0120		
	52.0000		0.0120		
	53.0000		0.0120		
	54.0000		0.0120		
	55.0000		0.0120		
	56.0000		0.0120		
	57.0000		0.0120		
	58.0000		0.0120		
	59.0000		0.0120		
	60.0000		0.0120		
	61.0000		0.0120		
	62.0000		0.0120		
	63.0000		0.0108		
	64.0000		0.0100		
	65.0000		0.0100		
	66.0000		0.0100		
	67.0000		0.0100		
	68.0000		0.0100		
	69.0000		0.0100		
	70.0000		0.0100		
	71.0000		0.0100		
	72.0000		0.0100		
	73.0000		0.0100		
	74.0000		0.0100		
	75.0000		0.0104		
	76.0000		0.0120		
	77.0000		0.0120		
	78.0000		0.0120		
	79.0000		0.0123		
	80.0000		0.0123		
	81.0000		0.0132		
	82.0000		0.0138		
	83.0000		0.0123		
	84.0000		0.0123		
	85.0000		0.0132		
	86.0000		0.0147		
	87.0000		0.0150		
	88.0000		0.0150		
	89.0000		0.0150		
	90.0000		0.0150		
	91.0000		0.0150		
	92.0000		0.0150		
	93.0000		0.0150		
	94.0000		0.0152		
	95.0000		0.0152		
	96.0000		0.0154		
	97.0000		0.0152		
	98.0000		0.0158		
	99.0000		0.0170		
	100.0000		0.0170		
	101.0000		0.0170		
	102.0000		0.0168		
	103.0000		0.0156		
	104.0000		0.0150		
	105.0000		0.0150		
	106.0000		0.0150		
	107.0000		0.0150		
	108.0000		0.0150		
	109.0000		0.0150		
	110.0000		0.0150		
	111.0000		0.0150		
	112.0000		0.0150		
	113.0000		0.0150		
	114.0000		0.0150		
	115.0000		0.0150		
	116.0000		0.0150		
	117.0000		0.0150		
	118.0000		0.0150		
	119.0000		0.0150		
	120.0000		0.0150		
	121.0000		0.0150		
	122.0000		0.0150		
	123.0000		0.0150		
	124.0000		0.0150		
	125.0000		0.0150		
	126.0000		0.0170		
	127.0000		0.0170		
	128.0000		0.0170		
	129.0000		0.0170		
	130.0000		0.0170		
	131.0000		0.0170		
	132.0000		0.0170		
	133.0000		0.0170		
	134.0000		0.0170		
	135.0000		0.0170		
	136.0000		0.0170		
	137.0000		0.0170		
	138.0000		0.0173		
	139.0000		0.0176		
	140.0000		0.0170		
	141.0000		0.0173		
	142.0000		0.0194		
	143.0000		0.0200		
	144.0000		0.0200		
	145.0000		0.0200		
	146.0000		0.0200		
	147.0000		0.0200		
	148.0000		0.0200		
	149.0000		0.0200		
	150.0000		0.0200		
	151.0000		0.0200		
	152.0000		0.0200		
	153.0000		0.0185		
	154.0000		0.0170		
	155.0000		0.0170		
	156.0000		0.0170		
	157.0000		0.0170		
	158.0000		0.0170		
	159.0000		0.0170		
	160.0000		0.0170		
	161.0000		0.0170		
	162.0000		0.0170		
	163.0000		0.0170		
