IGOR
X| Thu Jun 08 18:11:30 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.0350		
	1.0000		-0.0260		
	2.0000		-0.0183		
	3.0000		-0.0120		
	4.0000		-0.0079		
	5.0000		-0.0012		
	6.0000		0.0023		
	7.0000		0.0050		
	8.0000		0.0054		
	9.0000		0.0066		
	10.0000		0.0070		
	11.0000		0.0097		
	12.0000		0.0100		
	13.0000		0.0120		
	14.0000		0.0120		
	15.0000		0.0120		
	16.0000		0.0120		
	17.0000		0.0120		
	18.0000		0.0120		
	19.0000		0.0106		
	20.0000		0.0100		
	21.0000		0.0100		
	22.0000		0.0088		
	23.0000		0.0073		
	24.0000		0.0079		
	25.0000		0.0100		
	26.0000		0.0100		
	27.0000		0.0100		
	28.0000		0.0088		
	29.0000		0.0070		
	30.0000		0.0070		
	31.0000		0.0070		
	32.0000		0.0070		
	33.0000		0.0070		
	34.0000		0.0062		
	35.0000		0.0050		
	36.0000		0.0050		
	37.0000		0.0050		
	38.0000		0.0044		
	39.0000		0.0020		
	40.0000		0.0020		
	41.0000		0.0002		
	42.0000		0.0000		
	43.0000		0.0000		
	44.0000		0.0002		
	45.0000		0.0000		
	46.0000		0.0000		
	47.0000		0.0000		
	48.0000		0.0000		
	49.0000		0.0010		
	50.0000		0.0020		
	51.0000		0.0020		
	52.0000		0.0041		
	53.0000		0.0050		
	54.0000		0.0050		
	55.0000		0.0044		
	56.0000		0.0038		
	57.0000		0.0026		
	58.0000		0.0020		
	59.0000		0.0016		
	60.0000		0.0006		
	61.0000		0.0000		
	62.0000		0.0000		
	63.0000		0.0000		
	64.0000		-0.0015		
	65.0000		-0.0066		
	66.0000		-0.0066		
	67.0000		-0.0062		
	68.0000		-0.0034		
	69.0000		0.0000		
	70.0000		0.0000		
	71.0000		0.0000		
	72.0000		0.0000		
	73.0000		0.0010		
	74.0000		0.0020		
	75.0000		0.0020		
	76.0000		0.0008		
	77.0000		0.0000		
	78.0000		-0.0010		
	79.0000		-0.0068		
	80.0000		-0.0073		
	81.0000		-0.0097		
	82.0000		-0.0100		
	83.0000		-0.0100		
	84.0000		-0.0100		
	85.0000		-0.0100		
	86.0000		-0.0100		
	87.0000		-0.0100		
	88.0000		-0.0073		
	89.0000		-0.0070		
	90.0000		-0.0066		
	91.0000		-0.0058		
	92.0000		-0.0030		
	93.0000		0.0000		
	94.0000		0.0000		
	95.0000		0.0000		
	96.0000		0.0000		
	97.0000		0.0000		
	98.0000		0.0000		
	99.0000		0.0000		
	100.0000		0.0012		
	101.0000		0.0020		
	102.0000		0.0020		
	103.0000		0.0020		
	104.0000		0.0020		
	105.0000		0.0016		
	106.0000		0.0004		
	107.0000		0.0000		
	108.0000		0.0000		
	109.0000		0.0000		
	110.0000		-0.0005		
	111.0000		0.0000		
	112.0000		0.0000		
	113.0000		0.0000		
	114.0000		-0.0020		
	115.0000		-0.0039		
	116.0000		-0.0010		
	117.0000		0.0000		
	118.0000		0.0000		
	119.0000		0.0000		
	120.0000		0.0002		
	121.0000		0.0012		
	122.0000		0.0020		
	123.0000		0.0020		
	124.0000		0.0020		
	125.0000		0.0020		
	126.0000		0.0020		
	127.0000		0.0020		
	128.0000		0.0029		
	129.0000		0.0044		
	130.0000		0.0050		
	131.0000		0.0050		
	132.0000		0.0050		
	133.0000		0.0050		
	134.0000		0.0047		
	135.0000		0.0050		
	136.0000		0.0050		
	137.0000		0.0050		
	138.0000		0.0050		
	139.0000		0.0052		
	140.0000		0.0050		
	141.0000		0.0050		
	142.0000		0.0050		
	143.0000		0.0060		
	144.0000		0.0068		
	145.0000		0.0070		
	146.0000		0.0070		
	147.0000		0.0070		
	148.0000		0.0070		
	149.0000		0.0070		
	150.0000		0.0054		
	151.0000		0.0050		
	152.0000		0.0038		
	153.0000		0.0020		
	154.0000		0.0047		
	155.0000		0.0050		
	156.0000		0.0064		
	157.0000		0.0070		
	158.0000		0.0070		
	159.0000		0.0052		
	160.0000		0.0050		
	161.0000		0.0050		
	162.0000		0.0050		
	163.0000		0.0050		
	164.0000		0.0050		
	165.0000		0.0041		
	166.0000		0.0044		
	167.0000		0.0050		
	168.0000		0.0047		
	169.0000		0.0050		
	170.0000		0.0056		
	171.0000		0.0070		
	172.0000		0.0070		
	173.0000		0.0070		
	174.0000		0.0070		
	175.0000		0.0070		
	176.0000		0.0070		
	177.0000		0.0073		
	178.0000		0.0100		
	179.0000		0.0100		
	180.0000		0.0120		
	181.0000		0.0129		
	182.0000		0.0147		
	183.0000		0.0150		
	184.0000		0.0160		
	185.0000		0.0170		
	186.0000		0.0170		
	187.0000		0.0170		
	188.0000		0.0170		
	189.0000		0.0170		
	190.0000		0.0170		
	191.0000		0.0170		
	192.0000		0.0170		
	193.0000		0.0170		
	194.0000		0.0170		
	195.0000		0.0170		
	196.0000		0.0173		
	197.0000		0.0185		
	198.0000		0.0176		
	199.0000		0.0170		
	200.0000		0.0170		
	201.0000		0.0170		
	202.0000		0.0170		
	203.0000		0.0170		
	204.0000		0.0162		
	205.0000		0.0160		
	206.0000		0.0150		
	207.0000		0.0150		
	208.0000		0.0150		
	209.0000		0.0150		
	210.0000		0.0150		
	211.0000		0.0150		
	212.0000		0.0150		
	213.0000		0.0150		
	214.0000		0.0147		
	215.0000		0.0123		
	216.0000		0.0120		
	217.0000		0.0120		
	218.0000		0.0120		
	219.0000		0.0118		
	220.0000		0.0110		
	221.0000		0.0102		
	222.0000		0.0114		
	223.0000		0.0120		
	224.0000		0.0144		
	225.0000		0.0150		
	226.0000		0.0166		
	227.0000		0.0162		
	228.0000		0.0168		
