IGOR
X| Tue Jul 11 15:24:43 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  200   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.0300		
	1.0000		-0.0279		
	2.0000		-0.0276		
	3.0000		-0.0270		
	4.0000		-0.0268		
	5.0000		-0.0252		
	6.0000		-0.0238		
	7.0000		-0.0235		
	8.0000		-0.0235		
	9.0000		-0.0250		
	10.0000		-0.0247		
	11.0000		-0.0262		
	12.0000		-0.0262		
	13.0000		-0.0241		
	14.0000		-0.0266		
	15.0000		-0.0247		
	16.0000		-0.0238		
	17.0000		-0.0241		
	18.0000		-0.0250		
	19.0000		-0.0244		
	20.0000		-0.0262		
	21.0000		-0.0273		
	22.0000		-0.0256		
	23.0000		-0.0244		
	24.0000		-0.0232		
	25.0000		-0.0254		
	26.0000		-0.0270		
	27.0000		-0.0273		
	28.0000		-0.0270		
	29.0000		-0.0268		
	30.0000		-0.0252		
	31.0000		-0.0250		
	32.0000		-0.0238		
	33.0000		-0.0250		
	34.0000		-0.0252		
	35.0000		-0.0238		
	36.0000		-0.0238		
	37.0000		-0.0220		
	38.0000		-0.0216		
	39.0000		-0.0232		
	40.0000		-0.0250		
	41.0000		-0.0250		
	42.0000		-0.0252		
	43.0000		-0.0262		
	44.0000		-0.0270		
	45.0000		-0.0291		
	46.0000		-0.0300		
	47.0000		-0.0282		
	48.0000		-0.0279		
	49.0000		-0.0266		
	50.0000		-0.0256		
	51.0000		-0.0270		
	52.0000		-0.0273		
	53.0000		-0.0270		
	54.0000		-0.0256		
	55.0000		-0.0229		
	56.0000		-0.0244		
	57.0000		-0.0260		
	58.0000		-0.0270		
	59.0000		-0.0273		
	60.0000		-0.0273		
	61.0000		-0.0282		
	62.0000		-0.0270		
	63.0000		-0.0276		
	64.0000		-0.0270		
	65.0000		-0.0270		
	66.0000		-0.0244		
	67.0000		-0.0226		
	68.0000		-0.0229		
	69.0000		-0.0235		
	70.0000		-0.0256		
	71.0000		-0.0256		
	72.0000		-0.0268		
	73.0000		-0.0258		
	74.0000		-0.0262		
	75.0000		-0.0241		
	76.0000		-0.0229		
	77.0000		-0.0220		
	78.0000		-0.0218		
	79.0000		-0.0220		
	80.0000		-0.0256		
	81.0000		-0.0252		
	82.0000		-0.0268		
	83.0000		-0.0306		
	84.0000		-0.0323		
	85.0000		-0.0332		
	86.0000		-0.0335		
	87.0000		-0.0350		
	88.0000		-0.0338		
	89.0000		-0.0320		
	90.0000		-0.0304		
	91.0000		-0.0300		
	92.0000		-0.0279		
	93.0000		-0.0285		
	94.0000		-0.0300		
	95.0000		-0.0300		
	96.0000		-0.0294		
	97.0000		-0.0279		
	98.0000		-0.0279		
	99.0000		-0.0270		
	100.0000		-0.0270		
	101.0000		-0.0254		
	102.0000		-0.0250		
	103.0000		-0.0252		
	104.0000		-0.0268		
	105.0000		-0.0268		
	106.0000		-0.0270		
	107.0000		-0.0249		
	108.0000		-0.0229		
	109.0000		-0.0223		
	110.0000		-0.0235		
	111.0000		-0.0244		
	112.0000		-0.0229		
	113.0000		-0.0238		
	114.0000		-0.0226		
	115.0000		-0.0220		
	116.0000		-0.0220		
	117.0000		-0.0232		
	118.0000		-0.0229		
	119.0000		-0.0207		
	120.0000		-0.0200		
	121.0000		-0.0220		
	122.0000		-0.0208		
	123.0000		-0.0200		
	124.0000		-0.0204		
	125.0000		-0.0200		
	126.0000		-0.0206		
	127.0000		-0.0206		
	128.0000		-0.0204		
	129.0000		-0.0220		
	130.0000		-0.0218		
	131.0000		-0.0220		
	132.0000		-0.0223		
	133.0000		-0.0258		
	134.0000		-0.0270		
	135.0000		-0.0264		
	136.0000		-0.0249		
	137.0000		-0.0229		
	138.0000		-0.0250		
	139.0000		-0.0241		
	140.0000		-0.0235		
	141.0000		-0.0226		
	142.0000		-0.0241		
	143.0000		-0.0247		
	144.0000		-0.0223		
	145.0000		-0.0223		
	146.0000		-0.0238		
	147.0000		-0.0223		
	148.0000		-0.0220		
	149.0000		-0.0226		
	150.0000		-0.0244		
	151.0000		-0.0254		
	152.0000		-0.0264		
	153.0000		-0.0270		
	154.0000		-0.0279		
	155.0000		-0.0279		
	156.0000		-0.0262		
	157.0000		-0.0270		
	158.0000		-0.0268		
	159.0000		-0.0235		
	160.0000		-0.0220		
	161.0000		-0.0220		
	162.0000		-0.0220		
	163.0000		-0.0223		
	164.0000		-0.0252		
	165.0000		-0.0256		
	166.0000		-0.0260		
	167.0000		-0.0260		
	168.0000		-0.0252		
	169.0000		-0.0270		
	170.0000		-0.0251		
	171.0000		-0.0223		
	172.0000		-0.0262		
	173.0000		-0.0262		
	174.0000		-0.0268		
	175.0000		-0.0254		
	176.0000		-0.0250		
	177.0000		-0.0250		
	178.0000		-0.0254		
	179.0000		-0.0250		
	180.0000		-0.0247		
	181.0000		-0.0223		
	182.0000		-0.0255		
	183.0000		-0.0254		
	184.0000		-0.0244		
	185.0000		-0.0250		
	186.0000		-0.0254		
	187.0000		-0.0262		
	188.0000		-0.0294		
	189.0000		-0.0296		
	190.0000		-0.0282		
	191.0000		-0.0288		
	192.0000		-0.0273		
	193.0000		-0.0258		
	194.0000		-0.0252		
	195.0000		-0.0247		
	196.0000		-0.0247		
	197.0000		-0.0262		
	198.0000		-0.0266		
	199.0000		-0.0291		
END
