IGOR
X| Tue Jul 11 17:28:45 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  200   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1319		
	1.0000		-0.1344		
	2.0000		-0.1362		
	3.0000		-0.1370		
	4.0000		-0.1357		
	5.0000		-0.1334		
	6.0000		-0.1344		
	7.0000		-0.1351		
	8.0000		-0.1350		
	9.0000		-0.1319		
	10.0000		-0.1288		
	11.0000		-0.1301		
	12.0000		-0.1300		
	13.0000		-0.1262		
	14.0000		-0.1294		
	15.0000		-0.1308		
	16.0000		-0.1332		
	17.0000		-0.1350		
	18.0000		-0.1351		
	19.0000		-0.1349		
	20.0000		-0.1312		
	21.0000		-0.1304		
	22.0000		-0.1297		
	23.0000		-0.1314		
	24.0000		-0.1306		
	25.0000		-0.1326		
	26.0000		-0.1368		
	27.0000		-0.1383		
	28.0000		-0.1385		
	29.0000		-0.1352		
	30.0000		-0.1327		
	31.0000		-0.1296		
	32.0000		-0.1305		
	33.0000		-0.1359		
	34.0000		-0.1388		
	35.0000		-0.1435		
	36.0000		-0.1449		
	37.0000		-0.1438		
	38.0000		-0.1447		
	39.0000		-0.1426		
	40.0000		-0.1388		
	41.0000		-0.1382		
	42.0000		-0.1385		
	43.0000		-0.1388		
	44.0000		-0.1373		
	45.0000		-0.1388		
	46.0000		-0.1412		
	47.0000		-0.1420		
	48.0000		-0.1395		
	49.0000		-0.1362		
	50.0000		-0.1367		
	51.0000		-0.1374		
	52.0000		-0.1364		
	53.0000		-0.1376		
	54.0000		-0.1367		
	55.0000		-0.1362		
	56.0000		-0.1335		
	57.0000		-0.1318		
	58.0000		-0.1347		
	59.0000		-0.1335		
	60.0000		-0.1350		
	61.0000		-0.1365		
	62.0000		-0.1406		
	63.0000		-0.1351		
	64.0000		-0.1338		
	65.0000		-0.1352		
	66.0000		-0.1352		
	67.0000		-0.1343		
	68.0000		-0.1338		
	69.0000		-0.1335		
	70.0000		-0.1299		
	71.0000		-0.1310		
	72.0000		-0.1335		
	73.0000		-0.1332		
	74.0000		-0.1335		
	75.0000		-0.1321		
	76.0000		-0.1308		
	77.0000		-0.1316		
	78.0000		-0.1306		
	79.0000		-0.1319		
	80.0000		-0.1318		
	81.0000		-0.1302		
	82.0000		-0.1326		
	83.0000		-0.1348		
	84.0000		-0.1354		
	85.0000		-0.1356		
	86.0000		-0.1318		
	87.0000		-0.1323		
	88.0000		-0.1316		
	89.0000		-0.1294		
	90.0000		-0.1287		
	91.0000		-0.1288		
	92.0000		-0.1279		
	93.0000		-0.1274		
	94.0000		-0.1300		
	95.0000		-0.1291		
	96.0000		-0.1316		
	97.0000		-0.1314		
	98.0000		-0.1320		
	99.0000		-0.1320		
	100.0000		-0.1320		
	101.0000		-0.1321		
	102.0000		-0.1366		
	103.0000		-0.1345		
	104.0000		-0.1357		
	105.0000		-0.1360		
	106.0000		-0.1346		
	107.0000		-0.1346		
	108.0000		-0.1335		
	109.0000		-0.1321		
	110.0000		-0.1338		
	111.0000		-0.1358		
	112.0000		-0.1349		
	113.0000		-0.1376		
	114.0000		-0.1392		
	115.0000		-0.1412		
	116.0000		-0.1388		
	117.0000		-0.1360		
	118.0000		-0.1370		
	119.0000		-0.1406		
	120.0000		-0.1412		
	121.0000		-0.1381		
	122.0000		-0.1353		
	123.0000		-0.1335		
	124.0000		-0.1360		
	125.0000		-0.1360		
	126.0000		-0.1392		
	127.0000		-0.1393		
	128.0000		-0.1414		
	129.0000		-0.1438		
	130.0000		-0.1422		
	131.0000		-0.1369		
	132.0000		-0.1346		
	133.0000		-0.1335		
	134.0000		-0.1373		
	135.0000		-0.1397		
	136.0000		-0.1414		
	137.0000		-0.1391		
	138.0000		-0.1401		
	139.0000		-0.1441		
	140.0000		-0.1438		
	141.0000		-0.1430		
	142.0000		-0.1395		
	143.0000		-0.1427		
	144.0000		-0.1421		
	145.0000		-0.1408		
	146.0000		-0.1391		
	147.0000		-0.1408		
	148.0000		-0.1376		
	149.0000		-0.1366		
	150.0000		-0.1354		
	151.0000		-0.1352		
	152.0000		-0.1354		
	153.0000		-0.1360		
	154.0000		-0.1360		
	155.0000		-0.1354		
	156.0000		-0.1347		
	157.0000		-0.1352		
	158.0000		-0.1329		
	159.0000		-0.1339		
	160.0000		-0.1340		
	161.0000		-0.1300		
	162.0000		-0.1296		
	163.0000		-0.1288		
	164.0000		-0.1323		
	165.0000		-0.1311		
	166.0000		-0.1276		
	167.0000		-0.1262		
	168.0000		-0.1291		
	169.0000		-0.1341		
	170.0000		-0.1385		
	171.0000		-0.1353		
	172.0000		-0.1323		
	173.0000		-0.1332		
	174.0000		-0.1341		
	175.0000		-0.1316		
	176.0000		-0.1323		
	177.0000		-0.1344		
	178.0000		-0.1324		
	179.0000		-0.1279		
	180.0000		-0.1280		
	181.0000		-0.1290		
	182.0000		-0.1344		
	183.0000		-0.1353		
	184.0000		-0.1354		
	185.0000		-0.1370		
	186.0000		-0.1376		
	187.0000		-0.1366		
	188.0000		-0.1358		
	189.0000		-0.1374		
	190.0000		-0.1362		
	191.0000		-0.1372		
	192.0000		-0.1362		
	193.0000		-0.1324		
	194.0000		-0.1300		
	195.0000		-0.1323		
	196.0000		-0.1348		
	197.0000		-0.1352		
	198.0000		-0.1356		
	199.0000		-0.1344		
END
