IGOR
X| Tue Jul 11 15:38:15 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  200   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1776		
	1.0000		-0.1840		
	2.0000		-0.1847		
	3.0000		-0.1835		
	4.0000		-0.1847		
	5.0000		-0.1858		
	6.0000		-0.1856		
	7.0000		-0.1854		
	8.0000		-0.1860		
	9.0000		-0.1858		
	10.0000		-0.1876		
	11.0000		-0.1845		
	12.0000		-0.1804		
	13.0000		-0.1806		
	14.0000		-0.1799		
	15.0000		-0.1773		
	16.0000		-0.1814		
	17.0000		-0.1856		
	18.0000		-0.1856		
	19.0000		-0.1850		
	20.0000		-0.1810		
	21.0000		-0.1814		
	22.0000		-0.1818		
	23.0000		-0.1826		
	24.0000		-0.1829		
	25.0000		-0.1826		
	26.0000		-0.1818		
	27.0000		-0.1829		
	28.0000		-0.1826		
	29.0000		-0.1838		
	30.0000		-0.1861		
	31.0000		-0.1875		
	32.0000		-0.1854		
	33.0000		-0.1844		
	34.0000		-0.1804		
	35.0000		-0.1794		
	36.0000		-0.1791		
	37.0000		-0.1785		
	38.0000		-0.1768		
	39.0000		-0.1770		
	40.0000		-0.1766		
	41.0000		-0.1770		
	42.0000		-0.1788		
	43.0000		-0.1808		
	44.0000		-0.1812		
	45.0000		-0.1800		
	46.0000		-0.1797		
	47.0000		-0.1810		
	48.0000		-0.1797		
	49.0000		-0.1782		
	50.0000		-0.1785		
	51.0000		-0.1811		
	52.0000		-0.1774		
	53.0000		-0.1783		
	54.0000		-0.1810		
	55.0000		-0.1820		
	56.0000		-0.1847		
	57.0000		-0.1832		
	58.0000		-0.1855		
	59.0000		-0.1858		
	60.0000		-0.1862		
	61.0000		-0.1823		
	62.0000		-0.1825		
	63.0000		-0.1820		
	64.0000		-0.1817		
	65.0000		-0.1791		
	66.0000		-0.1773		
	67.0000		-0.1764		
	68.0000		-0.1764		
	69.0000		-0.1773		
	70.0000		-0.1796		
	71.0000		-0.1814		
	72.0000		-0.1801		
	73.0000		-0.1829		
	74.0000		-0.1824		
	75.0000		-0.1784		
	76.0000		-0.1791		
	77.0000		-0.1820		
	78.0000		-0.1835		
	79.0000		-0.1850		
	80.0000		-0.1844		
	81.0000		-0.1835		
	82.0000		-0.1848		
	83.0000		-0.1856		
	84.0000		-0.1850		
	85.0000		-0.1838		
	86.0000		-0.1820		
	87.0000		-0.1806		
	88.0000		-0.1804		
	89.0000		-0.1812		
	90.0000		-0.1835		
	91.0000		-0.1849		
	92.0000		-0.1797		
	93.0000		-0.1793		
	94.0000		-0.1785		
	95.0000		-0.1764		
	96.0000		-0.1752		
	97.0000		-0.1752		
	98.0000		-0.1754		
	99.0000		-0.1782		
	100.0000		-0.1800		
	101.0000		-0.1810		
	102.0000		-0.1810		
	103.0000		-0.1782		
	104.0000		-0.1797		
	105.0000		-0.1798		
	106.0000		-0.1814		
	107.0000		-0.1832		
	108.0000		-0.1826		
	109.0000		-0.1810		
	110.0000		-0.1808		
	111.0000		-0.1810		
	112.0000		-0.1810		
	113.0000		-0.1773		
	114.0000		-0.1773		
	115.0000		-0.1788		
	116.0000		-0.1788		
	117.0000		-0.1778		
	118.0000		-0.1769		
	119.0000		-0.1771		
	120.0000		-0.1780		
	121.0000		-0.1768		
	122.0000		-0.1796		
	123.0000		-0.1781		
	124.0000		-0.1791		
	125.0000		-0.1791		
	126.0000		-0.1794		
	127.0000		-0.1801		
	128.0000		-0.1791		
	129.0000		-0.1770		
	130.0000		-0.1773		
	131.0000		-0.1794		
	132.0000		-0.1819		
	133.0000		-0.1806		
	134.0000		-0.1824		
	135.0000		-0.1815		
	136.0000		-0.1794		
	137.0000		-0.1794		
	138.0000		-0.1791		
	139.0000		-0.1778		
	140.0000		-0.1766		
	141.0000		-0.1756		
	142.0000		-0.1765		
	143.0000		-0.1806		
	144.0000		-0.1800		
	145.0000		-0.1800		
	146.0000		-0.1804		
	147.0000		-0.1821		
	148.0000		-0.1856		
	149.0000		-0.1832		
	150.0000		-0.1835		
	151.0000		-0.1864		
	152.0000		-0.1855		
	153.0000		-0.1825		
	154.0000		-0.1832		
	155.0000		-0.1855		
	156.0000		-0.1862		
	157.0000		-0.1852		
	158.0000		-0.1832		
	159.0000		-0.1808		
	160.0000		-0.1818		
	161.0000		-0.1820		
	162.0000		-0.1799		
	163.0000		-0.1797		
	164.0000		-0.1788		
	165.0000		-0.1788		
	166.0000		-0.1776		
	167.0000		-0.1767		
	168.0000		-0.1760		
	169.0000		-0.1779		
	170.0000		-0.1800		
	171.0000		-0.1813		
	172.0000		-0.1835		
	173.0000		-0.1833		
	174.0000		-0.1791		
	175.0000		-0.1820		
	176.0000		-0.1832		
	177.0000		-0.1829		
	178.0000		-0.1837		
	179.0000		-0.1847		
	180.0000		-0.1858		
	181.0000		-0.1844		
	182.0000		-0.1860		
	183.0000		-0.1862		
	184.0000		-0.1858		
	185.0000		-0.1850		
	186.0000		-0.1860		
	187.0000		-0.1866		
	188.0000		-0.1823		
	189.0000		-0.1801		
	190.0000		-0.1806		
	191.0000		-0.1819		
	192.0000		-0.1800		
	193.0000		-0.1817		
	194.0000		-0.1832		
	195.0000		-0.1859		
	196.0000		-0.1868		
	197.0000		-0.1873		
	198.0000		-0.1844		
	199.0000		-0.1835		
END
