IGOR
X| Tue Jul 11 21:09:51 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  200   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.0476		
	1.0000		-0.0462		
	2.0000		-0.0420		
	3.0000		-0.0444		
	4.0000		-0.0450		
	5.0000		-0.0432		
	6.0000		-0.0429		
	7.0000		-0.0458		
	8.0000		-0.0468		
	9.0000		-0.0479		
	10.0000		-0.0470		
	11.0000		-0.0470		
	12.0000		-0.0470		
	13.0000		-0.0454		
	14.0000		-0.0468		
	15.0000		-0.0479		
	16.0000		-0.0470		
	17.0000		-0.0473		
	18.0000		-0.0479		
	19.0000		-0.0462		
	20.0000		-0.0450		
	21.0000		-0.0452		
	22.0000		-0.0429		
	23.0000		-0.0426		
	24.0000		-0.0426		
	25.0000		-0.0432		
	26.0000		-0.0438		
	27.0000		-0.0454		
	28.0000		-0.0450		
	29.0000		-0.0458		
	30.0000		-0.0466		
	31.0000		-0.0479		
	32.0000		-0.0500		
	33.0000		-0.0532		
	34.0000		-0.0535		
	35.0000		-0.0532		
	36.0000		-0.0485		
	37.0000		-0.0466		
	38.0000		-0.0458		
	39.0000		-0.0479		
	40.0000		-0.0469		
	41.0000		-0.0452		
	42.0000		-0.0444		
	43.0000		-0.0454		
	44.0000		-0.0450		
	45.0000		-0.0450		
	46.0000		-0.0458		
	47.0000		-0.0450		
	48.0000		-0.0452		
	49.0000		-0.0462		
	50.0000		-0.0454		
	51.0000		-0.0462		
	52.0000		-0.0458		
	53.0000		-0.0449		
	54.0000		-0.0462		
	55.0000		-0.0470		
	56.0000		-0.0502		
	57.0000		-0.0500		
	58.0000		-0.0499		
	59.0000		-0.0497		
	60.0000		-0.0506		
	61.0000		-0.0520		
	62.0000		-0.0550		
	63.0000		-0.0550		
	64.0000		-0.0544		
	65.0000		-0.0518		
	66.0000		-0.0500		
	67.0000		-0.0476		
	68.0000		-0.0493		
	69.0000		-0.0454		
	70.0000		-0.0450		
	71.0000		-0.0450		
	72.0000		-0.0452		
	73.0000		-0.0450		
	74.0000		-0.0452		
	75.0000		-0.0447		
	76.0000		-0.0441		
	77.0000		-0.0420		
	78.0000		-0.0412		
	79.0000		-0.0408		
	80.0000		-0.0420		
	81.0000		-0.0423		
	82.0000		-0.0444		
	83.0000		-0.0423		
	84.0000		-0.0450		
	85.0000		-0.0456		
	86.0000		-0.0452		
	87.0000		-0.0450		
	88.0000		-0.0447		
	89.0000		-0.0453		
	90.0000		-0.0468		
	91.0000		-0.0476		
	92.0000		-0.0479		
	93.0000		-0.0473		
	94.0000		-0.0468		
	95.0000		-0.0437		
	96.0000		-0.0406		
	97.0000		-0.0408		
	98.0000		-0.0420		
	99.0000		-0.0418		
	100.0000		-0.0420		
	101.0000		-0.0426		
	102.0000		-0.0404		
	103.0000		-0.0402		
	104.0000		-0.0418		
	105.0000		-0.0441		
	106.0000		-0.0464		
	107.0000		-0.0464		
	108.0000		-0.0455		
	109.0000		-0.0438		
	110.0000		-0.0466		
	111.0000		-0.0479		
	112.0000		-0.0504		
	113.0000		-0.0517		
	114.0000		-0.0532		
	115.0000		-0.0508		
	116.0000		-0.0491		
	117.0000		-0.0468		
	118.0000		-0.0460		
	119.0000		-0.0437		
	120.0000		-0.0410		
	121.0000		-0.0391		
	122.0000		-0.0385		
	123.0000		-0.0402		
	124.0000		-0.0420		
	125.0000		-0.0420		
	126.0000		-0.0426		
	127.0000		-0.0426		
	128.0000		-0.0447		
	129.0000		-0.0420		
	130.0000		-0.0412		
	131.0000		-0.0432		
	132.0000		-0.0452		
	133.0000		-0.0470		
	134.0000		-0.0465		
	135.0000		-0.0449		
	136.0000		-0.0460		
	137.0000		-0.0470		
	138.0000		-0.0456		
	139.0000		-0.0460		
	140.0000		-0.0491		
	141.0000		-0.0488		
	142.0000		-0.0473		
	143.0000		-0.0468		
	144.0000		-0.0464		
	145.0000		-0.0466		
	146.0000		-0.0488		
	147.0000		-0.0500		
	148.0000		-0.0500		
	149.0000		-0.0482		
	150.0000		-0.0482		
	151.0000		-0.0482		
	152.0000		-0.0500		
	153.0000		-0.0488		
	154.0000		-0.0464		
	155.0000		-0.0477		
	156.0000		-0.0482		
	157.0000		-0.0470		
	158.0000		-0.0468		
	159.0000		-0.0456		
	160.0000		-0.0470		
	161.0000		-0.0473		
	162.0000		-0.0468		
	163.0000		-0.0458		
	164.0000		-0.0450		
	165.0000		-0.0435		
	166.0000		-0.0420		
	167.0000		-0.0418		
	168.0000		-0.0412		
	169.0000		-0.0429		
	170.0000		-0.0416		
	171.0000		-0.0420		
	172.0000		-0.0410		
	173.0000		-0.0420		
	174.0000		-0.0423		
	175.0000		-0.0435		
	176.0000		-0.0450		
	177.0000		-0.0441		
	178.0000		-0.0429		
	179.0000		-0.0450		
	180.0000		-0.0447		
	181.0000		-0.0466		
	182.0000		-0.0458		
	183.0000		-0.0460		
	184.0000		-0.0458		
	185.0000		-0.0450		
	186.0000		-0.0444		
	187.0000		-0.0456		
	188.0000		-0.0450		
	189.0000		-0.0432		
	190.0000		-0.0400		
	191.0000		-0.0420		
	192.0000		-0.0416		
	193.0000		-0.0408		
	194.0000		-0.0408		
	195.0000		-0.0418		
	196.0000		-0.0402		
	197.0000		-0.0408		
	198.0000		-0.0408		
	199.0000		-0.0432		
END
