IGOR
X| Tue Jul 11 21:11:52 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  200   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.0358		
	1.0000		-0.0341		
	2.0000		-0.0335		
	3.0000		-0.0350		
	4.0000		-0.0344		
	5.0000		-0.0344		
	6.0000		-0.0356		
	7.0000		-0.0370		
	8.0000		-0.0370		
	9.0000		-0.0373		
	10.0000		-0.0366		
	11.0000		-0.0358		
	12.0000		-0.0347		
	13.0000		-0.0364		
	14.0000		-0.0370		
	15.0000		-0.0373		
	16.0000		-0.0379		
	17.0000		-0.0370		
	18.0000		-0.0373		
	19.0000		-0.0391		
	20.0000		-0.0370		
	21.0000		-0.0366		
	22.0000		-0.0370		
	23.0000		-0.0370		
	24.0000		-0.0370		
	25.0000		-0.0366		
	26.0000		-0.0356		
	27.0000		-0.0354		
	28.0000		-0.0350		
	29.0000		-0.0329		
	30.0000		-0.0347		
	31.0000		-0.0352		
	32.0000		-0.0358		
	33.0000		-0.0370		
	34.0000		-0.0358		
	35.0000		-0.0382		
	36.0000		-0.0412		
	37.0000		-0.0376		
	38.0000		-0.0382		
	39.0000		-0.0370		
	40.0000		-0.0373		
	41.0000		-0.0388		
	42.0000		-0.0373		
	43.0000		-0.0400		
	44.0000		-0.0419		
	45.0000		-0.0414		
	46.0000		-0.0400		
	47.0000		-0.0400		
	48.0000		-0.0410		
	49.0000		-0.0447		
	50.0000		-0.0429		
	51.0000		-0.0441		
	52.0000		-0.0430		
	53.0000		-0.0404		
	54.0000		-0.0420		
	55.0000		-0.0429		
	56.0000		-0.0408		
	57.0000		-0.0404		
	58.0000		-0.0391		
	59.0000		-0.0382		
	60.0000		-0.0391		
	61.0000		-0.0410		
	62.0000		-0.0400		
	63.0000		-0.0379		
	64.0000		-0.0373		
	65.0000		-0.0370		
	66.0000		-0.0402		
	67.0000		-0.0399		
	68.0000		-0.0382		
	69.0000		-0.0370		
	70.0000		-0.0370		
	71.0000		-0.0368		
	72.0000		-0.0356		
	73.0000		-0.0353		
	74.0000		-0.0376		
	75.0000		-0.0382		
	76.0000		-0.0370		
	77.0000		-0.0370		
	78.0000		-0.0388		
	79.0000		-0.0379		
	80.0000		-0.0368		
	81.0000		-0.0364		
	82.0000		-0.0364		
	83.0000		-0.0376		
	84.0000		-0.0444		
	85.0000		-0.0479		
	86.0000		-0.0470		
	87.0000		-0.0470		
	88.0000		-0.0458		
	89.0000		-0.0458		
	90.0000		-0.0450		
	91.0000		-0.0450		
	92.0000		-0.0444		
	93.0000		-0.0418		
	94.0000		-0.0399		
	95.0000		-0.0388		
	96.0000		-0.0404		
	97.0000		-0.0447		
	98.0000		-0.0450		
	99.0000		-0.0452		
	100.0000		-0.0466		
	101.0000		-0.0450		
	102.0000		-0.0450		
	103.0000		-0.0458		
	104.0000		-0.0441		
	105.0000		-0.0435		
	106.0000		-0.0416		
	107.0000		-0.0404		
	108.0000		-0.0408		
	109.0000		-0.0412		
	110.0000		-0.0404		
	111.0000		-0.0408		
	112.0000		-0.0394		
	113.0000		-0.0414		
	114.0000		-0.0429		
	115.0000		-0.0454		
	116.0000		-0.0450		
	117.0000		-0.0450		
	118.0000		-0.0456		
	119.0000		-0.0481		
	120.0000		-0.0510		
	121.0000		-0.0500		
	122.0000		-0.0500		
	123.0000		-0.0473		
	124.0000		-0.0466		
	125.0000		-0.0450		
	126.0000		-0.0454		
	127.0000		-0.0464		
	128.0000		-0.0444		
	129.0000		-0.0459		
	130.0000		-0.0470		
	131.0000		-0.0464		
	132.0000		-0.0454		
	133.0000		-0.0450		
	134.0000		-0.0447		
	135.0000		-0.0438		
	136.0000		-0.0426		
	137.0000		-0.0429		
	138.0000		-0.0435		
	139.0000		-0.0420		
	140.0000		-0.0416		
	141.0000		-0.0432		
	142.0000		-0.0423		
	143.0000		-0.0435		
	144.0000		-0.0438		
	145.0000		-0.0432		
	146.0000		-0.0420		
	147.0000		-0.0420		
	148.0000		-0.0412		
	149.0000		-0.0416		
	150.0000		-0.0420		
	151.0000		-0.0404		
	152.0000		-0.0404		
	153.0000		-0.0414		
	154.0000		-0.0402		
	155.0000		-0.0400		
	156.0000		-0.0408		
	157.0000		-0.0402		
	158.0000		-0.0391		
	159.0000		-0.0370		
	160.0000		-0.0370		
	161.0000		-0.0376		
	162.0000		-0.0394		
	163.0000		-0.0426		
	164.0000		-0.0426		
	165.0000		-0.0429		
	166.0000		-0.0420		
	167.0000		-0.0426		
	168.0000		-0.0432		
	169.0000		-0.0447		
	170.0000		-0.0423		
	171.0000		-0.0420		
	172.0000		-0.0426		
	173.0000		-0.0420		
	174.0000		-0.0418		
	175.0000		-0.0435		
	176.0000		-0.0452		
	177.0000		-0.0450		
	178.0000		-0.0447		
	179.0000		-0.0435		
	180.0000		-0.0441		
	181.0000		-0.0450		
	182.0000		-0.0435		
	183.0000		-0.0441		
	184.0000		-0.0420		
	185.0000		-0.0406		
	186.0000		-0.0400		
	187.0000		-0.0373		
	188.0000		-0.0391		
	189.0000		-0.0410		
	190.0000		-0.0424		
	191.0000		-0.0447		
	192.0000		-0.0450		
	193.0000		-0.0441		
	194.0000		-0.0450		
	195.0000		-0.0450		
	196.0000		-0.0450		
	197.0000		-0.0444		
	198.0000		-0.0447		
	199.0000		-0.0450		
END
