IGOR
X| Tue Jul 11 18:27:16 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  200   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.0370		
	1.0000		-0.0364		
	2.0000		-0.0370		
	3.0000		-0.0373		
	4.0000		-0.0385		
	5.0000		-0.0385		
	6.0000		-0.0397		
	7.0000		-0.0400		
	8.0000		-0.0391		
	9.0000		-0.0370		
	10.0000		-0.0370		
	11.0000		-0.0388		
	12.0000		-0.0416		
	13.0000		-0.0432		
	14.0000		-0.0410		
	15.0000		-0.0406		
	16.0000		-0.0464		
	17.0000		-0.0471		
	18.0000		-0.0466		
	19.0000		-0.0452		
	20.0000		-0.0420		
	21.0000		-0.0429		
	22.0000		-0.0416		
	23.0000		-0.0404		
	24.0000		-0.0441		
	25.0000		-0.0435		
	26.0000		-0.0426		
	27.0000		-0.0450		
	28.0000		-0.0450		
	29.0000		-0.0456		
	30.0000		-0.0488		
	31.0000		-0.0497		
	32.0000		-0.0477		
	33.0000		-0.0444		
	34.0000		-0.0420		
	35.0000		-0.0410		
	36.0000		-0.0406		
	37.0000		-0.0420		
	38.0000		-0.0400		
	39.0000		-0.0416		
	40.0000		-0.0435		
	41.0000		-0.0450		
	42.0000		-0.0464		
	43.0000		-0.0470		
	44.0000		-0.0470		
	45.0000		-0.0444		
	46.0000		-0.0441		
	47.0000		-0.0450		
	48.0000		-0.0456		
	49.0000		-0.0466		
	50.0000		-0.0473		
	51.0000		-0.0500		
	52.0000		-0.0516		
	53.0000		-0.0514		
	54.0000		-0.0512		
	55.0000		-0.0488		
	56.0000		-0.0485		
	57.0000		-0.0473		
	58.0000		-0.0470		
	59.0000		-0.0460		
	60.0000		-0.0462		
	61.0000		-0.0450		
	62.0000		-0.0408		
	63.0000		-0.0404		
	64.0000		-0.0400		
	65.0000		-0.0400		
	66.0000		-0.0391		
	67.0000		-0.0379		
	68.0000		-0.0370		
	69.0000		-0.0402		
	70.0000		-0.0404		
	71.0000		-0.0418		
	72.0000		-0.0410		
	73.0000		-0.0402		
	74.0000		-0.0416		
	75.0000		-0.0432		
	76.0000		-0.0435		
	77.0000		-0.0438		
	78.0000		-0.0423		
	79.0000		-0.0406		
	80.0000		-0.0410		
	81.0000		-0.0400		
	82.0000		-0.0397		
	83.0000		-0.0391		
	84.0000		-0.0391		
	85.0000		-0.0400		
	86.0000		-0.0400		
	87.0000		-0.0419		
	88.0000		-0.0429		
	89.0000		-0.0423		
	90.0000		-0.0397		
	91.0000		-0.0402		
	92.0000		-0.0382		
	93.0000		-0.0416		
	94.0000		-0.0408		
	95.0000		-0.0400		
	96.0000		-0.0395		
	97.0000		-0.0370		
	98.0000		-0.0370		
	99.0000		-0.0370		
	100.0000		-0.0400		
	101.0000		-0.0400		
	102.0000		-0.0400		
	103.0000		-0.0397		
	104.0000		-0.0376		
	105.0000		-0.0379		
	106.0000		-0.0362		
	107.0000		-0.0366		
	108.0000		-0.0370		
	109.0000		-0.0364		
	110.0000		-0.0350		
	111.0000		-0.0379		
	112.0000		-0.0400		
	113.0000		-0.0400		
	114.0000		-0.0423		
	115.0000		-0.0444		
	116.0000		-0.0416		
	117.0000		-0.0400		
	118.0000		-0.0400		
	119.0000		-0.0391		
	120.0000		-0.0373		
	121.0000		-0.0379		
	122.0000		-0.0382		
	123.0000		-0.0370		
	124.0000		-0.0385		
	125.0000		-0.0410		
	126.0000		-0.0391		
	127.0000		-0.0376		
	128.0000		-0.0391		
	129.0000		-0.0385		
	130.0000		-0.0404		
	131.0000		-0.0408		
	132.0000		-0.0408		
	133.0000		-0.0420		
	134.0000		-0.0450		
	135.0000		-0.0432		
	136.0000		-0.0420		
	137.0000		-0.0418		
	138.0000		-0.0400		
	139.0000		-0.0373		
	140.0000		-0.0394		
	141.0000		-0.0404		
	142.0000		-0.0391		
	143.0000		-0.0388		
	144.0000		-0.0379		
	145.0000		-0.0394		
	146.0000		-0.0391		
	147.0000		-0.0397		
	148.0000		-0.0406		
	149.0000		-0.0400		
	150.0000		-0.0400		
	151.0000		-0.0388		
	152.0000		-0.0368		
	153.0000		-0.0368		
	154.0000		-0.0370		
	155.0000		-0.0370		
	156.0000		-0.0370		
	157.0000		-0.0370		
	158.0000		-0.0401		
	159.0000		-0.0404		
	160.0000		-0.0370		
	161.0000		-0.0373		
	162.0000		-0.0370		
	163.0000		-0.0370		
	164.0000		-0.0385		
	165.0000		-0.0402		
	166.0000		-0.0408		
	167.0000		-0.0412		
	168.0000		-0.0412		
	169.0000		-0.0412		
	170.0000		-0.0417		
	171.0000		-0.0462		
	172.0000		-0.0473		
	173.0000		-0.0468		
	174.0000		-0.0454		
	175.0000		-0.0429		
	176.0000		-0.0429		
	177.0000		-0.0432		
	178.0000		-0.0423		
	179.0000		-0.0423		
	180.0000		-0.0400		
	181.0000		-0.0406		
	182.0000		-0.0420		
	183.0000		-0.0426		
	184.0000		-0.0412		
	185.0000		-0.0418		
	186.0000		-0.0400		
	187.0000		-0.0404		
	188.0000		-0.0418		
	189.0000		-0.0404		
	190.0000		-0.0370		
	191.0000		-0.0360		
	192.0000		-0.0364		
	193.0000		-0.0370		
	194.0000		-0.0379		
	195.0000		-0.0406		
	196.0000		-0.0420		
	197.0000		-0.0420		
	198.0000		-0.0432		
	199.0000		-0.0452		
END
