IGOR
X| Tue Jul 11 20:06:03 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  200   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1988		
	1.0000		-0.2004		
	2.0000		-0.1999		
	3.0000		-0.1972		
	4.0000		-0.1991		
	5.0000		-0.1985		
	6.0000		-0.1976		
	7.0000		-0.1994		
	8.0000		-0.1982		
	9.0000		-0.2018		
	10.0000		-0.2001		
	11.0000		-0.1982		
	12.0000		-0.1976		
	13.0000		-0.1988		
	14.0000		-0.2004		
	15.0000		-0.2015		
	16.0000		-0.2020		
	17.0000		-0.2010		
	18.0000		-0.1991		
	19.0000		-0.1968		
	20.0000		-0.1979		
	21.0000		-0.1999		
	22.0000		-0.2004		
	23.0000		-0.1996		
	24.0000		-0.2006		
	25.0000		-0.1970		
	26.0000		-0.2000		
	27.0000		-0.2015		
	28.0000		-0.2029		
	29.0000		-0.2029		
	30.0000		-0.2023		
	31.0000		-0.2012		
	32.0000		-0.1985		
	33.0000		-0.1985		
	34.0000		-0.1976		
	35.0000		-0.1956		
	36.0000		-0.1991		
	37.0000		-0.2019		
	38.0000		-0.1982		
	39.0000		-0.1972		
	40.0000		-0.1988		
	41.0000		-0.2021		
	42.0000		-0.2008		
	43.0000		-0.1982		
	44.0000		-0.1973		
	45.0000		-0.2007		
	46.0000		-0.2033		
	47.0000		-0.2000		
	48.0000		-0.1962		
	49.0000		-0.1960		
	50.0000		-0.1962		
	51.0000		-0.1966		
	52.0000		-0.1988		
	53.0000		-0.1955		
	54.0000		-0.1954		
	55.0000		-0.1994		
	56.0000		-0.1982		
	57.0000		-0.1970		
	58.0000		-0.1964		
	59.0000		-0.1968		
	60.0000		-0.1968		
	61.0000		-0.1983		
	62.0000		-0.2010		
	63.0000		-0.2004		
	64.0000		-0.1982		
	65.0000		-0.2008		
	66.0000		-0.2020		
	67.0000		-0.2008		
	68.0000		-0.1962		
	69.0000		-0.1956		
	70.0000		-0.1973		
	71.0000		-0.1964		
	72.0000		-0.1940		
	73.0000		-0.1935		
	74.0000		-0.1951		
	75.0000		-0.1950		
	76.0000		-0.1949		
	77.0000		-0.1954		
	78.0000		-0.1954		
	79.0000		-0.1941		
	80.0000		-0.1935		
	81.0000		-0.1960		
	82.0000		-0.1922		
	83.0000		-0.1935		
	84.0000		-0.1960		
	85.0000		-0.1932		
	86.0000		-0.1935		
	87.0000		-0.1926		
	88.0000		-0.1929		
	89.0000		-0.1944		
	90.0000		-0.1952		
	91.0000		-0.1920		
	92.0000		-0.1924		
	93.0000		-0.1914		
	94.0000		-0.1910		
	95.0000		-0.1940		
	96.0000		-0.1960		
	97.0000		-0.1979		
	98.0000		-0.1973		
	99.0000		-0.2010		
	100.0000		-0.2008		
	101.0000		-0.1999		
	102.0000		-0.1976		
	103.0000		-0.1970		
	104.0000		-0.1976		
	105.0000		-0.1962		
	106.0000		-0.1966		
	107.0000		-0.1956		
	108.0000		-0.1941		
	109.0000		-0.1938		
	110.0000		-0.1956		
	111.0000		-0.1970		
	112.0000		-0.1997		
	113.0000		-0.1956		
	114.0000		-0.1982		
	115.0000		-0.2005		
	116.0000		-0.2066		
	117.0000		-0.2070		
	118.0000		-0.2088		
	119.0000		-0.2112		
	120.0000		-0.2100		
	121.0000		-0.2044		
	122.0000		-0.2027		
	123.0000		-0.2020		
	124.0000		-0.2026		
	125.0000		-0.1994		
	126.0000		-0.2001		
	127.0000		-0.1970		
	128.0000		-0.1970		
	129.0000		-0.1964		
	130.0000		-0.1950		
	131.0000		-0.1953		
	132.0000		-0.1914		
	133.0000		-0.1904		
	134.0000		-0.1908		
	135.0000		-0.1956		
	136.0000		-0.1958		
	137.0000		-0.1950		
	138.0000		-0.1950		
	139.0000		-0.1976		
	140.0000		-0.1977		
	141.0000		-0.1970		
	142.0000		-0.1970		
	143.0000		-0.1973		
	144.0000		-0.1983		
	145.0000		-0.1950		
	146.0000		-0.1922		
	147.0000		-0.1896		
	148.0000		-0.1905		
	149.0000		-0.1903		
	150.0000		-0.1918		
	151.0000		-0.1920		
	152.0000		-0.1920		
	153.0000		-0.1938		
	154.0000		-0.1962		
	155.0000		-0.1960		
	156.0000		-0.1946		
	157.0000		-0.1960		
	158.0000		-0.1956		
	159.0000		-0.1954		
	160.0000		-0.1935		
	161.0000		-0.1918		
	162.0000		-0.1908		
	163.0000		-0.1906		
	164.0000		-0.1897		
	165.0000		-0.1944		
	166.0000		-0.1948		
	167.0000		-0.1952		
	168.0000		-0.1962		
	169.0000		-0.1964		
	170.0000		-0.1926		
	171.0000		-0.1944		
	172.0000		-0.1941		
	173.0000		-0.1954		
	174.0000		-0.1958		
	175.0000		-0.1949		
	176.0000		-0.1942		
	177.0000		-0.1941		
	178.0000		-0.1960		
	179.0000		-0.1959		
	180.0000		-0.2004		
	181.0000		-0.1988		
	182.0000		-0.1954		
	183.0000		-0.1944		
	184.0000		-0.1960		
	185.0000		-0.1964		
	186.0000		-0.1949		
	187.0000		-0.1929		
	188.0000		-0.1916		
	189.0000		-0.1950		
	190.0000		-0.1944		
	191.0000		-0.1977		
	192.0000		-0.2025		
	193.0000		-0.2018		
	194.0000		-0.1970		
	195.0000		-0.1991		
	196.0000		-0.2006		
	197.0000		-0.1970		
	198.0000		-0.1985		
	199.0000		-0.2024		
END
