IGOR
X| Tue Jul 11 19:39:03 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  200   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.0416		
	1.0000		-0.0408		
	2.0000		-0.0406		
	3.0000		-0.0406		
	4.0000		-0.0412		
	5.0000		-0.0420		
	6.0000		-0.0441		
	7.0000		-0.0450		
	8.0000		-0.0438		
	9.0000		-0.0404		
	10.0000		-0.0400		
	11.0000		-0.0418		
	12.0000		-0.0429		
	13.0000		-0.0426		
	14.0000		-0.0438		
	15.0000		-0.0444		
	16.0000		-0.0412		
	17.0000		-0.0400		
	18.0000		-0.0373		
	19.0000		-0.0373		
	20.0000		-0.0370		
	21.0000		-0.0391		
	22.0000		-0.0402		
	23.0000		-0.0400		
	24.0000		-0.0391		
	25.0000		-0.0400		
	26.0000		-0.0408		
	27.0000		-0.0429		
	28.0000		-0.0423		
	29.0000		-0.0412		
	30.0000		-0.0418		
	31.0000		-0.0400		
	32.0000		-0.0402		
	33.0000		-0.0382		
	34.0000		-0.0370		
	35.0000		-0.0376		
	36.0000		-0.0382		
	37.0000		-0.0391		
	38.0000		-0.0366		
	39.0000		-0.0356		
	40.0000		-0.0332		
	41.0000		-0.0332		
	42.0000		-0.0360		
	43.0000		-0.0361		
	44.0000		-0.0347		
	45.0000		-0.0320		
	46.0000		-0.0329		
	47.0000		-0.0312		
	48.0000		-0.0316		
	49.0000		-0.0332		
	50.0000		-0.0341		
	51.0000		-0.0329		
	52.0000		-0.0326		
	53.0000		-0.0350		
	54.0000		-0.0366		
	55.0000		-0.0395		
	56.0000		-0.0408		
	57.0000		-0.0402		
	58.0000		-0.0420		
	59.0000		-0.0418		
	60.0000		-0.0404		
	61.0000		-0.0400		
	62.0000		-0.0382		
	63.0000		-0.0370		
	64.0000		-0.0356		
	65.0000		-0.0354		
	66.0000		-0.0376		
	67.0000		-0.0385		
	68.0000		-0.0370		
	69.0000		-0.0385		
	70.0000		-0.0391		
	71.0000		-0.0400		
	72.0000		-0.0379		
	73.0000		-0.0385		
	74.0000		-0.0370		
	75.0000		-0.0370		
	76.0000		-0.0373		
	77.0000		-0.0370		
	78.0000		-0.0352		
	79.0000		-0.0341		
	80.0000		-0.0360		
	81.0000		-0.0362		
	82.0000		-0.0364		
	83.0000		-0.0370		
	84.0000		-0.0370		
	85.0000		-0.0346		
	86.0000		-0.0323		
	87.0000		-0.0329		
	88.0000		-0.0326		
	89.0000		-0.0335		
	90.0000		-0.0358		
	91.0000		-0.0373		
	92.0000		-0.0373		
	93.0000		-0.0391		
	94.0000		-0.0376		
	95.0000		-0.0370		
	96.0000		-0.0368		
	97.0000		-0.0370		
	98.0000		-0.0362		
	99.0000		-0.0368		
	100.0000		-0.0368		
	101.0000		-0.0373		
	102.0000		-0.0370		
	103.0000		-0.0370		
	104.0000		-0.0373		
	105.0000		-0.0370		
	106.0000		-0.0385		
	107.0000		-0.0370		
	108.0000		-0.0370		
	109.0000		-0.0360		
	110.0000		-0.0364		
	111.0000		-0.0370		
	112.0000		-0.0368		
	113.0000		-0.0366		
	114.0000		-0.0356		
	115.0000		-0.0362		
	116.0000		-0.0362		
	117.0000		-0.0356		
	118.0000		-0.0352		
	119.0000		-0.0368		
	120.0000		-0.0370		
	121.0000		-0.0360		
	122.0000		-0.0370		
	123.0000		-0.0366		
	124.0000		-0.0376		
	125.0000		-0.0408		
	126.0000		-0.0420		
	127.0000		-0.0406		
	128.0000		-0.0373		
	129.0000		-0.0391		
	130.0000		-0.0399		
	131.0000		-0.0402		
	132.0000		-0.0400		
	133.0000		-0.0416		
	134.0000		-0.0406		
	135.0000		-0.0400		
	136.0000		-0.0397		
	137.0000		-0.0376		
	138.0000		-0.0373		
	139.0000		-0.0382		
	140.0000		-0.0370		
	141.0000		-0.0370		
	142.0000		-0.0391		
	143.0000		-0.0397		
	144.0000		-0.0410		
	145.0000		-0.0410		
	146.0000		-0.0426		
	147.0000		-0.0423		
	148.0000		-0.0412		
	149.0000		-0.0403		
	150.0000		-0.0408		
	151.0000		-0.0444		
	152.0000		-0.0426		
	153.0000		-0.0426		
	154.0000		-0.0426		
	155.0000		-0.0412		
	156.0000		-0.0394		
	157.0000		-0.0368		
	158.0000		-0.0366		
	159.0000		-0.0369		
	160.0000		-0.0391		
	161.0000		-0.0400		
	162.0000		-0.0385		
	163.0000		-0.0373		
	164.0000		-0.0400		
	165.0000		-0.0414		
	166.0000		-0.0376		
	167.0000		-0.0381		
	168.0000		-0.0388		
	169.0000		-0.0370		
	170.0000		-0.0385		
	171.0000		-0.0370		
	172.0000		-0.0370		
	173.0000		-0.0388		
	174.0000		-0.0391		
	175.0000		-0.0370		
	176.0000		-0.0370		
	177.0000		-0.0382		
	178.0000		-0.0402		
	179.0000		-0.0406		
	180.0000		-0.0400		
	181.0000		-0.0400		
	182.0000		-0.0376		
	183.0000		-0.0373		
	184.0000		-0.0373		
	185.0000		-0.0364		
	186.0000		-0.0364		
	187.0000		-0.0356		
	188.0000		-0.0370		
	189.0000		-0.0391		
	190.0000		-0.0400		
	191.0000		-0.0402		
	192.0000		-0.0427		
	193.0000		-0.0410		
	194.0000		-0.0402		
	195.0000		-0.0402		
	196.0000		-0.0412		
	197.0000		-0.0391		
	198.0000		-0.0394		
	199.0000		-0.0373		
END
