IGOR
X| Wed Jul 12 13:53:24 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1479		
	1.0000		-0.1494		
	2.0000		-0.1502		
	3.0000		-0.1520		
	4.0000		-0.1523		
	5.0000		-0.1523		
	6.0000		-0.1518		
	7.0000		-0.1512		
	8.0000		-0.1541		
	9.0000		-0.1547		
	10.0000		-0.1534		
	11.0000		-0.1562		
	12.0000		-0.1552		
	13.0000		-0.1570		
	14.0000		-0.1568		
	15.0000		-0.1569		
	16.0000		-0.1591		
	17.0000		-0.1566		
	18.0000		-0.1579		
	19.0000		-0.1579		
	20.0000		-0.1550		
	21.0000		-0.1524		
	22.0000		-0.1500		
	23.0000		-0.1494		
	24.0000		-0.1499		
	25.0000		-0.1508		
	26.0000		-0.1524		
	27.0000		-0.1549		
	28.0000		-0.1562		
	29.0000		-0.1570		
	30.0000		-0.1570		
	31.0000		-0.1532		
	32.0000		-0.1543		
	33.0000		-0.1514		
	34.0000		-0.1552		
	35.0000		-0.1560		
	36.0000		-0.1533		
	37.0000		-0.1538		
	38.0000		-0.1564		
	39.0000		-0.1545		
	40.0000		-0.1566		
	41.0000		-0.1556		
	42.0000		-0.1558		
	43.0000		-0.1556		
	44.0000		-0.1564		
	45.0000		-0.1588		
	46.0000		-0.1570		
	47.0000		-0.1585		
	48.0000		-0.1568		
	49.0000		-0.1576		
	50.0000		-0.1588		
	51.0000		-0.1588		
	52.0000		-0.1570		
	53.0000		-0.1560		
	54.0000		-0.1549		
	55.0000		-0.1552		
	56.0000		-0.1570		
	57.0000		-0.1593		
	58.0000		-0.1593		
	59.0000		-0.1591		
	60.0000		-0.1576		
	61.0000		-0.1573		
	62.0000		-0.1570		
	63.0000		-0.1614		
	64.0000		-0.1629		
	65.0000		-0.1599		
	66.0000		-0.1546		
	67.0000		-0.1508		
	68.0000		-0.1493		
	69.0000		-0.1514		
	70.0000		-0.1518		
	71.0000		-0.1533		
	72.0000		-0.1566		
	73.0000		-0.1568		
	74.0000		-0.1551		
	75.0000		-0.1556		
	76.0000		-0.1558		
	77.0000		-0.1544		
	78.0000		-0.1526		
	79.0000		-0.1540		
	80.0000		-0.1566		
	81.0000		-0.1556		
	82.0000		-0.1518		
	83.0000		-0.1485		
	84.0000		-0.1496		
	85.0000		-0.1529		
	86.0000		-0.1541		
	87.0000		-0.1552		
	88.0000		-0.1566		
	89.0000		-0.1582		
	90.0000		-0.1614		
	91.0000		-0.1618		
	92.0000		-0.1608		
	93.0000		-0.1597		
	94.0000		-0.1562		
	95.0000		-0.1564		
	96.0000		-0.1562		
	97.0000		-0.1566		
	98.0000		-0.1564		
	99.0000		-0.1574		
END
