IGOR
X| Wed Jul 12 14:03:11 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1604		
	1.0000		-0.1582		
	2.0000		-0.1599		
	3.0000		-0.1582		
	4.0000		-0.1602		
	5.0000		-0.1585		
	6.0000		-0.1591		
	7.0000		-0.1571		
	8.0000		-0.1588		
	9.0000		-0.1585		
	10.0000		-0.1570		
	11.0000		-0.1579		
	12.0000		-0.1573		
	13.0000		-0.1585		
	14.0000		-0.1608		
	15.0000		-0.1626		
	16.0000		-0.1629		
	17.0000		-0.1634		
	18.0000		-0.1614		
	19.0000		-0.1604		
	20.0000		-0.1591		
	21.0000		-0.1568		
	22.0000		-0.1566		
	23.0000		-0.1566		
	24.0000		-0.1570		
	25.0000		-0.1564		
	26.0000		-0.1564		
	27.0000		-0.1576		
	28.0000		-0.1570		
	29.0000		-0.1573		
	30.0000		-0.1602		
	31.0000		-0.1618		
	32.0000		-0.1616		
	33.0000		-0.1616		
	34.0000		-0.1629		
	35.0000		-0.1654		
	36.0000		-0.1666		
	37.0000		-0.1640		
	38.0000		-0.1681		
	39.0000		-0.1696		
	40.0000		-0.1668		
	41.0000		-0.1654		
	42.0000		-0.1651		
	43.0000		-0.1693		
	44.0000		-0.1691		
	45.0000		-0.1685		
	46.0000		-0.1666		
	47.0000		-0.1644		
	48.0000		-0.1682		
	49.0000		-0.1685		
	50.0000		-0.1682		
	51.0000		-0.1670		
	52.0000		-0.1675		
	53.0000		-0.1660		
	54.0000		-0.1653		
	55.0000		-0.1676		
	56.0000		-0.1684		
	57.0000		-0.1605		
	58.0000		-0.1595		
	59.0000		-0.1623		
	60.0000		-0.1610		
	61.0000		-0.1598		
	62.0000		-0.1623		
	63.0000		-0.1654		
	64.0000		-0.1665		
	65.0000		-0.1660		
	66.0000		-0.1666		
	67.0000		-0.1656		
	68.0000		-0.1656		
	69.0000		-0.1632		
	70.0000		-0.1616		
	71.0000		-0.1616		
	72.0000		-0.1610		
	73.0000		-0.1612		
	74.0000		-0.1602		
	75.0000		-0.1641		
	76.0000		-0.1627		
	77.0000		-0.1601		
	78.0000		-0.1564		
	79.0000		-0.1532		
	80.0000		-0.1546		
	81.0000		-0.1606		
	82.0000		-0.1614		
	83.0000		-0.1603		
	84.0000		-0.1612		
	85.0000		-0.1627		
	86.0000		-0.1620		
	87.0000		-0.1608		
	88.0000		-0.1608		
	89.0000		-0.1627		
	90.0000		-0.1650		
	91.0000		-0.1646		
	92.0000		-0.1626		
	93.0000		-0.1589		
	94.0000		-0.1566		
	95.0000		-0.1568		
	96.0000		-0.1576		
	97.0000		-0.1566		
	98.0000		-0.1558		
	99.0000		-0.1579		
END
