IGOR
X| Wed Jul 12 17:08:08 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1602		
	1.0000		-0.1571		
	2.0000		-0.1585		
	3.0000		-0.1612		
	4.0000		-0.1600		
	5.0000		-0.1657		
	6.0000		-0.1640		
	7.0000		-0.1618		
	8.0000		-0.1588		
	9.0000		-0.1626		
	10.0000		-0.1656		
	11.0000		-0.1635		
	12.0000		-0.1616		
	13.0000		-0.1604		
	14.0000		-0.1617		
	15.0000		-0.1644		
	16.0000		-0.1635		
	17.0000		-0.1656		
	18.0000		-0.1632		
	19.0000		-0.1627		
	20.0000		-0.1635		
	21.0000		-0.1604		
	22.0000		-0.1604		
	23.0000		-0.1608		
	24.0000		-0.1608		
	25.0000		-0.1602		
	26.0000		-0.1594		
	27.0000		-0.1599		
	28.0000		-0.1591		
	29.0000		-0.1570		
	30.0000		-0.1588		
	31.0000		-0.1620		
	32.0000		-0.1588		
	33.0000		-0.1573		
	34.0000		-0.1551		
	35.0000		-0.1569		
	36.0000		-0.1582		
	37.0000		-0.1606		
	38.0000		-0.1612		
	39.0000		-0.1584		
	40.0000		-0.1568		
	41.0000		-0.1579		
	42.0000		-0.1588		
	43.0000		-0.1570		
	44.0000		-0.1570		
	45.0000		-0.1573		
	46.0000		-0.1573		
	47.0000		-0.1584		
	48.0000		-0.1606		
	49.0000		-0.1629		
	50.0000		-0.1602		
	51.0000		-0.1612		
	52.0000		-0.1650		
	53.0000		-0.1606		
	54.0000		-0.1597		
	55.0000		-0.1597		
	56.0000		-0.1604		
	57.0000		-0.1600		
	58.0000		-0.1622		
	59.0000		-0.1625		
	60.0000		-0.1635		
	61.0000		-0.1641		
	62.0000		-0.1641		
	63.0000		-0.1641		
	64.0000		-0.1627		
	65.0000		-0.1618		
	66.0000		-0.1652		
	67.0000		-0.1641		
	68.0000		-0.1641		
	69.0000		-0.1610		
	70.0000		-0.1604		
	71.0000		-0.1624		
	72.0000		-0.1639		
	73.0000		-0.1618		
	74.0000		-0.1620		
	75.0000		-0.1654		
	76.0000		-0.1656		
	77.0000		-0.1660		
	78.0000		-0.1662		
	79.0000		-0.1629		
	80.0000		-0.1626		
	81.0000		-0.1638		
	82.0000		-0.1635		
	83.0000		-0.1638		
	84.0000		-0.1590		
	85.0000		-0.1591		
	86.0000		-0.1591		
	87.0000		-0.1582		
	88.0000		-0.1579		
	89.0000		-0.1616		
	90.0000		-0.1616		
	91.0000		-0.1650		
	92.0000		-0.1678		
	93.0000		-0.1670		
	94.0000		-0.1682		
	95.0000		-0.1708		
	96.0000		-0.1682		
	97.0000		-0.1647		
	98.0000		-0.1638		
	99.0000		-0.1635		
END
