IGOR
X| Wed Jul 12 17:55:40 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1543		
	1.0000		-0.1570		
	2.0000		-0.1573		
	3.0000		-0.1594		
	4.0000		-0.1579		
	5.0000		-0.1568		
	6.0000		-0.1526		
	7.0000		-0.1520		
	8.0000		-0.1562		
	9.0000		-0.1566		
	10.0000		-0.1537		
	11.0000		-0.1522		
	12.0000		-0.1523		
	13.0000		-0.1568		
	14.0000		-0.1576		
	15.0000		-0.1570		
	16.0000		-0.1558		
	17.0000		-0.1535		
	18.0000		-0.1513		
	19.0000		-0.1538		
	20.0000		-0.1529		
	21.0000		-0.1515		
	22.0000		-0.1490		
	23.0000		-0.1484		
	24.0000		-0.1528		
	25.0000		-0.1548		
	26.0000		-0.1573		
	27.0000		-0.1559		
	28.0000		-0.1516		
	29.0000		-0.1476		
	30.0000		-0.1506		
	31.0000		-0.1508		
	32.0000		-0.1488		
	33.0000		-0.1508		
	34.0000		-0.1516		
	35.0000		-0.1512		
	36.0000		-0.1515		
	37.0000		-0.1491		
	38.0000		-0.1518		
	39.0000		-0.1516		
	40.0000		-0.1512		
	41.0000		-0.1515		
	42.0000		-0.1536		
	43.0000		-0.1507		
	44.0000		-0.1510		
	45.0000		-0.1520		
	46.0000		-0.1535		
	47.0000		-0.1572		
	48.0000		-0.1570		
	49.0000		-0.1598		
	50.0000		-0.1585		
	51.0000		-0.1577		
	52.0000		-0.1535		
	53.0000		-0.1506		
	54.0000		-0.1556		
	55.0000		-0.1579		
	56.0000		-0.1576		
	57.0000		-0.1588		
	58.0000		-0.1573		
	59.0000		-0.1615		
	60.0000		-0.1621		
	61.0000		-0.1602		
	62.0000		-0.1604		
	63.0000		-0.1577		
	64.0000		-0.1550		
	65.0000		-0.1554		
	66.0000		-0.1552		
	67.0000		-0.1568		
	68.0000		-0.1560		
	69.0000		-0.1543		
	70.0000		-0.1506		
	71.0000		-0.1530		
	72.0000		-0.1558		
	73.0000		-0.1579		
	74.0000		-0.1649		
	75.0000		-0.1581		
	76.0000		-0.1558		
	77.0000		-0.1558		
	78.0000		-0.1533		
	79.0000		-0.1521		
	80.0000		-0.1529		
	81.0000		-0.1558		
	82.0000		-0.1538		
	83.0000		-0.1504		
	84.0000		-0.1483		
	85.0000		-0.1498		
	86.0000		-0.1518		
	87.0000		-0.1516		
	88.0000		-0.1516		
	89.0000		-0.1506		
	90.0000		-0.1514		
	91.0000		-0.1529		
	92.0000		-0.1523		
	93.0000		-0.1512		
	94.0000		-0.1514		
	95.0000		-0.1494		
	96.0000		-0.1497		
	97.0000		-0.1493		
	98.0000		-0.1506		
	99.0000		-0.1544		
END
