IGOR
X| Thu Jul 13 17:14:40 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1681		
	1.0000		-0.1702		
	2.0000		-0.1641		
	3.0000		-0.1617		
	4.0000		-0.1649		
	5.0000		-0.1629		
	6.0000		-0.1638		
	7.0000		-0.1640		
	8.0000		-0.1649		
	9.0000		-0.1655		
	10.0000		-0.1678		
	11.0000		-0.1679		
	12.0000		-0.1703		
	13.0000		-0.1682		
	14.0000		-0.1694		
	15.0000		-0.1727		
	16.0000		-0.1708		
	17.0000		-0.1706		
	18.0000		-0.1680		
	19.0000		-0.1691		
	20.0000		-0.1672		
	21.0000		-0.1648		
	22.0000		-0.1650		
	23.0000		-0.1644		
	24.0000		-0.1610		
	25.0000		-0.1668		
	26.0000		-0.1694		
	27.0000		-0.1710		
	28.0000		-0.1740		
	29.0000		-0.1756		
	30.0000		-0.1709		
	31.0000		-0.1695		
	32.0000		-0.1707		
	33.0000		-0.1689		
	34.0000		-0.1667		
	35.0000		-0.1652		
	36.0000		-0.1662		
	37.0000		-0.1673		
	38.0000		-0.1679		
	39.0000		-0.1685		
	40.0000		-0.1703		
	41.0000		-0.1729		
	42.0000		-0.1748		
	43.0000		-0.1745		
	44.0000		-0.1773		
	45.0000		-0.1788		
	46.0000		-0.1762		
	47.0000		-0.1734		
	48.0000		-0.1721		
	49.0000		-0.1704		
	50.0000		-0.1714		
	51.0000		-0.1708		
	52.0000		-0.1755		
	53.0000		-0.1771		
	54.0000		-0.1776		
	55.0000		-0.1791		
	56.0000		-0.1810		
	57.0000		-0.1803		
	58.0000		-0.1714		
	59.0000		-0.1742		
	60.0000		-0.1788		
	61.0000		-0.1782		
	62.0000		-0.1781		
	63.0000		-0.1791		
	64.0000		-0.1760		
	65.0000		-0.1791		
	66.0000		-0.1758		
	67.0000		-0.1751		
	68.0000		-0.1734		
	69.0000		-0.1771		
	70.0000		-0.1753		
	71.0000		-0.1702		
	72.0000		-0.1688		
	73.0000		-0.1699		
	74.0000		-0.1724		
	75.0000		-0.1738		
	76.0000		-0.1750		
	77.0000		-0.1735		
	78.0000		-0.1738		
	79.0000		-0.1750		
	80.0000		-0.1764		
	81.0000		-0.1715		
	82.0000		-0.1694		
	83.0000		-0.1670		
	84.0000		-0.1703		
	85.0000		-0.1739		
	86.0000		-0.1790		
	87.0000		-0.1812		
	88.0000		-0.1821		
	89.0000		-0.1814		
	90.0000		-0.1772		
	91.0000		-0.1724		
	92.0000		-0.1701		
	93.0000		-0.1696		
	94.0000		-0.1714		
	95.0000		-0.1723		
	96.0000		-0.1755		
	97.0000		-0.1788		
	98.0000		-0.1824		
	99.0000		-0.1828		
END
