IGOR
X| Thu Jul 13 18:11:28 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1593		
	1.0000		-0.1638		
	2.0000		-0.1643		
	3.0000		-0.1628		
	4.0000		-0.1568		
	5.0000		-0.1579		
	6.0000		-0.1654		
	7.0000		-0.1666		
	8.0000		-0.1665		
	9.0000		-0.1650		
	10.0000		-0.1643		
	11.0000		-0.1648		
	12.0000		-0.1638		
	13.0000		-0.1610		
	14.0000		-0.1624		
	15.0000		-0.1641		
	16.0000		-0.1647		
	17.0000		-0.1657		
	18.0000		-0.1710		
	19.0000		-0.1802		
	20.0000		-0.1844		
	21.0000		-0.1846		
	22.0000		-0.1827		
	23.0000		-0.1817		
	24.0000		-0.1813		
	25.0000		-0.1776		
	26.0000		-0.1756		
	27.0000		-0.1737		
	28.0000		-0.1706		
	29.0000		-0.1704		
	30.0000		-0.1687		
	31.0000		-0.1669		
	32.0000		-0.1702		
	33.0000		-0.1688		
	34.0000		-0.1744		
	35.0000		-0.1786		
	36.0000		-0.1832		
	37.0000		-0.1847		
	38.0000		-0.1822		
	39.0000		-0.1815		
	40.0000		-0.1835		
	41.0000		-0.1799		
	42.0000		-0.1804		
	43.0000		-0.1776		
	44.0000		-0.1737		
	45.0000		-0.1714		
	46.0000		-0.1764		
	47.0000		-0.1766		
	48.0000		-0.1765		
	49.0000		-0.1741		
	50.0000		-0.1660		
	51.0000		-0.1610		
	52.0000		-0.1599		
	53.0000		-0.1629		
	54.0000		-0.1666		
	55.0000		-0.1676		
	56.0000		-0.1711		
	57.0000		-0.1692		
	58.0000		-0.1735		
	59.0000		-0.1756		
	60.0000		-0.1751		
	61.0000		-0.1710		
	62.0000		-0.1679		
	63.0000		-0.1684		
	64.0000		-0.1679		
	65.0000		-0.1693		
	66.0000		-0.1696		
	67.0000		-0.1725		
	68.0000		-0.1758		
	69.0000		-0.1804		
	70.0000		-0.1816		
	71.0000		-0.1781		
	72.0000		-0.1768		
	73.0000		-0.1768		
	74.0000		-0.1770		
	75.0000		-0.1767		
	76.0000		-0.1752		
	77.0000		-0.1747		
	78.0000		-0.1767		
	79.0000		-0.1719		
	80.0000		-0.1714		
	81.0000		-0.1738		
	82.0000		-0.1684		
	83.0000		-0.1682		
	84.0000		-0.1696		
	85.0000		-0.1693		
	86.0000		-0.1691		
	87.0000		-0.1688		
	88.0000		-0.1724		
	89.0000		-0.1698		
	90.0000		-0.1695		
	91.0000		-0.1730		
	92.0000		-0.1706		
	93.0000		-0.1672		
	94.0000		-0.1664		
	95.0000		-0.1658		
	96.0000		-0.1652		
	97.0000		-0.1670		
	98.0000		-0.1626		
	99.0000		-0.1638		
END
