IGOR
X| Thu Jul 13 13:59:37 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2197		
	1.0000		-0.2238		
	2.0000		-0.2231		
	3.0000		-0.2217		
	4.0000		-0.2179		
	5.0000		-0.2154		
	6.0000		-0.2150		
	7.0000		-0.2194		
	8.0000		-0.2182		
	9.0000		-0.2203		
	10.0000		-0.2183		
	11.0000		-0.2132		
	12.0000		-0.2099		
	13.0000		-0.2060		
	14.0000		-0.2070		
	15.0000		-0.2113		
	16.0000		-0.2104		
	17.0000		-0.2106		
	18.0000		-0.2132		
	19.0000		-0.2127		
	20.0000		-0.2085		
	21.0000		-0.2065		
	22.0000		-0.2019		
	23.0000		-0.2020		
	24.0000		-0.2029		
	25.0000		-0.2076		
	26.0000		-0.2120		
	27.0000		-0.2116		
	28.0000		-0.2150		
	29.0000		-0.2150		
	30.0000		-0.2123		
	31.0000		-0.2121		
	32.0000		-0.2146		
	33.0000		-0.2173		
	34.0000		-0.2170		
	35.0000		-0.2191		
	36.0000		-0.2201		
	37.0000		-0.2251		
	38.0000		-0.2271		
	39.0000		-0.2288		
	40.0000		-0.2268		
	41.0000		-0.2288		
	42.0000		-0.2273		
	43.0000		-0.2270		
	44.0000		-0.2232		
	45.0000		-0.2260		
	46.0000		-0.2273		
	47.0000		-0.2252		
	48.0000		-0.2241		
	49.0000		-0.2246		
	50.0000		-0.2199		
	51.0000		-0.2205		
	52.0000		-0.2235		
	53.0000		-0.2229		
	54.0000		-0.2302		
	55.0000		-0.2305		
	56.0000		-0.2318		
	57.0000		-0.2288		
	58.0000		-0.2274		
	59.0000		-0.2266		
	60.0000		-0.2292		
	61.0000		-0.2263		
	62.0000		-0.2204		
	63.0000		-0.2212		
	64.0000		-0.2221		
	65.0000		-0.2212		
	66.0000		-0.2204		
	67.0000		-0.2232		
	68.0000		-0.2208		
	69.0000		-0.2191		
	70.0000		-0.2200		
	71.0000		-0.2178		
	72.0000		-0.2141		
	73.0000		-0.2167		
	74.0000		-0.2160		
	75.0000		-0.2154		
	76.0000		-0.2158		
	77.0000		-0.2156		
	78.0000		-0.2190		
	79.0000		-0.2216		
	80.0000		-0.2192		
	81.0000		-0.2212		
	82.0000		-0.2184		
	83.0000		-0.2212		
	84.0000		-0.2240		
	85.0000		-0.2247		
	86.0000		-0.2271		
	87.0000		-0.2276		
	88.0000		-0.2247		
	89.0000		-0.2219		
	90.0000		-0.2228		
	91.0000		-0.2268		
	92.0000		-0.2260		
	93.0000		-0.2279		
	94.0000		-0.2237		
	95.0000		-0.2235		
	96.0000		-0.2255		
	97.0000		-0.2299		
	98.0000		-0.2286		
	99.0000		-0.2266		
END
