IGOR
X| Thu Jul 13 13:53:52 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2591		
	1.0000		-0.2562		
	2.0000		-0.2568		
	3.0000		-0.2554		
	4.0000		-0.2569		
	5.0000		-0.2579		
	6.0000		-0.2594		
	7.0000		-0.2585		
	8.0000		-0.2594		
	9.0000		-0.2582		
	10.0000		-0.2570		
	11.0000		-0.2517		
	12.0000		-0.2464		
	13.0000		-0.2456		
	14.0000		-0.2436		
	15.0000		-0.2443		
	16.0000		-0.2449		
	17.0000		-0.2426		
	18.0000		-0.2485		
	19.0000		-0.2485		
	20.0000		-0.2427		
	21.0000		-0.2401		
	22.0000		-0.2444		
	23.0000		-0.2440		
	24.0000		-0.2454		
	25.0000		-0.2462		
	26.0000		-0.2434		
	27.0000		-0.2412		
	28.0000		-0.2459		
	29.0000		-0.2442		
	30.0000		-0.2414		
	31.0000		-0.2404		
	32.0000		-0.2408		
	33.0000		-0.2442		
	34.0000		-0.2430		
	35.0000		-0.2436		
	36.0000		-0.2471		
	37.0000		-0.2479		
	38.0000		-0.2464		
	39.0000		-0.2460		
	40.0000		-0.2458		
	41.0000		-0.2440		
	42.0000		-0.2423		
	43.0000		-0.2424		
	44.0000		-0.2394		
	45.0000		-0.2396		
	46.0000		-0.2404		
	47.0000		-0.2398		
	48.0000		-0.2385		
	49.0000		-0.2369		
	50.0000		-0.2406		
	51.0000		-0.2410		
	52.0000		-0.2406		
	53.0000		-0.2415		
	54.0000		-0.2414		
	55.0000		-0.2444		
	56.0000		-0.2460		
	57.0000		-0.2488		
	58.0000		-0.2499		
	59.0000		-0.2487		
	60.0000		-0.2429		
	61.0000		-0.2429		
	62.0000		-0.2463		
	63.0000		-0.2488		
	64.0000		-0.2519		
	65.0000		-0.2541		
	66.0000		-0.2504		
	67.0000		-0.2482		
	68.0000		-0.2492		
	69.0000		-0.2551		
	70.0000		-0.2574		
	71.0000		-0.2548		
	72.0000		-0.2510		
	73.0000		-0.2476		
	74.0000		-0.2409		
	75.0000		-0.2438		
	76.0000		-0.2432		
	77.0000		-0.2426		
	78.0000		-0.2427		
	79.0000		-0.2479		
	80.0000		-0.2493		
	81.0000		-0.2462		
	82.0000		-0.2460		
	83.0000		-0.2458		
	84.0000		-0.2458		
	85.0000		-0.2476		
	86.0000		-0.2494		
	87.0000		-0.2485		
	88.0000		-0.2453		
	89.0000		-0.2456		
	90.0000		-0.2454		
	91.0000		-0.2449		
	92.0000		-0.2477		
	93.0000		-0.2511		
	94.0000		-0.2571		
	95.0000		-0.2538		
	96.0000		-0.2488		
	97.0000		-0.2513		
	98.0000		-0.2473		
	99.0000		-0.2467		
END
