IGOR
X| Sat Jul 15 20:42:06 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1824		
	1.0000		-0.1841		
	2.0000		-0.1835		
	3.0000		-0.1827		
	4.0000		-0.1793		
	5.0000		-0.1831		
	6.0000		-0.1824		
	7.0000		-0.1844		
	8.0000		-0.1804		
	9.0000		-0.1829		
	10.0000		-0.1835		
	11.0000		-0.1811		
	12.0000		-0.1818		
	13.0000		-0.1820		
	14.0000		-0.1838		
	15.0000		-0.1806		
	16.0000		-0.1794		
	17.0000		-0.1785		
	18.0000		-0.1770		
	19.0000		-0.1797		
	20.0000		-0.1796		
	21.0000		-0.1782		
	22.0000		-0.1769		
	23.0000		-0.1750		
	24.0000		-0.1752		
	25.0000		-0.1732		
	26.0000		-0.1720		
	27.0000		-0.1744		
	28.0000		-0.1750		
	29.0000		-0.1768		
	30.0000		-0.1785		
	31.0000		-0.1794		
	32.0000		-0.1814		
	33.0000		-0.1816		
	34.0000		-0.1810		
	35.0000		-0.1820		
	36.0000		-0.1831		
	37.0000		-0.1864		
	38.0000		-0.1890		
	39.0000		-0.1906		
	40.0000		-0.1879		
	41.0000		-0.1900		
	42.0000		-0.1876		
	43.0000		-0.1868		
	44.0000		-0.1890		
	45.0000		-0.1916		
	46.0000		-0.1947		
	47.0000		-0.1970		
	48.0000		-0.1962		
	49.0000		-0.1966		
	50.0000		-0.1991		
	51.0000		-0.2000		
	52.0000		-0.2000		
	53.0000		-0.2010		
	54.0000		-0.1988		
	55.0000		-0.1985		
	56.0000		-0.1976		
	57.0000		-0.1988		
	58.0000		-0.1976		
	59.0000		-0.1943		
	60.0000		-0.1950		
	61.0000		-0.1932		
	62.0000		-0.1926		
	63.0000		-0.1930		
	64.0000		-0.1904		
	65.0000		-0.1899		
	66.0000		-0.1868		
	67.0000		-0.1864		
	68.0000		-0.1860		
	69.0000		-0.1851		
	70.0000		-0.1855		
	71.0000		-0.1826		
	72.0000		-0.1850		
	73.0000		-0.1851		
	74.0000		-0.1829		
	75.0000		-0.1829		
	76.0000		-0.1850		
	77.0000		-0.1868		
	78.0000		-0.1870		
	79.0000		-0.1864		
	80.0000		-0.1868		
	81.0000		-0.1864		
	82.0000		-0.1873		
	83.0000		-0.1906		
	84.0000		-0.1926		
	85.0000		-0.1924		
	86.0000		-0.1923		
	87.0000		-0.1902		
	88.0000		-0.1873		
	89.0000		-0.1867		
	90.0000		-0.1877		
	91.0000		-0.1876		
	92.0000		-0.1873		
	93.0000		-0.1873		
	94.0000		-0.1866		
	95.0000		-0.1888		
	96.0000		-0.1856		
	97.0000		-0.1824		
	98.0000		-0.1804		
	99.0000		-0.1800		
END
