IGOR
X| Sat Jul 15 20:48:52 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1585		
	1.0000		-0.1599		
	2.0000		-0.1649		
	3.0000		-0.1653		
	4.0000		-0.1616		
	5.0000		-0.1603		
	6.0000		-0.1606		
	7.0000		-0.1626		
	8.0000		-0.1612		
	9.0000		-0.1616		
	10.0000		-0.1606		
	11.0000		-0.1616		
	12.0000		-0.1615		
	13.0000		-0.1616		
	14.0000		-0.1597		
	15.0000		-0.1570		
	16.0000		-0.1560		
	17.0000		-0.1523		
	18.0000		-0.1538		
	19.0000		-0.1554		
	20.0000		-0.1562		
	21.0000		-0.1567		
	22.0000		-0.1532		
	23.0000		-0.1525		
	24.0000		-0.1543		
	25.0000		-0.1550		
	26.0000		-0.1562		
	27.0000		-0.1550		
	28.0000		-0.1506		
	29.0000		-0.1540		
	30.0000		-0.1556		
	31.0000		-0.1570		
	32.0000		-0.1602		
	33.0000		-0.1612		
	34.0000		-0.1587		
	35.0000		-0.1573		
	36.0000		-0.1579		
	37.0000		-0.1566		
	38.0000		-0.1576		
	39.0000		-0.1560		
	40.0000		-0.1576		
	41.0000		-0.1588		
	42.0000		-0.1570		
	43.0000		-0.1569		
	44.0000		-0.1540		
	45.0000		-0.1564		
	46.0000		-0.1604		
	47.0000		-0.1641		
	48.0000		-0.1641		
	49.0000		-0.1660		
	50.0000		-0.1651		
	51.0000		-0.1590		
	52.0000		-0.1589		
	53.0000		-0.1600		
	54.0000		-0.1589		
	55.0000		-0.1620		
	56.0000		-0.1604		
	57.0000		-0.1602		
	58.0000		-0.1585		
	59.0000		-0.1571		
	60.0000		-0.1591		
	61.0000		-0.1602		
	62.0000		-0.1600		
	63.0000		-0.1575		
	64.0000		-0.1555		
	65.0000		-0.1538		
	66.0000		-0.1555		
	67.0000		-0.1555		
	68.0000		-0.1576		
	69.0000		-0.1569		
	70.0000		-0.1588		
	71.0000		-0.1616		
	72.0000		-0.1614		
	73.0000		-0.1606		
	74.0000		-0.1570		
	75.0000		-0.1570		
	76.0000		-0.1552		
	77.0000		-0.1560		
	78.0000		-0.1573		
	79.0000		-0.1570		
	80.0000		-0.1582		
	81.0000		-0.1596		
	82.0000		-0.1604		
	83.0000		-0.1594		
	84.0000		-0.1609		
	85.0000		-0.1621		
	86.0000		-0.1613		
	87.0000		-0.1610		
	88.0000		-0.1608		
	89.0000		-0.1579		
	90.0000		-0.1573		
	91.0000		-0.1594		
	92.0000		-0.1576		
	93.0000		-0.1581		
	94.0000		-0.1588		
	95.0000		-0.1585		
	96.0000		-0.1576		
	97.0000		-0.1573		
	98.0000		-0.1591		
	99.0000		-0.1585		
END
