IGOR
X| Sat Jul 15 17:35:33 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1331		
	1.0000		-0.1282		
	2.0000		-0.1276		
	3.0000		-0.1268		
	4.0000		-0.1270		
	5.0000		-0.1298		
	6.0000		-0.1276		
	7.0000		-0.1264		
	8.0000		-0.1271		
	9.0000		-0.1266		
	10.0000		-0.1258		
	11.0000		-0.1235		
	12.0000		-0.1283		
	13.0000		-0.1298		
	14.0000		-0.1273		
	15.0000		-0.1297		
	16.0000		-0.1318		
	17.0000		-0.1347		
	18.0000		-0.1352		
	19.0000		-0.1347		
	20.0000		-0.1351		
	21.0000		-0.1341		
	22.0000		-0.1347		
	23.0000		-0.1335		
	24.0000		-0.1305		
	25.0000		-0.1273		
	26.0000		-0.1288		
	27.0000		-0.1300		
	28.0000		-0.1291		
	29.0000		-0.1297		
	30.0000		-0.1299		
	31.0000		-0.1273		
	32.0000		-0.1254		
	33.0000		-0.1260		
	34.0000		-0.1247		
	35.0000		-0.1252		
	36.0000		-0.1264		
	37.0000		-0.1276		
	38.0000		-0.1288		
	39.0000		-0.1310		
	40.0000		-0.1318		
	41.0000		-0.1329		
	42.0000		-0.1313		
	43.0000		-0.1320		
	44.0000		-0.1303		
	45.0000		-0.1252		
	46.0000		-0.1229		
	47.0000		-0.1229		
	48.0000		-0.1223		
	49.0000		-0.1232		
	50.0000		-0.1219		
	51.0000		-0.1250		
	52.0000		-0.1250		
	53.0000		-0.1241		
	54.0000		-0.1268		
	55.0000		-0.1270		
	56.0000		-0.1260		
	57.0000		-0.1254		
	58.0000		-0.1258		
	59.0000		-0.1238		
	60.0000		-0.1238		
	61.0000		-0.1226		
	62.0000		-0.1227		
	63.0000		-0.1241		
	64.0000		-0.1270		
	65.0000		-0.1254		
	66.0000		-0.1266		
	67.0000		-0.1275		
	68.0000		-0.1287		
	69.0000		-0.1306		
	70.0000		-0.1291		
	71.0000		-0.1294		
	72.0000		-0.1288		
	73.0000		-0.1291		
	74.0000		-0.1312		
	75.0000		-0.1300		
	76.0000		-0.1300		
	77.0000		-0.1277		
	78.0000		-0.1283		
	79.0000		-0.1300		
	80.0000		-0.1312		
	81.0000		-0.1318		
	82.0000		-0.1314		
	83.0000		-0.1387		
	84.0000		-0.1427		
	85.0000		-0.1357		
	86.0000		-0.1341		
	87.0000		-0.1319		
	88.0000		-0.1316		
	89.0000		-0.1306		
	90.0000		-0.1273		
	91.0000		-0.1277		
	92.0000		-0.1249		
	93.0000		-0.1226		
	94.0000		-0.1276		
	95.0000		-0.1312		
	96.0000		-0.1318		
	97.0000		-0.1295		
	98.0000		-0.1264		
	99.0000		-0.1244		
END
