IGOR
X| Sat Jul 15 17:38:09 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1256		
	1.0000		-0.1201		
	2.0000		-0.1200		
	3.0000		-0.1173		
	4.0000		-0.1185		
	5.0000		-0.1185		
	6.0000		-0.1176		
	7.0000		-0.1176		
	8.0000		-0.1176		
	9.0000		-0.1200		
	10.0000		-0.1210		
	11.0000		-0.1220		
	12.0000		-0.1223		
	13.0000		-0.1219		
	14.0000		-0.1182		
	15.0000		-0.1191		
	16.0000		-0.1212		
	17.0000		-0.1199		
	18.0000		-0.1201		
	19.0000		-0.1212		
	20.0000		-0.1212		
	21.0000		-0.1226		
	22.0000		-0.1203		
	23.0000		-0.1179		
	24.0000		-0.1176		
	25.0000		-0.1154		
	26.0000		-0.1127		
	27.0000		-0.1132		
	28.0000		-0.1162		
	29.0000		-0.1182		
	30.0000		-0.1186		
	31.0000		-0.1158		
	32.0000		-0.1168		
	33.0000		-0.1173		
	34.0000		-0.1205		
	35.0000		-0.1206		
	36.0000		-0.1170		
	37.0000		-0.1179		
	38.0000		-0.1179		
	39.0000		-0.1197		
	40.0000		-0.1188		
	41.0000		-0.1200		
	42.0000		-0.1185		
	43.0000		-0.1170		
	44.0000		-0.1176		
	45.0000		-0.1200		
	46.0000		-0.1218		
	47.0000		-0.1249		
	48.0000		-0.1250		
	49.0000		-0.1244		
	50.0000		-0.1264		
	51.0000		-0.1273		
	52.0000		-0.1270		
	53.0000		-0.1237		
	54.0000		-0.1212		
	55.0000		-0.1200		
	56.0000		-0.1197		
	57.0000		-0.1173		
	58.0000		-0.1191		
	59.0000		-0.1210		
	60.0000		-0.1213		
	61.0000		-0.1220		
	62.0000		-0.1218		
	63.0000		-0.1244		
	64.0000		-0.1235		
	65.0000		-0.1244		
	66.0000		-0.1226		
	67.0000		-0.1225		
	68.0000		-0.1247		
	69.0000		-0.1250		
	70.0000		-0.1251		
	71.0000		-0.1244		
	72.0000		-0.1218		
	73.0000		-0.1225		
	74.0000		-0.1223		
	75.0000		-0.1226		
	76.0000		-0.1220		
	77.0000		-0.1238		
	78.0000		-0.1268		
	79.0000		-0.1258		
	80.0000		-0.1238		
	81.0000		-0.1258		
	82.0000		-0.1249		
	83.0000		-0.1250		
	84.0000		-0.1238		
	85.0000		-0.1193		
	86.0000		-0.1179		
	87.0000		-0.1164		
	88.0000		-0.1173		
	89.0000		-0.1166		
	90.0000		-0.1170		
	91.0000		-0.1194		
	92.0000		-0.1199		
	93.0000		-0.1216		
	94.0000		-0.1188		
	95.0000		-0.1176		
	96.0000		-0.1170		
	97.0000		-0.1170		
	98.0000		-0.1170		
	99.0000		-0.1191		
END
