IGOR
X| Sat Jul 15 18:00:56 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2707		
	1.0000		-0.2650		
	2.0000		-0.2679		
	3.0000		-0.2679		
	4.0000		-0.2671		
	5.0000		-0.2633		
	6.0000		-0.2614		
	7.0000		-0.2626		
	8.0000		-0.2673		
	9.0000		-0.2653		
	10.0000		-0.2672		
	11.0000		-0.2670		
	12.0000		-0.2642		
	13.0000		-0.2665		
	14.0000		-0.2689		
	15.0000		-0.2643		
	16.0000		-0.2656		
	17.0000		-0.2660		
	18.0000		-0.2682		
	19.0000		-0.2676		
	20.0000		-0.2714		
	21.0000		-0.2710		
	22.0000		-0.2710		
	23.0000		-0.2759		
	24.0000		-0.2785		
	25.0000		-0.2803		
	26.0000		-0.2791		
	27.0000		-0.2751		
	28.0000		-0.2745		
	29.0000		-0.2752		
	30.0000		-0.2723		
	31.0000		-0.2689		
	32.0000		-0.2655		
	33.0000		-0.2670		
	34.0000		-0.2668		
	35.0000		-0.2666		
	36.0000		-0.2649		
	37.0000		-0.2632		
	38.0000		-0.2631		
	39.0000		-0.2638		
	40.0000		-0.2648		
	41.0000		-0.2670		
	42.0000		-0.2664		
	43.0000		-0.2671		
	44.0000		-0.2720		
	45.0000		-0.2720		
	46.0000		-0.2750		
	47.0000		-0.2741		
	48.0000		-0.2731		
	49.0000		-0.2750		
	50.0000		-0.2755		
	51.0000		-0.2716		
	52.0000		-0.2688		
	53.0000		-0.2660		
	54.0000		-0.2652		
	55.0000		-0.2692		
	56.0000		-0.2676		
	57.0000		-0.2666		
	58.0000		-0.2653		
	59.0000		-0.2642		
	60.0000		-0.2679		
	61.0000		-0.2682		
	62.0000		-0.2686		
	63.0000		-0.2660		
	64.0000		-0.2679		
	65.0000		-0.2629		
	66.0000		-0.2603		
	67.0000		-0.2651		
	68.0000		-0.2636		
	69.0000		-0.2600		
	70.0000		-0.2580		
	71.0000		-0.2590		
	72.0000		-0.2602		
	73.0000		-0.2612		
	74.0000		-0.2643		
	75.0000		-0.2658		
	76.0000		-0.2634		
	77.0000		-0.2620		
	78.0000		-0.2610		
	79.0000		-0.2612		
	80.0000		-0.2606		
	81.0000		-0.2591		
	82.0000		-0.2560		
	83.0000		-0.2606		
	84.0000		-0.2585		
	85.0000		-0.2562		
	86.0000		-0.2538		
	87.0000		-0.2570		
	88.0000		-0.2610		
	89.0000		-0.2618		
	90.0000		-0.2593		
	91.0000		-0.2570		
	92.0000		-0.2597		
	93.0000		-0.2604		
	94.0000		-0.2574		
	95.0000		-0.2597		
	96.0000		-0.2604		
	97.0000		-0.2619		
	98.0000		-0.2604		
	99.0000		-0.2606		
END
