IGOR
X| Sat Jul 15 17:09:20 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1846		
	1.0000		-0.1785		
	2.0000		-0.1745		
	3.0000		-0.1716		
	4.0000		-0.1735		
	5.0000		-0.1762		
	6.0000		-0.1719		
	7.0000		-0.1714		
	8.0000		-0.1700		
	9.0000		-0.1716		
	10.0000		-0.1699		
	11.0000		-0.1688		
	12.0000		-0.1707		
	13.0000		-0.1694		
	14.0000		-0.1700		
	15.0000		-0.1697		
	16.0000		-0.1715		
	17.0000		-0.1703		
	18.0000		-0.1685		
	19.0000		-0.1670		
	20.0000		-0.1722		
	21.0000		-0.1738		
	22.0000		-0.1732		
	23.0000		-0.1716		
	24.0000		-0.1689		
	25.0000		-0.1664		
	26.0000		-0.1632		
	27.0000		-0.1641		
	28.0000		-0.1629		
	29.0000		-0.1641		
	30.0000		-0.1650		
	31.0000		-0.1644		
	32.0000		-0.1661		
	33.0000		-0.1676		
	34.0000		-0.1673		
	35.0000		-0.1668		
	36.0000		-0.1676		
	37.0000		-0.1712		
	38.0000		-0.1682		
	39.0000		-0.1702		
	40.0000		-0.1710		
	41.0000		-0.1691		
	42.0000		-0.1710		
	43.0000		-0.1685		
	44.0000		-0.1676		
	45.0000		-0.1729		
	46.0000		-0.1733		
	47.0000		-0.1685		
	48.0000		-0.1662		
	49.0000		-0.1708		
	50.0000		-0.1713		
	51.0000		-0.1732		
	52.0000		-0.1732		
	53.0000		-0.1739		
	54.0000		-0.1754		
	55.0000		-0.1779		
	56.0000		-0.1810		
	57.0000		-0.1782		
	58.0000		-0.1786		
	59.0000		-0.1782		
	60.0000		-0.1760		
	61.0000		-0.1732		
	62.0000		-0.1766		
	63.0000		-0.1796		
	64.0000		-0.1780		
	65.0000		-0.1766		
	66.0000		-0.1770		
	67.0000		-0.1810		
	68.0000		-0.1804		
	69.0000		-0.1820		
	70.0000		-0.1802		
	71.0000		-0.1777		
	72.0000		-0.1735		
	73.0000		-0.1708		
	74.0000		-0.1716		
	75.0000		-0.1723		
	76.0000		-0.1727		
	77.0000		-0.1726		
	78.0000		-0.1738		
	79.0000		-0.1714		
	80.0000		-0.1706		
	81.0000		-0.1679		
	82.0000		-0.1685		
	83.0000		-0.1654		
	84.0000		-0.1675		
	85.0000		-0.1688		
	86.0000		-0.1661		
	87.0000		-0.1653		
	88.0000		-0.1632		
	89.0000		-0.1644		
	90.0000		-0.1679		
	91.0000		-0.1709		
	92.0000		-0.1764		
	93.0000		-0.1764		
	94.0000		-0.1776		
	95.0000		-0.1776		
	96.0000		-0.1762		
	97.0000		-0.1710		
	98.0000		-0.1703		
	99.0000		-0.1699		
END
