IGOR
X| Sat Jul 15 17:11:57 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2033		
	1.0000		-0.2020		
	2.0000		-0.2002		
	3.0000		-0.2006		
	4.0000		-0.2004		
	5.0000		-0.1979		
	6.0000		-0.1964		
	7.0000		-0.1958		
	8.0000		-0.1941		
	9.0000		-0.1926		
	10.0000		-0.1941		
	11.0000		-0.1938		
	12.0000		-0.1960		
	13.0000		-0.1944		
	14.0000		-0.1911		
	15.0000		-0.1895		
	16.0000		-0.1896		
	17.0000		-0.1908		
	18.0000		-0.1914		
	19.0000		-0.1926		
	20.0000		-0.1935		
	21.0000		-0.1956		
	22.0000		-0.1944		
	23.0000		-0.1921		
	24.0000		-0.1941		
	25.0000		-0.1946		
	26.0000		-0.1920		
	27.0000		-0.1923		
	28.0000		-0.1924		
	29.0000		-0.1943		
	30.0000		-0.1968		
	31.0000		-0.1956		
	32.0000		-0.1914		
	33.0000		-0.1873		
	34.0000		-0.1899		
	35.0000		-0.1918		
	36.0000		-0.1941		
	37.0000		-0.1923		
	38.0000		-0.1912		
	39.0000		-0.1927		
	40.0000		-0.1947		
	41.0000		-0.1960		
	42.0000		-0.1958		
	43.0000		-0.1944		
	44.0000		-0.1934		
	45.0000		-0.1945		
	46.0000		-0.1987		
	47.0000		-0.1968		
	48.0000		-0.1958		
	49.0000		-0.1941		
	50.0000		-0.1924		
	51.0000		-0.1898		
	52.0000		-0.1900		
	53.0000		-0.1920		
	54.0000		-0.1941		
	55.0000		-0.1953		
	56.0000		-0.1962		
	57.0000		-0.1964		
	58.0000		-0.1985		
	59.0000		-0.1994		
	60.0000		-0.1976		
	61.0000		-0.1968		
	62.0000		-0.1966		
	63.0000		-0.1942		
	64.0000		-0.1956		
	65.0000		-0.1944		
	66.0000		-0.1988		
	67.0000		-0.2008		
	68.0000		-0.2001		
	69.0000		-0.2017		
	70.0000		-0.2029		
	71.0000		-0.2002		
	72.0000		-0.1994		
	73.0000		-0.1968		
	74.0000		-0.1948		
	75.0000		-0.1956		
	76.0000		-0.1961		
	77.0000		-0.1920		
	78.0000		-0.1932		
	79.0000		-0.1929		
	80.0000		-0.1944		
	81.0000		-0.1958		
	82.0000		-0.1976		
	83.0000		-0.1970		
	84.0000		-0.1970		
	85.0000		-0.1964		
	86.0000		-0.1974		
	87.0000		-0.1968		
	88.0000		-0.1970		
	89.0000		-0.1962		
	90.0000		-0.1947		
	91.0000		-0.1960		
	92.0000		-0.1968		
	93.0000		-0.1956		
	94.0000		-0.1932		
	95.0000		-0.1958		
	96.0000		-0.1971		
	97.0000		-0.2000		
	98.0000		-0.2000		
	99.0000		-0.1991		
END
