IGOR
X| Mon Jul 17 15:47:33 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1954		
	1.0000		-0.1941		
	2.0000		-0.1947		
	3.0000		-0.1956		
	4.0000		-0.1941		
	5.0000		-0.1916		
	6.0000		-0.1871		
	7.0000		-0.1872		
	8.0000		-0.1879		
	9.0000		-0.1882		
	10.0000		-0.1900		
	11.0000		-0.1914		
	12.0000		-0.1923		
	13.0000		-0.1918		
	14.0000		-0.1954		
	15.0000		-0.1971		
	16.0000		-0.2025		
	17.0000		-0.2038		
	18.0000		-0.2017		
	19.0000		-0.2006		
	20.0000		-0.2028		
	21.0000		-0.2044		
	22.0000		-0.2004		
	23.0000		-0.1969		
	24.0000		-0.2000		
	25.0000		-0.2000		
	26.0000		-0.2012		
	27.0000		-0.2023		
	28.0000		-0.2012		
	29.0000		-0.2027		
	30.0000		-0.2038		
	31.0000		-0.2016		
	32.0000		-0.2024		
	33.0000		-0.2016		
	34.0000		-0.2027		
	35.0000		-0.2035		
	36.0000		-0.2020		
	37.0000		-0.2018		
	38.0000		-0.1990		
	39.0000		-0.1999		
	40.0000		-0.2010		
	41.0000		-0.2012		
	42.0000		-0.2008		
	43.0000		-0.2038		
	44.0000		-0.2017		
	45.0000		-0.2043		
	46.0000		-0.2066		
	47.0000		-0.2056		
	48.0000		-0.2020		
	49.0000		-0.2027		
	50.0000		-0.2026		
	51.0000		-0.2022		
	52.0000		-0.2048		
	53.0000		-0.2041		
	54.0000		-0.2023		
	55.0000		-0.2050		
	56.0000		-0.2020		
	57.0000		-0.2012		
	58.0000		-0.1991		
	59.0000		-0.1983		
	60.0000		-0.1970		
	61.0000		-0.1985		
	62.0000		-0.1964		
	63.0000		-0.1968		
	64.0000		-0.1990		
	65.0000		-0.1962		
	66.0000		-0.1970		
	67.0000		-0.2000		
	68.0000		-0.2010		
	69.0000		-0.2014		
	70.0000		-0.2038		
	71.0000		-0.2047		
	72.0000		-0.1992		
	73.0000		-0.2002		
	74.0000		-0.1966		
	75.0000		-0.1970		
	76.0000		-0.1968		
	77.0000		-0.1952		
	78.0000		-0.1939		
	79.0000		-0.1939		
	80.0000		-0.1935		
	81.0000		-0.1974		
	82.0000		-0.2032		
	83.0000		-0.2026		
	84.0000		-0.2030		
	85.0000		-0.2047		
	86.0000		-0.2064		
	87.0000		-0.2093		
	88.0000		-0.2077		
	89.0000		-0.2070		
	90.0000		-0.2062		
	91.0000		-0.2112		
	92.0000		-0.2168		
	93.0000		-0.2148		
	94.0000		-0.2116		
	95.0000		-0.2082		
	96.0000		-0.2112		
	97.0000		-0.2090		
	98.0000		-0.2097		
	99.0000		-0.2076		
END
