IGOR
X| Mon Jul 17 16:16:55 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2457		
	1.0000		-0.2406		
	2.0000		-0.2402		
	3.0000		-0.2414		
	4.0000		-0.2395		
	5.0000		-0.2418		
	6.0000		-0.2410		
	7.0000		-0.2412		
	8.0000		-0.2382		
	9.0000		-0.2339		
	10.0000		-0.2361		
	11.0000		-0.2355		
	12.0000		-0.2346		
	13.0000		-0.2357		
	14.0000		-0.2365		
	15.0000		-0.2359		
	16.0000		-0.2332		
	17.0000		-0.2354		
	18.0000		-0.2353		
	19.0000		-0.2304		
	20.0000		-0.2312		
	21.0000		-0.2330		
	22.0000		-0.2339		
	23.0000		-0.2326		
	24.0000		-0.2326		
	25.0000		-0.2311		
	26.0000		-0.2297		
	27.0000		-0.2302		
	28.0000		-0.2260		
	29.0000		-0.2256		
	30.0000		-0.2273		
	31.0000		-0.2300		
	32.0000		-0.2270		
	33.0000		-0.2279		
	34.0000		-0.2288		
	35.0000		-0.2347		
	36.0000		-0.2355		
	37.0000		-0.2391		
	38.0000		-0.2371		
	39.0000		-0.2347		
	40.0000		-0.2368		
	41.0000		-0.2388		
	42.0000		-0.2354		
	43.0000		-0.2380		
	44.0000		-0.2369		
	45.0000		-0.2402		
	46.0000		-0.2382		
	47.0000		-0.2368		
	48.0000		-0.2361		
	49.0000		-0.2353		
	50.0000		-0.2309		
	51.0000		-0.2295		
	52.0000		-0.2300		
	53.0000		-0.2270		
	54.0000		-0.2241		
	55.0000		-0.2262		
	56.0000		-0.2287		
	57.0000		-0.2295		
	58.0000		-0.2268		
	59.0000		-0.2265		
	60.0000		-0.2288		
	61.0000		-0.2302		
	62.0000		-0.2262		
	63.0000		-0.2258		
	64.0000		-0.2279		
	65.0000		-0.2254		
	66.0000		-0.2244		
	67.0000		-0.2244		
	68.0000		-0.2269		
	69.0000		-0.2332		
	70.0000		-0.2359		
	71.0000		-0.2351		
	72.0000		-0.2349		
	73.0000		-0.2336		
	74.0000		-0.2358		
	75.0000		-0.2358		
	76.0000		-0.2364		
	77.0000		-0.2368		
	78.0000		-0.2370		
	79.0000		-0.2371		
	80.0000		-0.2366		
	81.0000		-0.2330		
	82.0000		-0.2321		
	83.0000		-0.2310		
	84.0000		-0.2304		
	85.0000		-0.2361		
	86.0000		-0.2323		
	87.0000		-0.2304		
	88.0000		-0.2312		
	89.0000		-0.2306		
	90.0000		-0.2279		
	91.0000		-0.2272		
	92.0000		-0.2275		
	93.0000		-0.2308		
	94.0000		-0.2339		
	95.0000		-0.2368		
	96.0000		-0.2350		
	97.0000		-0.2354		
	98.0000		-0.2408		
	99.0000		-0.2445		
END
