IGOR
X| Mon Jul 17 15:24:30 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1918		
	1.0000		-0.1914		
	2.0000		-0.1864		
	3.0000		-0.1901		
	4.0000		-0.1887		
	5.0000		-0.1879		
	6.0000		-0.1921		
	7.0000		-0.1947		
	8.0000		-0.1910		
	9.0000		-0.1919		
	10.0000		-0.1932		
	11.0000		-0.1912		
	12.0000		-0.1916		
	13.0000		-0.1902		
	14.0000		-0.1948		
	15.0000		-0.1935		
	16.0000		-0.1962		
	17.0000		-0.1974		
	18.0000		-0.1982		
	19.0000		-0.1956		
	20.0000		-0.1976		
	21.0000		-0.1958		
	22.0000		-0.1941		
	23.0000		-0.1938		
	24.0000		-0.1932		
	25.0000		-0.1910		
	26.0000		-0.1932		
	27.0000		-0.1921		
	28.0000		-0.1916		
	29.0000		-0.1918		
	30.0000		-0.1897		
	31.0000		-0.1899		
	32.0000		-0.1876		
	33.0000		-0.1888		
	34.0000		-0.1895		
	35.0000		-0.1910		
	36.0000		-0.1900		
	37.0000		-0.1894		
	38.0000		-0.1948		
	39.0000		-0.1958		
	40.0000		-0.1928		
	41.0000		-0.1914		
	42.0000		-0.1914		
	43.0000		-0.1875		
	44.0000		-0.1916		
	45.0000		-0.1954		
	46.0000		-0.1974		
	47.0000		-0.1991		
	48.0000		-0.1970		
	49.0000		-0.1982		
	50.0000		-0.1962		
	51.0000		-0.1964		
	52.0000		-0.1993		
	53.0000		-0.1973		
	54.0000		-0.1968		
	55.0000		-0.1921		
	56.0000		-0.1923		
	57.0000		-0.1938		
	58.0000		-0.1899		
	59.0000		-0.1935		
	60.0000		-0.1932		
	61.0000		-0.1949		
	62.0000		-0.1968		
	63.0000		-0.1935		
	64.0000		-0.1950		
	65.0000		-0.1952		
	66.0000		-0.1995		
	67.0000		-0.1971		
	68.0000		-0.1964		
	69.0000		-0.1960		
	70.0000		-0.1929		
	71.0000		-0.1938		
	72.0000		-0.1906		
	73.0000		-0.1913		
	74.0000		-0.1923		
	75.0000		-0.1932		
	76.0000		-0.1956		
	77.0000		-0.1960		
	78.0000		-0.1948		
	79.0000		-0.1966		
	80.0000		-0.1951		
	81.0000		-0.1979		
	82.0000		-0.1998		
	83.0000		-0.2016		
	84.0000		-0.1982		
	85.0000		-0.1966		
	86.0000		-0.1932		
	87.0000		-0.1966		
	88.0000		-0.1953		
	89.0000		-0.1921		
	90.0000		-0.1909		
	91.0000		-0.1921		
	92.0000		-0.1981		
	93.0000		-0.2016		
	94.0000		-0.2014		
	95.0000		-0.1958		
	96.0000		-0.1954		
	97.0000		-0.1978		
	98.0000		-0.2023		
	99.0000		-0.2054		
END
