IGOR
X| Mon Jul 17 15:17:11 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2632		
	1.0000		-0.2610		
	2.0000		-0.2570		
	3.0000		-0.2531		
	4.0000		-0.2557		
	5.0000		-0.2548		
	6.0000		-0.2550		
	7.0000		-0.2579		
	8.0000		-0.2597		
	9.0000		-0.2558		
	10.0000		-0.2568		
	11.0000		-0.2578		
	12.0000		-0.2571		
	13.0000		-0.2573		
	14.0000		-0.2588		
	15.0000		-0.2570		
	16.0000		-0.2570		
	17.0000		-0.2582		
	18.0000		-0.2596		
	19.0000		-0.2616		
	20.0000		-0.2602		
	21.0000		-0.2573		
	22.0000		-0.2564		
	23.0000		-0.2537		
	24.0000		-0.2540		
	25.0000		-0.2563		
	26.0000		-0.2596		
	27.0000		-0.2582		
	28.0000		-0.2557		
	29.0000		-0.2520		
	30.0000		-0.2520		
	31.0000		-0.2507		
	32.0000		-0.2517		
	33.0000		-0.2593		
	34.0000		-0.2668		
	35.0000		-0.2718		
	36.0000		-0.2788		
	37.0000		-0.2810		
	38.0000		-0.2771		
	39.0000		-0.2718		
	40.0000		-0.2688		
	41.0000		-0.2697		
	42.0000		-0.2724		
	43.0000		-0.2712		
	44.0000		-0.2694		
	45.0000		-0.2673		
	46.0000		-0.2668		
	47.0000		-0.2653		
	48.0000		-0.2632		
	49.0000		-0.2624		
	50.0000		-0.2627		
	51.0000		-0.2594		
	52.0000		-0.2571		
	53.0000		-0.2608		
	54.0000		-0.2576		
	55.0000		-0.2588		
	56.0000		-0.2610		
	57.0000		-0.2618		
	58.0000		-0.2598		
	59.0000		-0.2635		
	60.0000		-0.2632		
	61.0000		-0.2644		
	62.0000		-0.2659		
	63.0000		-0.2621		
	64.0000		-0.2599		
	65.0000		-0.2577		
	66.0000		-0.2591		
	67.0000		-0.2567		
	68.0000		-0.2617		
	69.0000		-0.2595		
	70.0000		-0.2618		
	71.0000		-0.2597		
	72.0000		-0.2546		
	73.0000		-0.2535		
	74.0000		-0.2548		
	75.0000		-0.2546		
	76.0000		-0.2585		
	77.0000		-0.2637		
	78.0000		-0.2632		
	79.0000		-0.2618		
	80.0000		-0.2591		
	81.0000		-0.2588		
	82.0000		-0.2560		
	83.0000		-0.2552		
	84.0000		-0.2532		
	85.0000		-0.2561		
	86.0000		-0.2604		
	87.0000		-0.2570		
	88.0000		-0.2588		
	89.0000		-0.2585		
	90.0000		-0.2576		
	91.0000		-0.2530		
	92.0000		-0.2551		
	93.0000		-0.2554		
	94.0000		-0.2581		
	95.0000		-0.2599		
	96.0000		-0.2612		
	97.0000		-0.2584		
	98.0000		-0.2562		
	99.0000		-0.2552		
END
