IGOR
X| Mon Jul 17 20:26:03 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1670		
	1.0000		-0.1694		
	2.0000		-0.1712		
	3.0000		-0.1707		
	4.0000		-0.1699		
	5.0000		-0.1715		
	6.0000		-0.1708		
	7.0000		-0.1718		
	8.0000		-0.1729		
	9.0000		-0.1717		
	10.0000		-0.1676		
	11.0000		-0.1648		
	12.0000		-0.1638		
	13.0000		-0.1640		
	14.0000		-0.1673		
	15.0000		-0.1691		
	16.0000		-0.1702		
	17.0000		-0.1691		
	18.0000		-0.1679		
	19.0000		-0.1703		
	20.0000		-0.1738		
	21.0000		-0.1720		
	22.0000		-0.1710		
	23.0000		-0.1720		
	24.0000		-0.1708		
	25.0000		-0.1716		
	26.0000		-0.1735		
	27.0000		-0.1716		
	28.0000		-0.1685		
	29.0000		-0.1664		
	30.0000		-0.1674		
	31.0000		-0.1676		
	32.0000		-0.1710		
	33.0000		-0.1712		
	34.0000		-0.1720		
	35.0000		-0.1694		
	36.0000		-0.1673		
	37.0000		-0.1670		
	38.0000		-0.1673		
	39.0000		-0.1664		
	40.0000		-0.1660		
	41.0000		-0.1664		
	42.0000		-0.1662		
	43.0000		-0.1641		
	44.0000		-0.1638		
	45.0000		-0.1632		
	46.0000		-0.1618		
	47.0000		-0.1617		
	48.0000		-0.1658		
	49.0000		-0.1699		
	50.0000		-0.1694		
	51.0000		-0.1674		
	52.0000		-0.1673		
	53.0000		-0.1712		
	54.0000		-0.1741		
	55.0000		-0.1714		
	56.0000		-0.1723		
	57.0000		-0.1750		
	58.0000		-0.1708		
	59.0000		-0.1664		
	60.0000		-0.1694		
	61.0000		-0.1710		
	62.0000		-0.1741		
	63.0000		-0.1747		
	64.0000		-0.1751		
	65.0000		-0.1710		
	66.0000		-0.1706		
	67.0000		-0.1726		
	68.0000		-0.1721		
	69.0000		-0.1720		
	70.0000		-0.1702		
	71.0000		-0.1716		
	72.0000		-0.1712		
	73.0000		-0.1687		
	74.0000		-0.1704		
	75.0000		-0.1702		
	76.0000		-0.1694		
	77.0000		-0.1676		
	78.0000		-0.1701		
	79.0000		-0.1682		
	80.0000		-0.1675		
	81.0000		-0.1688		
	82.0000		-0.1702		
	83.0000		-0.1693		
	84.0000		-0.1669		
	85.0000		-0.1666		
	86.0000		-0.1637		
	87.0000		-0.1629		
	88.0000		-0.1627		
	89.0000		-0.1635		
	90.0000		-0.1644		
	91.0000		-0.1654		
	92.0000		-0.1666		
	93.0000		-0.1669		
	94.0000		-0.1657		
	95.0000		-0.1691		
	96.0000		-0.1685		
	97.0000		-0.1704		
	98.0000		-0.1708		
	99.0000		-0.1673		
END
