IGOR
X| Mon Jul 17 20:45:51 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1149		
	1.0000		-0.1132		
	2.0000		-0.1125		
	3.0000		-0.1159		
	4.0000		-0.1168		
	5.0000		-0.1160		
	6.0000		-0.1166		
	7.0000		-0.1162		
	8.0000		-0.1162		
	9.0000		-0.1164		
	10.0000		-0.1140		
	11.0000		-0.1126		
	12.0000		-0.1110		
	13.0000		-0.1130		
	14.0000		-0.1176		
	15.0000		-0.1200		
	16.0000		-0.1218		
	17.0000		-0.1202		
	18.0000		-0.1166		
	19.0000		-0.1152		
	20.0000		-0.1149		
	21.0000		-0.1144		
	22.0000		-0.1150		
	23.0000		-0.1148		
	24.0000		-0.1165		
	25.0000		-0.1194		
	26.0000		-0.1200		
	27.0000		-0.1194		
	28.0000		-0.1182		
	29.0000		-0.1170		
	30.0000		-0.1185		
	31.0000		-0.1200		
	32.0000		-0.1200		
	33.0000		-0.1210		
	34.0000		-0.1206		
	35.0000		-0.1196		
	36.0000		-0.1194		
	37.0000		-0.1168		
	38.0000		-0.1164		
	39.0000		-0.1151		
	40.0000		-0.1126		
	41.0000		-0.1116		
	42.0000		-0.1111		
	43.0000		-0.1137		
	44.0000		-0.1164		
	45.0000		-0.1168		
	46.0000		-0.1164		
	47.0000		-0.1158		
	48.0000		-0.1152		
	49.0000		-0.1147		
	50.0000		-0.1132		
	51.0000		-0.1132		
	52.0000		-0.1150		
	53.0000		-0.1158		
	54.0000		-0.1156		
	55.0000		-0.1156		
	56.0000		-0.1156		
	57.0000		-0.1169		
	58.0000		-0.1186		
	59.0000		-0.1154		
	60.0000		-0.1126		
	61.0000		-0.1114		
	62.0000		-0.1153		
	63.0000		-0.1170		
	64.0000		-0.1132		
	65.0000		-0.1144		
	66.0000		-0.1170		
	67.0000		-0.1194		
	68.0000		-0.1179		
	69.0000		-0.1200		
	70.0000		-0.1173		
	71.0000		-0.1170		
	72.0000		-0.1162		
	73.0000		-0.1164		
	74.0000		-0.1158		
	75.0000		-0.1137		
	76.0000		-0.1148		
	77.0000		-0.1152		
	78.0000		-0.1171		
	79.0000		-0.1162		
	80.0000		-0.1182		
	81.0000		-0.1194		
	82.0000		-0.1182		
	83.0000		-0.1200		
	84.0000		-0.1199		
	85.0000		-0.1170		
	86.0000		-0.1194		
	87.0000		-0.1194		
	88.0000		-0.1210		
	89.0000		-0.1220		
	90.0000		-0.1220		
	91.0000		-0.1202		
	92.0000		-0.1182		
	93.0000		-0.1179		
	94.0000		-0.1151		
	95.0000		-0.1160		
	96.0000		-0.1160		
	97.0000		-0.1147		
	98.0000		-0.1150		
	99.0000		-0.1132		
END
