IGOR
X| Mon Jul 17 17:43:41 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1756		
	1.0000		-0.1690		
	2.0000		-0.1624		
	3.0000		-0.1588		
	4.0000		-0.1568		
	5.0000		-0.1540		
	6.0000		-0.1502		
	7.0000		-0.1502		
	8.0000		-0.1502		
	9.0000		-0.1482		
	10.0000		-0.1502		
	11.0000		-0.1455		
	12.0000		-0.1414		
	13.0000		-0.1400		
	14.0000		-0.1389		
	15.0000		-0.1343		
	16.0000		-0.1321		
	17.0000		-0.1279		
	18.0000		-0.1258		
	19.0000		-0.1226		
	20.0000		-0.1229		
	21.0000		-0.1226		
	22.0000		-0.1214		
	23.0000		-0.1200		
	24.0000		-0.1206		
	25.0000		-0.1244		
	26.0000		-0.1220		
	27.0000		-0.1230		
	28.0000		-0.1212		
	29.0000		-0.1208		
	30.0000		-0.1191		
	31.0000		-0.1200		
	32.0000		-0.1194		
	33.0000		-0.1171		
	34.0000		-0.1172		
	35.0000		-0.1176		
	36.0000		-0.1182		
	37.0000		-0.1185		
	38.0000		-0.1197		
	39.0000		-0.1185		
	40.0000		-0.1185		
	41.0000		-0.1170		
	42.0000		-0.1191		
	43.0000		-0.1206		
	44.0000		-0.1214		
	45.0000		-0.1200		
	46.0000		-0.1204		
	47.0000		-0.1187		
	48.0000		-0.1188		
	49.0000		-0.1185		
	50.0000		-0.1197		
	51.0000		-0.1185		
	52.0000		-0.1166		
	53.0000		-0.1147		
	54.0000		-0.1158		
	55.0000		-0.1151		
	56.0000		-0.1175		
	57.0000		-0.1203		
	58.0000		-0.1241		
	59.0000		-0.1220		
	60.0000		-0.1206		
	61.0000		-0.1194		
	62.0000		-0.1199		
	63.0000		-0.1185		
	64.0000		-0.1162		
	65.0000		-0.1154		
	66.0000		-0.1126		
	67.0000		-0.1123		
	68.0000		-0.1132		
	69.0000		-0.1160		
	70.0000		-0.1147		
	71.0000		-0.1188		
	72.0000		-0.1191		
	73.0000		-0.1191		
	74.0000		-0.1167		
	75.0000		-0.1155		
	76.0000		-0.1197		
	77.0000		-0.1185		
	78.0000		-0.1188		
	79.0000		-0.1173		
	80.0000		-0.1173		
	81.0000		-0.1170		
	82.0000		-0.1152		
	83.0000		-0.1150		
	84.0000		-0.1147		
	85.0000		-0.1154		
	86.0000		-0.1164		
	87.0000		-0.1168		
	88.0000		-0.1191		
	89.0000		-0.1176		
	90.0000		-0.1196		
	91.0000		-0.1194		
	92.0000		-0.1197		
	93.0000		-0.1212		
	94.0000		-0.1191		
	95.0000		-0.1179		
	96.0000		-0.1173		
	97.0000		-0.1170		
	98.0000		-0.1154		
	99.0000		-0.1147		
END
