IGOR
X| Mon Jul 17 17:30:39 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2234		
	1.0000		-0.2235		
	2.0000		-0.2285		
	3.0000		-0.2342		
	4.0000		-0.2348		
	5.0000		-0.2362		
	6.0000		-0.2379		
	7.0000		-0.2360		
	8.0000		-0.2295		
	9.0000		-0.2293		
	10.0000		-0.2266		
	11.0000		-0.2262		
	12.0000		-0.2235		
	13.0000		-0.2223		
	14.0000		-0.2221		
	15.0000		-0.2270		
	16.0000		-0.2314		
	17.0000		-0.2265		
	18.0000		-0.2262		
	19.0000		-0.2314		
	20.0000		-0.2350		
	21.0000		-0.2321		
	22.0000		-0.2323		
	23.0000		-0.2318		
	24.0000		-0.2281		
	25.0000		-0.2262		
	26.0000		-0.2266		
	27.0000		-0.2280		
	28.0000		-0.2294		
	29.0000		-0.2281		
	30.0000		-0.2310		
	31.0000		-0.2313		
	32.0000		-0.2329		
	33.0000		-0.2338		
	34.0000		-0.2332		
	35.0000		-0.2329		
	36.0000		-0.2347		
	37.0000		-0.2297		
	38.0000		-0.2258		
	39.0000		-0.2262		
	40.0000		-0.2288		
	41.0000		-0.2279		
	42.0000		-0.2262		
	43.0000		-0.2246		
	44.0000		-0.2222		
	45.0000		-0.2239		
	46.0000		-0.2296		
	47.0000		-0.2319		
	48.0000		-0.2380		
	49.0000		-0.2406		
	50.0000		-0.2430		
	51.0000		-0.2420		
	52.0000		-0.2394		
	53.0000		-0.2397		
	54.0000		-0.2394		
	55.0000		-0.2391		
	56.0000		-0.2404		
	57.0000		-0.2377		
	58.0000		-0.2379		
	59.0000		-0.2362		
	60.0000		-0.2359		
	61.0000		-0.2329		
	62.0000		-0.2312		
	63.0000		-0.2302		
	64.0000		-0.2297		
	65.0000		-0.2276		
	66.0000		-0.2310		
	67.0000		-0.2327		
	68.0000		-0.2330		
	69.0000		-0.2272		
	70.0000		-0.2313		
	71.0000		-0.2311		
	72.0000		-0.2308		
	73.0000		-0.2278		
	74.0000		-0.2274		
	75.0000		-0.2268		
	76.0000		-0.2294		
	77.0000		-0.2302		
	78.0000		-0.2273		
	79.0000		-0.2288		
	80.0000		-0.2308		
	81.0000		-0.2346		
	82.0000		-0.2306		
	83.0000		-0.2314		
	84.0000		-0.2296		
	85.0000		-0.2250		
	86.0000		-0.2264		
	87.0000		-0.2268		
	88.0000		-0.2268		
	89.0000		-0.2257		
	90.0000		-0.2314		
	91.0000		-0.2331		
	92.0000		-0.2332		
	93.0000		-0.2330		
	94.0000		-0.2352		
	95.0000		-0.2353		
	96.0000		-0.2350		
	97.0000		-0.2358		
	98.0000		-0.2326		
	99.0000		-0.2338		
END
