IGOR
X| Tue Jul 18 17:22:31 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  1200   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.6242		
	1.0000		-0.6208		
	2.0000		-0.6163		
	3.0000		-0.6074		
	4.0000		-0.6004		
	5.0000		-0.5935		
	6.0000		-0.5851		
	7.0000		-0.5736		
	8.0000		-0.5703		
	9.0000		-0.5706		
	10.0000		-0.5688		
	11.0000		-0.5653		
	12.0000		-0.5688		
	13.0000		-0.5590		
	14.0000		-0.3873		
	15.0000		-0.3325		
	16.0000		-0.3846		
	17.0000		-0.4319		
	18.0000		-0.4659		
	19.0000		-0.4931		
	20.0000		-0.5258		
	21.0000		-0.5487		
	22.0000		-0.5727		
	23.0000		-0.5896		
	24.0000		-0.6002		
	25.0000		-0.6115		
	26.0000		-0.6340		
	27.0000		-0.6425		
	28.0000		-0.6536		
	29.0000		-0.6658		
	30.0000		-0.6815		
	31.0000		-0.6995		
	32.0000		-0.7130		
	33.0000		-0.7247		
	34.0000		-0.7354		
	35.0000		-0.7379		
	36.0000		-0.7391		
	37.0000		-0.7368		
	38.0000		-0.7311		
	39.0000		-0.7144		
	40.0000		-0.7035		
	41.0000		-0.6986		
	42.0000		-0.6894		
	43.0000		-0.6743		
	44.0000		-0.6659		
	45.0000		-0.6590		
	46.0000		-0.6560		
	47.0000		-0.6511		
	48.0000		-0.6475		
	49.0000		-0.6425		
	50.0000		-0.6433		
	51.0000		-0.6485		
	52.0000		-0.6475		
	53.0000		-0.6461		
	54.0000		-0.6409		
	55.0000		-0.6353		
	56.0000		-0.6343		
	57.0000		-0.6347		
	58.0000		-0.6223		
	59.0000		-0.6074		
	60.0000		-0.5986		
	61.0000		-0.5945		
	62.0000		-0.5949		
	63.0000		-0.5964		
	64.0000		-0.5889		
	65.0000		-0.5827		
	66.0000		-0.5818		
	67.0000		-0.5874		
	68.0000		-0.5893		
	69.0000		-0.5906		
	70.0000		-0.5876		
	71.0000		-0.5849		
	72.0000		-0.5840		
	73.0000		-0.5868		
	74.0000		-0.5803		
	75.0000		-0.5779		
	76.0000		-0.5790		
	77.0000		-0.5825		
	78.0000		-0.5850		
	79.0000		-0.5820		
	80.0000		-0.5801		
	81.0000		-0.5739		
	82.0000		-0.5738		
	83.0000		-0.5710		
	84.0000		-0.5672		
	85.0000		-0.5668		
	86.0000		-0.5632		
	87.0000		-0.5611		
	88.0000		-0.5606		
	89.0000		-0.5660		
	90.0000		-0.5654		
	91.0000		-0.5637		
	92.0000		-0.5623		
	93.0000		-0.5585		
	94.0000		-0.5600		
	95.0000		-0.5650		
	96.0000		-0.5653		
	97.0000		-0.5638		
	98.0000		-0.5625		
	99.0000		-0.5656		
	100.0000		-0.5710		
	101.0000		-0.5739		
	102.0000		-0.5720		
	103.0000		-0.5662		
	104.0000		-0.5673		
	105.0000		-0.5708		
	106.0000		-0.5702		
	107.0000		-0.5716		
	108.0000		-0.5679		
	109.0000		-0.5672		
	110.0000		-0.5627		
	111.0000		-0.5610		
	112.0000		-0.5588		
	113.0000		-0.5620		
	114.0000		-0.5677		
	115.0000		-0.5730		
	116.0000		-0.5684		
	117.0000		-0.5696		
	118.0000		-0.5724		
	119.0000		-0.5759		
	120.0000		-0.5717		
	121.0000		-0.5701		
	122.0000		-0.5652		
	123.0000		-0.5613		
	124.0000		-0.5611		
	125.0000		-0.5571		
	126.0000		-0.5560		
	127.0000		-0.5546		
	128.0000		-0.5560		
	129.0000		-0.5591		
	130.0000		-0.5637		
	131.0000		-0.5655		
	132.0000		-0.5643		
	133.0000		-0.5599		
	134.0000		-0.5610		
	135.0000		-0.5591		
	136.0000		-0.5557		
	137.0000		-0.5632		
	138.0000		-0.5634		
	139.0000		-0.5623		
	140.0000		-0.5612		
	141.0000		-0.5606		
	142.0000		-0.5612		
	143.0000		-0.5571		
	144.0000		-0.5544		
	145.0000		-0.5488		
	146.0000		-0.5498		
	147.0000		-0.5462		
	148.0000		-0.5560		
	149.0000		-0.5608		
	150.0000		-0.5610		
