IGOR
X| Tue Jul 18 15:42:45 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.6783		
	1.0000		-0.6792		
	2.0000		-0.6839		
	3.0000		-0.6825		
	4.0000		-0.6793		
	5.0000		-0.6799		
	6.0000		-0.6871		
	7.0000		-0.6917		
	8.0000		-0.6894		
	9.0000		-0.6940		
	10.0000		-0.6856		
	11.0000		-0.6848		
	12.0000		-0.6874		
	13.0000		-0.6839		
	14.0000		-0.6839		
	15.0000		-0.6819		
	16.0000		-0.6825		
	17.0000		-0.6839		
	18.0000		-0.6903		
	19.0000		-0.6996		
	20.0000		-0.7033		
	21.0000		-0.7055		
	22.0000		-0.7036		
	23.0000		-0.6930		
	24.0000		-0.6857		
	25.0000		-0.6880		
	26.0000		-0.6923		
	27.0000		-0.6938		
	28.0000		-0.6975		
	29.0000		-0.6987		
	30.0000		-0.6966		
	31.0000		-0.6977		
	32.0000		-0.6953		
	33.0000		-0.6949		
	34.0000		-0.6921		
	35.0000		-0.6928		
	36.0000		-0.6895		
	37.0000		-0.6882		
	38.0000		-0.6965		
	39.0000		-0.6980		
	40.0000		-0.6919		
	41.0000		-0.6977		
	42.0000		-0.7020		
	43.0000		-0.7016		
	44.0000		-0.7037		
	45.0000		-0.7115		
	46.0000		-0.7071		
	47.0000		-0.7033		
	48.0000		-0.6999		
	49.0000		-0.6957		
	50.0000		-0.6955		
	51.0000		-0.6988		
	52.0000		-0.6982		
	53.0000		-0.6944		
	54.0000		-0.6965		
	55.0000		-0.6962		
	56.0000		-0.6979		
	57.0000		-0.6997		
	58.0000		-0.6947		
	59.0000		-0.6958		
	60.0000		-0.7072		
	61.0000		-0.7105		
	62.0000		-0.7029		
	63.0000		-0.7027		
	64.0000		-0.7029		
	65.0000		-0.7004		
	66.0000		-0.7036		
	67.0000		-0.7081		
	68.0000		-0.6985		
	69.0000		-0.7023		
	70.0000		-0.7043		
	71.0000		-0.6961		
	72.0000		-0.7010		
	73.0000		-0.7062		
	74.0000		-0.7106		
	75.0000		-0.7166		
	76.0000		-0.7141		
	77.0000		-0.7090		
	78.0000		-0.7108		
	79.0000		-0.7175		
	80.0000		-0.7170		
	81.0000		-0.7121		
	82.0000		-0.7046		
	83.0000		-0.7098		
	84.0000		-0.7100		
	85.0000		-0.7063		
	86.0000		-0.6970		
	87.0000		-0.6955		
	88.0000		-0.7029		
	89.0000		-0.7051		
	90.0000		-0.7024		
	91.0000		-0.7035		
	92.0000		-0.7050		
	93.0000		-0.7000		
	94.0000		-0.6943		
	95.0000		-0.6915		
	96.0000		-0.6904		
	97.0000		-0.6895		
	98.0000		-0.6923		
	99.0000		-0.6904		
END
