IGOR
X| Tue Jul 18 15:58:48 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  100   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.5654		
	1.0000		-0.5753		
	2.0000		-0.5757		
	3.0000		-0.5639		
	4.0000		-0.5565		
	5.0000		-0.5537		
	6.0000		-0.5559		
	7.0000		-0.5606		
	8.0000		-0.5639		
	9.0000		-0.5740		
	10.0000		-0.5747		
	11.0000		-0.5733		
	12.0000		-0.5707		
	13.0000		-0.5673		
	14.0000		-0.5672		
	15.0000		-0.5683		
	16.0000		-0.5645		
	17.0000		-0.5660		
	18.0000		-0.5600		
	19.0000		-0.5512		
	20.0000		-0.5499		
	21.0000		-0.5523		
	22.0000		-0.5540		
	23.0000		-0.5531		
	24.0000		-0.5479		
	25.0000		-0.5487		
	26.0000		-0.5484		
	27.0000		-0.5546		
	28.0000		-0.5521		
	29.0000		-0.5568		
	30.0000		-0.5674		
	31.0000		-0.5738		
	32.0000		-0.5715		
	33.0000		-0.5673		
	34.0000		-0.5606		
	35.0000		-0.5567		
	36.0000		-0.5558		
	37.0000		-0.5642		
	38.0000		-0.5603		
	39.0000		-0.5605		
	40.0000		-0.5608		
	41.0000		-0.5559		
	42.0000		-0.5547		
	43.0000		-0.5592		
	44.0000		-0.5573		
	45.0000		-0.5576		
	46.0000		-0.5521		
	47.0000		-0.5436		
	48.0000		-0.5487		
	49.0000		-0.5518		
	50.0000		-0.5508		
	51.0000		-0.5500		
	52.0000		-0.5421		
	53.0000		-0.5421		
	54.0000		-0.5455		
	55.0000		-0.5503		
	56.0000		-0.5524		
	57.0000		-0.5544		
	58.0000		-0.5529		
	59.0000		-0.5472		
	60.0000		-0.5437		
	61.0000		-0.5487		
	62.0000		-0.5524		
	63.0000		-0.5491		
	64.0000		-0.5521		
	65.0000		-0.5563		
	66.0000		-0.5586		
	67.0000		-0.5582		
	68.0000		-0.5569		
	69.0000		-0.5487		
	70.0000		-0.5515		
	71.0000		-0.5462		
	72.0000		-0.5430		
	73.0000		-0.5453		
	74.0000		-0.5446		
	75.0000		-0.5437		
	76.0000		-0.5454		
	77.0000		-0.5457		
	78.0000		-0.5452		
	79.0000		-0.5390		
	80.0000		-0.5413		
	81.0000		-0.5533		
	82.0000		-0.5525		
	83.0000		-0.5559		
	84.0000		-0.5498		
	85.0000		-0.5431		
	86.0000		-0.5402		
	87.0000		-0.5454		
	88.0000		-0.5494		
	89.0000		-0.5495		
	90.0000		-0.5467		
	91.0000		-0.5485		
	92.0000		-0.5502		
	93.0000		-0.5499		
	94.0000		-0.5468		
	95.0000		-0.5523		
	96.0000		-0.5556		
	97.0000		-0.5507		
	98.0000		-0.5461		
	99.0000		-0.5438		
END
