IGOR
X| Tue Jul 18 13:15:12 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.6369		
	1.0000		-0.6393		
	2.0000		-0.6307		
	3.0000		-0.6221		
	4.0000		-0.6209		
	5.0000		-0.6199		
	6.0000		-0.6171		
	7.0000		-0.6146		
	8.0000		-0.6128		
	9.0000		-0.6116		
	10.0000		-0.6105		
	11.0000		-0.6175		
	12.0000		-0.6085		
	13.0000		-0.4936		
	14.0000		-0.3897		
	15.0000		-0.4293		
	16.0000		-0.4648		
	17.0000		-0.5069		
	18.0000		-0.5300		
	19.0000		-0.5587		
	20.0000		-0.5862		
	21.0000		-0.5970		
	22.0000		-0.5996		
	23.0000		-0.6162		
	24.0000		-0.6226		
	25.0000		-0.6256		
	26.0000		-0.6287		
	27.0000		-0.6325		
	28.0000		-0.6354		
	29.0000		-0.6258		
	30.0000		-0.6296		
	31.0000		-0.6237		
	32.0000		-0.6260		
	33.0000		-0.6212		
	34.0000		-0.6185		
	35.0000		-0.6223		
	36.0000		-0.6218		
	37.0000		-0.6222		
	38.0000		-0.6171		
	39.0000		-0.6172		
	40.0000		-0.6208		
	41.0000		-0.6240		
	42.0000		-0.6323		
	43.0000		-0.6352		
	44.0000		-0.6445		
	45.0000		-0.6540		
	46.0000		-0.6733		
	47.0000		-0.6891		
	48.0000		-0.6886		
	49.0000		-0.6923		
	50.0000		-0.7032		
	51.0000		-0.7168		
	52.0000		-0.7375		
	53.0000		-0.7467		
	54.0000		-0.7541		
	55.0000		-0.7635		
	56.0000		-0.7714		
	57.0000		-0.7690		
	58.0000		-0.7723		
	59.0000		-0.7743		
	60.0000		-0.7773		
	61.0000		-0.7695		
	62.0000		-0.7544		
	63.0000		-0.7407		
	64.0000		-0.7301		
	65.0000		-0.7334		
	66.0000		-0.7284		
	67.0000		-0.7132		
	68.0000		-0.7065		
	69.0000		-0.7032		
	70.0000		-0.6838		
	71.0000		-0.6735		
	72.0000		-0.6656		
	73.0000		-0.6484		
	74.0000		-0.6460		
	75.0000		-0.6380		
	76.0000		-0.6274		
	77.0000		-0.6152		
	78.0000		-0.6233		
	79.0000		-0.6247		
	80.0000		-0.6227		
	81.0000		-0.6299		
	82.0000		-0.6298		
	83.0000		-0.6315		
	84.0000		-0.6324		
	85.0000		-0.6364		
	86.0000		-0.6380		
	87.0000		-0.6235		
	88.0000		-0.6083		
	89.0000		-0.6060		
	90.0000		-0.6024		
	91.0000		-0.6021		
	92.0000		-0.6018		
	93.0000		-0.5999		
	94.0000		-0.6015		
	95.0000		-0.5968		
	96.0000		-0.5976		
	97.0000		-0.5991		
	98.0000		-0.6015		
	99.0000		-0.5982		
	100.0000		-0.5957		
	101.0000		-0.5865		
	102.0000		-0.5845		
	103.0000		-0.5784		
	104.0000		-0.5867		
	105.0000		-0.5847		
	106.0000		-0.5817		
	107.0000		-0.5913		
	108.0000		-0.5798		
	109.0000		-0.5821		
	110.0000		-0.5849		
	111.0000		-0.5973		
	112.0000		-0.5958		
	113.0000		-0.5887		
	114.0000		-0.5983		
	115.0000		-0.6091		
	116.0000		-0.6055		
	117.0000		-0.5951		
	118.0000		-0.5985		
	119.0000		-0.5920		
	120.0000		-0.5982		
	121.0000		-0.6066		
	122.0000		-0.6071		
	123.0000		-0.6086		
	124.0000		-0.6105		
	125.0000		-0.6134		
	126.0000		-0.6099		
	127.0000		-0.6164		
	128.0000		-0.6098		
	129.0000		-0.6148		
	130.0000		-0.6113		
	131.0000		-0.6047		
	132.0000		-0.6148		
	133.0000		-0.6246		
	134.0000		-0.6345		
	135.0000		-0.6406		
	136.0000		-0.6392		
	137.0000		-0.6285		
	138.0000		-0.6276		
	139.0000		-0.6278		
	140.0000		-0.6183		
	141.0000		-0.6149		
	142.0000		-0.6175		
	143.0000		-0.6210		
	144.0000		-0.6110		
	145.0000		-0.6125		
	146.0000		-0.6134		
	147.0000		-0.6282		
	148.0000		-0.6193		
	149.0000		-0.6161		
	150.0000		-0.6164		
	151.0000		-0.6242		
	152.0000		-0.6217		
	153.0000		-0.6215		
	154.0000		-0.6175		
	155.0000		-0.6093		
	156.0000		-0.6069		
	157.0000		-0.6037		
	158.0000		-0.6047		
	159.0000		-0.5940		
	160.0000		-0.6007		
	161.0000		-0.6090		
	162.0000		-0.6100		
	163.0000		-0.6102		
	164.0000		-0.6148		
	165.0000		-0.6132		
	166.0000		-0.6181		
	167.0000		-0.6200		
	168.0000		-0.6154		
	169.0000		-0.6164		
	170.0000		-0.6202		
	171.0000		-0.6121		
	172.0000		-0.6217		
	173.0000		-0.6294		
	174.0000		-0.6213		
	175.0000		-0.6226		
	176.0000		-0.6187		
	177.0000		-0.6167		
	178.0000		-0.6137		
	179.0000		-0.6146		
	180.0000		-0.6093		
	181.0000		-0.6055		
	182.0000		-0.6113		
	183.0000		-0.6152		
	184.0000		-0.6100		
	185.0000		-0.6061		
	186.0000		-0.6138		
	187.0000		-0.6148		
	188.0000		-0.6167		
	189.0000		-0.6115		
	190.0000		-0.6122		
	191.0000		-0.6084		
	192.0000		-0.6055		
	193.0000		-0.6034		
	194.0000		-0.5982		
	195.0000		-0.6038		
	196.0000		-0.5983		
	197.0000		-0.5950		
	198.0000		-0.5944		
	199.0000		-0.5953		
	200.0000		-0.5854		
	201.0000		-0.5890		
	202.0000		-0.5843		
	203.0000		-0.5850		
	204.0000		-0.5905		
	205.0000		-0.5835		
	206.0000		-0.5863		
	207.0000		-0.5844		
	208.0000		-0.5800		
	209.0000		-0.5688		
	210.0000		-0.5715		
	211.0000		-0.5691		
	212.0000		-0.5693		
	213.0000		-0.5725		
