IGOR
X| Tue Jul 18 12:45:30 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.6465		
	1.0000		-0.6475		
	2.0000		-0.6346		
	3.0000		-0.6280		
	4.0000		-0.6235		
	5.0000		-0.6216		
	6.0000		-0.6169		
	7.0000		-0.6116		
	8.0000		-0.6071		
	9.0000		-0.6082		
	10.0000		-0.6035		
	11.0000		-0.5971		
	12.0000		-0.5964		
	13.0000		-0.5954		
	14.0000		-0.5749		
	15.0000		-0.4485		
	16.0000		-0.4363		
	17.0000		-0.4697		
	18.0000		-0.5001		
	19.0000		-0.5219		
	20.0000		-0.5447		
	21.0000		-0.5593		
	22.0000		-0.5649		
	23.0000		-0.5735		
	24.0000		-0.5859		
	25.0000		-0.5963		
	26.0000		-0.5956		
	27.0000		-0.5955		
	28.0000		-0.6029		
	29.0000		-0.6030		
	30.0000		-0.6061		
	31.0000		-0.6089		
	32.0000		-0.6093		
	33.0000		-0.6081		
	34.0000		-0.6071		
	35.0000		-0.6020		
	36.0000		-0.6090		
	37.0000		-0.6039		
	38.0000		-0.5962		
	39.0000		-0.5971		
	40.0000		-0.6036		
	41.0000		-0.6141		
	42.0000		-0.6080		
	43.0000		-0.6016		
	44.0000		-0.5987		
	45.0000		-0.6011		
	46.0000		-0.6023		
	47.0000		-0.6044		
	48.0000		-0.6017		
	49.0000		-0.6013		
	50.0000		-0.6015		
	51.0000		-0.6004		
	52.0000		-0.6013		
	53.0000		-0.6014		
	54.0000		-0.6079		
	55.0000		-0.6078		
	56.0000		-0.6050		
	57.0000		-0.6025		
	58.0000		-0.5917		
	59.0000		-0.5875		
	60.0000		-0.5966		
	61.0000		-0.5999		
	62.0000		-0.5983		
	63.0000		-0.6007		
	64.0000		-0.6003		
	65.0000		-0.6013		
	66.0000		-0.6100		
	67.0000		-0.6108		
	68.0000		-0.6067		
	69.0000		-0.6091		
	70.0000		-0.6057		
	71.0000		-0.5994		
	72.0000		-0.6018		
	73.0000		-0.5930		
	74.0000		-0.5900		
	75.0000		-0.5975		
	76.0000		-0.5870		
	77.0000		-0.5836		
	78.0000		-0.5829		
	79.0000		-0.5948		
	80.0000		-0.6000		
	81.0000		-0.5961		
	82.0000		-0.5991		
	83.0000		-0.5986		
	84.0000		-0.5985		
	85.0000		-0.6008		
	86.0000		-0.6044		
	87.0000		-0.6050		
	88.0000		-0.6019		
	89.0000		-0.6048		
	90.0000		-0.6057		
	91.0000		-0.6062		
	92.0000		-0.6006		
	93.0000		-0.6096		
	94.0000		-0.6080		
	95.0000		-0.6139		
	96.0000		-0.6064		
	97.0000		-0.6105		
	98.0000		-0.6081		
	99.0000		-0.6084		
	100.0000		-0.5979		
	101.0000		-0.5921		
	102.0000		-0.5897		
	103.0000		-0.5992		
	104.0000		-0.5988		
	105.0000		-0.6048		
	106.0000		-0.6087		
	107.0000		-0.5980		
	108.0000		-0.5917		
	109.0000		-0.5932		
	110.0000		-0.6010		
	111.0000		-0.6030		
	112.0000		-0.6017		
	113.0000		-0.6022		
	114.0000		-0.6009		
	115.0000		-0.6010		
	116.0000		-0.5990		
	117.0000		-0.6095		
	118.0000		-0.6056		
	119.0000		-0.6035		
	120.0000		-0.6024		
	121.0000		-0.5952		
	122.0000		-0.5829		
	123.0000		-0.5829		
	124.0000		-0.5879		
	125.0000		-0.5900		
	126.0000		-0.5942		
	127.0000		-0.5952		
	128.0000		-0.5902		
	129.0000		-0.5964		
	130.0000		-0.6105		
	131.0000		-0.6055		
	132.0000		-0.6063		
	133.0000		-0.6070		
	134.0000		-0.6035		
	135.0000		-0.6033		
	136.0000		-0.6028		
	137.0000		-0.5930		
	138.0000		-0.5995		
	139.0000		-0.6043		
	140.0000		-0.5970		
	141.0000		-0.6043		
	142.0000		-0.6046		
	143.0000		-0.5993		
	144.0000		-0.5992		
	145.0000		-0.5954		
	146.0000		-0.5982		
	147.0000		-0.6090		
	148.0000		-0.6172		
	149.0000		-0.6122		
	150.0000		-0.6173		
	151.0000		-0.6191		
	152.0000		-0.6158		
	153.0000		-0.6178		
	154.0000		-0.6116		
	155.0000		-0.6095		
	156.0000		-0.6117		
	157.0000		-0.6073		
	158.0000		-0.6064		
	159.0000		-0.6049		
	160.0000		-0.6019		
	161.0000		-0.6012		
	162.0000		-0.6069		
	163.0000		-0.6120		
	164.0000		-0.6053		
	165.0000		-0.6008		
	166.0000		-0.6071		
	167.0000		-0.6038		
	168.0000		-0.6047		
	169.0000		-0.6075		
	170.0000		-0.6031		
	171.0000		-0.5962		
	172.0000		-0.5893		
	173.0000		-0.5976		
	174.0000		-0.5978		
	175.0000		-0.6019		
	176.0000		-0.6070		
	177.0000		-0.6077		
	178.0000		-0.6049		
	179.0000		-0.6097		
	180.0000		-0.6135		
	181.0000		-0.6060		
	182.0000		-0.6032		
	183.0000		-0.6000		
	184.0000		-0.5937		
	185.0000		-0.5996		
	186.0000		-0.6008		
	187.0000		-0.5984		
	188.0000		-0.5966		
	189.0000		-0.5993		
	190.0000		-0.6018		
	191.0000		-0.6082		
	192.0000		-0.6044		
	193.0000		-0.6046		
	194.0000		-0.6170		
	195.0000		-0.6162		
	196.0000		-0.6188		
	197.0000		-0.6161		
	198.0000		-0.6137		
	199.0000		-0.6127		
	200.0000		-0.6100		
	201.0000		-0.6147		
	202.0000		-0.6186		
	203.0000		-0.6174		
	204.0000		-0.6063		
	205.0000		-0.6024		
	206.0000		-0.6044		
	207.0000		-0.6107		
	208.0000		-0.6086		
	209.0000		-0.6088		
	210.0000		-0.6040		
	211.0000		-0.5993		
	212.0000		-0.6026		
	213.0000		-0.6006		
