IGOR
X| Wed Jul 19 11:03:46 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1374		
	1.0000		-0.1305		
	2.0000		-0.1220		
	3.0000		-0.1169		
	4.0000		-0.1104		
	5.0000		-0.1064		
	6.0000		-0.0972		
	7.0000		-0.0908		
	8.0000		-0.0858		
	9.0000		-0.0862		
	10.0000		-0.0853		
	11.0000		-0.0845		
	12.0000		-0.0841		
	13.0000		0.0029		
	14.0000		0.0173		
	15.0000		-0.0021		
	16.0000		-0.0234		
	17.0000		-0.0380		
	18.0000		-0.0501		
	19.0000		-0.0594		
	20.0000		-0.0616		
	21.0000		-0.0644		
	22.0000		-0.0696		
	23.0000		-0.0764		
	24.0000		-0.0776		
	25.0000		-0.0770		
	26.0000		-0.0735		
	27.0000		-0.0754		
	28.0000		-0.0782		
	29.0000		-0.0791		
	30.0000		-0.0813		
	31.0000		-0.0776		
	32.0000		-0.0766		
	33.0000		-0.0773		
	34.0000		-0.0791		
	35.0000		-0.0829		
	36.0000		-0.0857		
	37.0000		-0.0851		
	38.0000		-0.0795		
	39.0000		-0.0770		
	40.0000		-0.0779		
	41.0000		-0.0782		
	42.0000		-0.0791		
	43.0000		-0.0788		
	44.0000		-0.0770		
	45.0000		-0.0815		
	46.0000		-0.0814		
	47.0000		-0.0817		
	48.0000		-0.0803		
	49.0000		-0.0776		
	50.0000		-0.0785		
	51.0000		-0.0784		
	52.0000		-0.0800		
	53.0000		-0.0794		
	54.0000		-0.0794		
	55.0000		-0.0770		
	56.0000		-0.0782		
	57.0000		-0.0798		
	58.0000		-0.0816		
	59.0000		-0.0817		
	60.0000		-0.0843		
	61.0000		-0.0829		
	62.0000		-0.0835		
	63.0000		-0.0820		
	64.0000		-0.0806		
	65.0000		-0.0788		
	66.0000		-0.0812		
	67.0000		-0.0824		
	68.0000		-0.0806		
	69.0000		-0.0817		
	70.0000		-0.0840		
	71.0000		-0.0814		
	72.0000		-0.0848		
	73.0000		-0.0882		
	74.0000		-0.0880		
	75.0000		-0.0844		
	76.0000		-0.0812		
	77.0000		-0.0788		
	78.0000		-0.0770		
	79.0000		-0.0801		
	80.0000		-0.0804		
	81.0000		-0.0791		
	82.0000		-0.0788		
	83.0000		-0.0777		
	84.0000		-0.0772		
	85.0000		-0.0793		
	86.0000		-0.0768		
	87.0000		-0.0781		
	88.0000		-0.0812		
	89.0000		-0.0832		
	90.0000		-0.0851		
	91.0000		-0.0812		
	92.0000		-0.0774		
	93.0000		-0.0785		
	94.0000		-0.0799		
	95.0000		-0.0794		
	96.0000		-0.0802		
	97.0000		-0.0800		
	98.0000		-0.0768		
	99.0000		-0.0756		
	100.0000		-0.0742		
	101.0000		-0.0753		
	102.0000		-0.0692		
	103.0000		-0.0697		
	104.0000		-0.0751		
	105.0000		-0.0753		
	106.0000		-0.0803		
	107.0000		-0.0850		
	108.0000		-0.0835		
	109.0000		-0.0808		
	110.0000		-0.0794		
	111.0000		-0.0773		
	112.0000		-0.0790		
	113.0000		-0.0829		
	114.0000		-0.0885		
	115.0000		-0.0879		
	116.0000		-0.0879		
	117.0000		-0.0864		
	118.0000		-0.0841		
	119.0000		-0.0835		
	120.0000		-0.0847		
	121.0000		-0.0819		
	122.0000		-0.0823		
	123.0000		-0.0818		
	124.0000		-0.0797		
	125.0000		-0.0760		
	126.0000		-0.0770		
	127.0000		-0.0766		
	128.0000		-0.0770		
	129.0000		-0.0785		
	130.0000		-0.0766		
	131.0000		-0.0746		
	132.0000		-0.0806		
	133.0000		-0.0801		
	134.0000		-0.0816		
	135.0000		-0.0808		
	136.0000		-0.0810		
	137.0000		-0.0819		
	138.0000		-0.0813		
	139.0000		-0.0785		
	140.0000		-0.0832		
	141.0000		-0.0823		
	142.0000		-0.0820		
	143.0000		-0.0807		
	144.0000		-0.0779		
	145.0000		-0.0794		
	146.0000		-0.0841		
	147.0000		-0.0844		
	148.0000		-0.0858		
	149.0000		-0.0850		
	150.0000		-0.0833		
	151.0000		-0.0808		
	152.0000		-0.0849		
	153.0000		-0.0812		
	154.0000		-0.0799		
	155.0000		-0.0817		
	156.0000		-0.0867		
	157.0000		-0.0906		
	158.0000		-0.0986		
	159.0000		-0.1097		
	160.0000		-0.1180		
	161.0000		-0.1302		
	162.0000		-0.1431		
	163.0000		-0.1510		
	164.0000		-0.1632		
	165.0000		-0.1732		
	166.0000		-0.1855		
	167.0000		-0.1959		
	168.0000		-0.2042		
	169.0000		-0.2110		
	170.0000		-0.2210		
	171.0000		-0.2259		
	172.0000		-0.2300		
	173.0000		-0.2291		
	174.0000		-0.2258		
	175.0000		-0.2175		
	176.0000		-0.2064		
	177.0000		-0.2006		
	178.0000		-0.1927		
	179.0000		-0.1850		
	180.0000		-0.1769		
	181.0000		-0.1674		
	182.0000		-0.1585		
	183.0000		-0.1532		
	184.0000		-0.1462		
	185.0000		-0.1386		
	186.0000		-0.1370		
	187.0000		-0.1312		
	188.0000		-0.1285		
	189.0000		-0.1233		
	190.0000		-0.1152		
	191.0000		-0.1127		
	192.0000		-0.1081		
	193.0000		-0.1064		
	194.0000		-0.1048		
	195.0000		-0.1029		
	196.0000		-0.0997		
	197.0000		-0.0960		
	198.0000		-0.0932		
	199.0000		-0.0918		
	200.0000		-0.0909		
	201.0000		-0.0856		
	202.0000		-0.0852		
	203.0000		-0.0850		
	204.0000		-0.0866		
	205.0000		-0.0852		
	206.0000		-0.0856		
	207.0000		-0.0820		
	208.0000		-0.0785		
	209.0000		-0.0768		
	210.0000		-0.0755		
	211.0000		-0.0715		
	212.0000		-0.0694		
	213.0000		-0.0685		
