IGOR
X| Sun Jul 02 16:24:55 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1932		
	1.0000		-0.1892		
	2.0000		-0.1858		
	3.0000		-0.1829		
	4.0000		-0.1793		
	5.0000		-0.1770		
	6.0000		-0.1770		
	7.0000		-0.1779		
	8.0000		-0.1800		
	9.0000		-0.1794		
	10.0000		-0.1797		
	11.0000		-0.1776		
	12.0000		-0.1764		
	13.0000		-0.1636		
	14.0000		-0.1383		
	15.0000		-0.1476		
	16.0000		-0.1525		
	17.0000		-0.1583		
	18.0000		-0.1619		
	19.0000		-0.1673		
	20.0000		-0.1712		
	21.0000		-0.1753		
	22.0000		-0.1779		
	23.0000		-0.1800		
	24.0000		-0.1802		
	25.0000		-0.1800		
	26.0000		-0.1802		
	27.0000		-0.1801		
	28.0000		-0.1802		
	29.0000		-0.1791		
	30.0000		-0.1794		
	31.0000		-0.1794		
	32.0000		-0.1816		
	33.0000		-0.1820		
	34.0000		-0.1820		
	35.0000		-0.1812		
	36.0000		-0.1810		
	37.0000		-0.1812		
	38.0000		-0.1810		
	39.0000		-0.1820		
	40.0000		-0.1816		
	41.0000		-0.1820		
	42.0000		-0.1791		
	43.0000		-0.1782		
	44.0000		-0.1762		
	45.0000		-0.1756		
	46.0000		-0.1770		
	47.0000		-0.1760		
	48.0000		-0.1752		
	49.0000		-0.1754		
	50.0000		-0.1762		
	51.0000		-0.1758		
	52.0000		-0.1770		
	53.0000		-0.1773		
	54.0000		-0.1768		
	55.0000		-0.1781		
	56.0000		-0.1814		
	57.0000		-0.1826		
	58.0000		-0.1818		
	59.0000		-0.1804		
	60.0000		-0.1816		
	61.0000		-0.1820		
	62.0000		-0.1844		
	63.0000		-0.1852		
	64.0000		-0.1850		
	65.0000		-0.1850		
	66.0000		-0.1847		
	67.0000		-0.1832		
	68.0000		-0.1820		
	69.0000		-0.1820		
	70.0000		-0.1820		
	71.0000		-0.1818		
	72.0000		-0.1814		
	73.0000		-0.1814		
	74.0000		-0.1800		
	75.0000		-0.1806		
	76.0000		-0.1808		
	77.0000		-0.1797		
	78.0000		-0.1776		
	79.0000		-0.1788		
	80.0000		-0.1782		
	81.0000		-0.1770		
	82.0000		-0.1770		
	83.0000		-0.1766		
	84.0000		-0.1750		
	85.0000		-0.1764		
	86.0000		-0.1782		
	87.0000		-0.1804		
	88.0000		-0.1820		
	89.0000		-0.1841		
	90.0000		-0.1847		
	91.0000		-0.1826		
	92.0000		-0.1841		
	93.0000		-0.1818		
	94.0000		-0.1800		
	95.0000		-0.1800		
	96.0000		-0.1800		
	97.0000		-0.1791		
	98.0000		-0.1785		
	99.0000		-0.1800		
	100.0000		-0.1800		
	101.0000		-0.1800		
	102.0000		-0.1800		
	103.0000		-0.1804		
	104.0000		-0.1773		
	105.0000		-0.1764		
	106.0000		-0.1785		
	107.0000		-0.1800		
	108.0000		-0.1794		
	109.0000		-0.1785		
	110.0000		-0.1768		
	111.0000		-0.1760		
	112.0000		-0.1756		
	113.0000		-0.1766		
	114.0000		-0.1752		
	115.0000		-0.1769		
	116.0000		-0.1788		
	117.0000		-0.1791		
	118.0000		-0.1770		
	119.0000		-0.1770		
	120.0000		-0.1768		
	121.0000		-0.1750		
	122.0000		-0.1732		
	123.0000		-0.1732		
	124.0000		-0.1753		
	125.0000		-0.1766		
	126.0000		-0.1788		
	127.0000		-0.1779		
	128.0000		-0.1770		
	129.0000		-0.1770		
	130.0000		-0.1782		
	131.0000		-0.1773		
	132.0000		-0.1770		
	133.0000		-0.1766		
	134.0000		-0.1750		
	135.0000		-0.1744		
	136.0000		-0.1720		
	137.0000		-0.1729		
	138.0000		-0.1720		
	139.0000		-0.1702		
	140.0000		-0.1697		
	141.0000		-0.1700		
	142.0000		-0.1700		
	143.0000		-0.1702		
	144.0000		-0.1700		
	145.0000		-0.1700		
	146.0000		-0.1700		
	147.0000		-0.1691		
	148.0000		-0.1670		
	149.0000		-0.1676		
	150.0000		-0.1685		
	151.0000		-0.1716		
	152.0000		-0.1704		
	153.0000		-0.1706		
	154.0000		-0.1716		
	155.0000		-0.1702		
	156.0000		-0.1718		
	157.0000		-0.1718		
	158.0000		-0.1706		
	159.0000		-0.1694		
	160.0000		-0.1664		
	161.0000		-0.1660		
	162.0000		-0.1652		
	163.0000		-0.1664		
	164.0000		-0.1652		
	165.0000		-0.1635		
	166.0000		-0.1632		
	167.0000		-0.1650		
	168.0000		-0.1650		
	169.0000		-0.1662		
	170.0000		-0.1652		
	171.0000		-0.1662		
	172.0000		-0.1691		
	173.0000		-0.1676		
	174.0000		-0.1670		
	175.0000		-0.1688		
	176.0000		-0.1676		
	177.0000		-0.1673		
	178.0000		-0.1658		
	179.0000		-0.1650		
	180.0000		-0.1650		
	181.0000		-0.1656		
	182.0000		-0.1650		
	183.0000		-0.1656		
	184.0000		-0.1650		
	185.0000		-0.1658		
	186.0000		-0.1668		
	187.0000		-0.1688		
	188.0000		-0.1685		
	189.0000		-0.1673		
	190.0000		-0.1660		
	191.0000		-0.1666		
	192.0000		-0.1652		
	193.0000		-0.1660		
	194.0000		-0.1662		
	195.0000		-0.1656		
	196.0000		-0.1644		
	197.0000		-0.1666		
	198.0000		-0.1664		
	199.0000		-0.1650		
	200.0000		-0.1635		
	201.0000		-0.1623		
	202.0000		-0.1623		
	203.0000		-0.1650		
	204.0000		-0.1652		
	205.0000		-0.1656		
	206.0000		-0.1650		
	207.0000		-0.1660		
	208.0000		-0.1666		
	209.0000		-0.1670		
	210.0000		-0.1658		
	211.0000		-0.1666		
	212.0000		-0.1652		
	213.0000		-0.1536		
