IGOR
X| Thu Jul 20 20:09:55 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1440		
	1.0000		-0.1335		
	2.0000		-0.1246		
	3.0000		-0.1255		
	4.0000		-0.1256		
	5.0000		-0.1227		
	6.0000		-0.1169		
	7.0000		-0.1071		
	8.0000		-0.1016		
	9.0000		-0.0969		
	10.0000		-0.0971		
	11.0000		-0.0925		
	12.0000		-0.0912		
	13.0000		-0.0889		
	14.0000		-0.0000		
	15.0000		0.1748		
	16.0000		0.1193		
	17.0000		0.0655		
	18.0000		0.0233		
	19.0000		-0.0125		
	20.0000		-0.0417		
	21.0000		-0.0530		
	22.0000		-0.0670		
	23.0000		-0.0762		
	24.0000		-0.0845		
	25.0000		-0.0878		
	26.0000		-0.0866		
	27.0000		-0.0864		
	28.0000		-0.0820		
	29.0000		-0.0851		
	30.0000		-0.0888		
	31.0000		-0.0901		
	32.0000		-0.0976		
	33.0000		-0.0970		
	34.0000		-0.0921		
	35.0000		-0.0907		
	36.0000		-0.0956		
	37.0000		-0.0972		
	38.0000		-0.1021		
	39.0000		-0.0970		
	40.0000		-0.0925		
	41.0000		-0.0956		
	42.0000		-0.0981		
	43.0000		-0.0950		
	44.0000		-0.0882		
	45.0000		-0.0870		
	46.0000		-0.0879		
	47.0000		-0.0878		
	48.0000		-0.0821		
	49.0000		-0.0795		
	50.0000		-0.0817		
	51.0000		-0.0879		
	52.0000		-0.0867		
	53.0000		-0.0861		
	54.0000		-0.0901		
	55.0000		-0.0917		
	56.0000		-0.0890		
	57.0000		-0.0879		
	58.0000		-0.0971		
	59.0000		-0.1014		
	60.0000		-0.0935		
	61.0000		-0.0890		
	62.0000		-0.0870		
	63.0000		-0.0816		
	64.0000		-0.0834		
	65.0000		-0.0882		
	66.0000		-0.0860		
	67.0000		-0.0897		
	68.0000		-0.0911		
	69.0000		-0.0831		
	70.0000		-0.0889		
	71.0000		-0.0920		
	72.0000		-0.0880		
	73.0000		-0.0848		
	74.0000		-0.0869		
	75.0000		-0.0864		
	76.0000		-0.0849		
	77.0000		-0.0860		
	78.0000		-0.0822		
	79.0000		-0.0800		
	80.0000		-0.0829		
	81.0000		-0.0753		
	82.0000		-0.0785		
	83.0000		-0.0851		
	84.0000		-0.0852		
	85.0000		-0.0848		
	86.0000		-0.0786		
	87.0000		-0.0796		
	88.0000		-0.0833		
	89.0000		-0.0830		
	90.0000		-0.0839		
	91.0000		-0.0839		
	92.0000		-0.0835		
	93.0000		-0.0886		
	94.0000		-0.0816		
	95.0000		-0.0807		
	96.0000		-0.0839		
	97.0000		-0.0865		
	98.0000		-0.0860		
	99.0000		-0.0862		
	100.0000		-0.0832		
	101.0000		-0.0821		
	102.0000		-0.0877		
	103.0000		-0.0965		
	104.0000		-0.0895		
	105.0000		-0.0852		
	106.0000		-0.0838		
	107.0000		-0.0845		
	108.0000		-0.0865		
	109.0000		-0.0957		
	110.0000		-0.1014		
	111.0000		-0.0960		
	112.0000		-0.0960		
	113.0000		-0.0930		
	114.0000		-0.0927		
	115.0000		-0.0806		
	116.0000		-0.0779		
	117.0000		-0.0779		
	118.0000		-0.0856		
	119.0000		-0.0874		
	120.0000		-0.0890		
	121.0000		-0.0887		
	122.0000		-0.0819		
	123.0000		-0.0777		
	124.0000		-0.0787		
	125.0000		-0.0845		
	126.0000		-0.0835		
	127.0000		-0.0821		
	128.0000		-0.0877		
	129.0000		-0.0850		
	130.0000		-0.0907		
	131.0000		-0.0870		
	132.0000		-0.0843		
	133.0000		-0.0814		
	134.0000		-0.0779		
	135.0000		-0.0766		
	136.0000		-0.0782		
	137.0000		-0.0804		
	138.0000		-0.0853		
	139.0000		-0.0880		
	140.0000		-0.0823		
	141.0000		-0.0845		
	142.0000		-0.0868		
	143.0000		-0.0847		
	144.0000		-0.0782		
	145.0000		-0.0795		
	146.0000		-0.0869		
	147.0000		-0.0890		
	148.0000		-0.0895		
	149.0000		-0.0933		
	150.0000		-0.0942		
	151.0000		-0.0957		
	152.0000		-0.0990		
	153.0000		-0.0968		
	154.0000		-0.0980		
	155.0000		-0.1017		
	156.0000		-0.1063		
	157.0000		-0.1033		
	158.0000		-0.1005		
	159.0000		-0.0926		
	160.0000		-0.0847		
	161.0000		-0.0782		
	162.0000		-0.0773		
	163.0000		-0.0803		
	164.0000		-0.0833		
	165.0000		-0.0817		
	166.0000		-0.0782		
	167.0000		-0.0801		
	168.0000		-0.0819		
	169.0000		-0.0863		
	170.0000		-0.0905		
	171.0000		-0.0881		
	172.0000		-0.0835		
	173.0000		-0.0841		
	174.0000		-0.0843		
	175.0000		-0.0878		
	176.0000		-0.0923		
	177.0000		-0.0879		
	178.0000		-0.0870		
	179.0000		-0.0928		
	180.0000		-0.1001		
	181.0000		-0.0969		
	182.0000		-0.0964		
	183.0000		-0.0912		
	184.0000		-0.0863		
	185.0000		-0.0862		
	186.0000		-0.0869		
	187.0000		-0.0803		
	188.0000		-0.0776		
	189.0000		-0.0770		
	190.0000		-0.0749		
	191.0000		-0.0782		
	192.0000		-0.0796		
	193.0000		-0.0823		
	194.0000		-0.0812		
	195.0000		-0.0747		
	196.0000		-0.0780		
	197.0000		-0.0883		
	198.0000		-0.0923		
	199.0000		-0.0900		
	200.0000		-0.0863		
	201.0000		-0.0850		
	202.0000		-0.0869		
	203.0000		-0.0872		
	204.0000		-0.0817		
	205.0000		-0.0788		
	206.0000		-0.0844		
	207.0000		-0.0870		
	208.0000		-0.0914		
	209.0000		-0.0930		
	210.0000		-0.0879		
	211.0000		-0.0842		
	212.0000		-0.0808		
	213.0000		-0.0851		
