IGOR
X| Thu Jul 20 18:05:07 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2524		
	1.0000		-0.2541		
	2.0000		-0.2523		
	3.0000		-0.2532		
	4.0000		-0.2486		
	5.0000		-0.2332		
	6.0000		-0.2267		
	7.0000		-0.2217		
	8.0000		-0.2180		
	9.0000		-0.2184		
	10.0000		-0.2154		
	11.0000		-0.2164		
	12.0000		-0.2113		
	13.0000		-0.2045		
	14.0000		-0.0281		
	15.0000		0.0418		
	16.0000		0.0195		
	17.0000		-0.0344		
	18.0000		-0.0749		
	19.0000		-0.1060		
	20.0000		-0.1280		
	21.0000		-0.1443		
	22.0000		-0.1545		
	23.0000		-0.1645		
	24.0000		-0.1696		
	25.0000		-0.1771		
	26.0000		-0.1839		
	27.0000		-0.1858		
	28.0000		-0.1871		
	29.0000		-0.1873		
	30.0000		-0.1873		
	31.0000		-0.1881		
	32.0000		-0.1888		
	33.0000		-0.1921		
	34.0000		-0.1877		
	35.0000		-0.1874		
	36.0000		-0.1932		
	37.0000		-0.1932		
	38.0000		-0.1962		
	39.0000		-0.1996		
	40.0000		-0.1994		
	41.0000		-0.1943		
	42.0000		-0.1940		
	43.0000		-0.1943		
	44.0000		-0.1972		
	45.0000		-0.1968		
	46.0000		-0.1954		
	47.0000		-0.1891		
	48.0000		-0.1835		
	49.0000		-0.1797		
	50.0000		-0.1766		
	51.0000		-0.1770		
	52.0000		-0.1836		
	53.0000		-0.1810		
	54.0000		-0.1823		
	55.0000		-0.1837		
	56.0000		-0.1829		
	57.0000		-0.1874		
	58.0000		-0.1887		
	59.0000		-0.1890		
	60.0000		-0.1846		
	61.0000		-0.1850		
	62.0000		-0.1876		
	63.0000		-0.1908		
	64.0000		-0.1905		
	65.0000		-0.1902		
	66.0000		-0.1919		
	67.0000		-0.1951		
	68.0000		-0.1986		
	69.0000		-0.1997		
	70.0000		-0.1962		
	71.0000		-0.1951		
	72.0000		-0.1942		
	73.0000		-0.1971		
	74.0000		-0.1965		
	75.0000		-0.1967		
	76.0000		-0.1920		
	77.0000		-0.1926		
	78.0000		-0.1898		
	79.0000		-0.1867		
	80.0000		-0.1862		
	81.0000		-0.1873		
	82.0000		-0.1896		
	83.0000		-0.1897		
	84.0000		-0.1890		
	85.0000		-0.1885		
	86.0000		-0.1870		
	87.0000		-0.1854		
	88.0000		-0.1853		
	89.0000		-0.1909		
	90.0000		-0.1962		
	91.0000		-0.1938		
	92.0000		-0.1979		
	93.0000		-0.1952		
	94.0000		-0.1935		
	95.0000		-0.1912		
	96.0000		-0.1865		
	97.0000		-0.1808		
	98.0000		-0.1842		
	99.0000		-0.1913		
	100.0000		-0.1938		
	101.0000		-0.1926		
	102.0000		-0.1956		
	103.0000		-0.1908		
	104.0000		-0.1882		
	105.0000		-0.1906		
	106.0000		-0.1982		
	107.0000		-0.2013		
	108.0000		-0.1967		
	109.0000		-0.1962		
	110.0000		-0.1932		
	111.0000		-0.1951		
	112.0000		-0.1926		
	113.0000		-0.1935		
	114.0000		-0.1878		
	115.0000		-0.1954		
	116.0000		-0.1959		
	117.0000		-0.1929		
	118.0000		-0.1860		
	119.0000		-0.1841		
	120.0000		-0.1821		
	121.0000		-0.1841		
	122.0000		-0.1864		
	123.0000		-0.1882		
	124.0000		-0.1926		
	125.0000		-0.1968		
	126.0000		-0.2004		
	127.0000		-0.2029		
	128.0000		-0.2037		
	129.0000		-0.2026		
	130.0000		-0.2012		
	131.0000		-0.1980		
	132.0000		-0.1972		
	133.0000		-0.1970		
	134.0000		-0.1963		
	135.0000		-0.1929		
	136.0000		-0.1932		
	137.0000		-0.1892		
	138.0000		-0.1896		
	139.0000		-0.1902		
	140.0000		-0.1889		
	141.0000		-0.1954		
	142.0000		-0.1938		
	143.0000		-0.1893		
	144.0000		-0.1859		
	145.0000		-0.1835		
	146.0000		-0.1864		
	147.0000		-0.1875		
	148.0000		-0.1915		
	149.0000		-0.1937		
	150.0000		-0.1921		
	151.0000		-0.1925		
	152.0000		-0.1951		
	153.0000		-0.1929		
	154.0000		-0.1921		
	155.0000		-0.1902		
	156.0000		-0.1893		
	157.0000		-0.1930		
	158.0000		-0.1910		
	159.0000		-0.1944		
	160.0000		-0.1910		
	161.0000		-0.1910		
	162.0000		-0.1882		
	163.0000		-0.1857		
	164.0000		-0.1868		
	165.0000		-0.1805		
	166.0000		-0.1775		
	167.0000		-0.1785		
	168.0000		-0.1866		
	169.0000		-0.1888		
	170.0000		-0.1914		
	171.0000		-0.1921		
	172.0000		-0.1930		
	173.0000		-0.1979		
	174.0000		-0.1970		
	175.0000		-0.1995		
	176.0000		-0.2004		
	177.0000		-0.2023		
	178.0000		-0.1996		
	179.0000		-0.1985		
	180.0000		-0.2000		
	181.0000		-0.1978		
	182.0000		-0.1930		
	183.0000		-0.1911		
	184.0000		-0.1938		
	185.0000		-0.1931		
	186.0000		-0.1923		
	187.0000		-0.1888		
	188.0000		-0.1902		
	189.0000		-0.1899		
	190.0000		-0.1897		
	191.0000		-0.1892		
	192.0000		-0.1873		
	193.0000		-0.1881		
	194.0000		-0.1862		
	195.0000		-0.1832		
	196.0000		-0.1832		
	197.0000		-0.1856		
	198.0000		-0.1864		
	199.0000		-0.1876		
	200.0000		-0.1916		
	201.0000		-0.1952		
	202.0000		-0.1907		
	203.0000		-0.1887		
	204.0000		-0.1876		
	205.0000		-0.1911		
	206.0000		-0.1917		
	207.0000		-0.1942		
	208.0000		-0.1921		
	209.0000		-0.1902		
	210.0000		-0.1891		
	211.0000		-0.1864		
	212.0000		-0.1853		
	213.0000		-0.1870		
