IGOR
X| Sat Jul 22 20:35:30 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.3185		
	1.0000		-0.3176		
	2.0000		-0.3094		
	3.0000		-0.2883		
	4.0000		-0.2842		
	5.0000		-0.2821		
	6.0000		-0.2841		
	7.0000		-0.2844		
	8.0000		-0.2806		
	9.0000		-0.2729		
	10.0000		-0.2676		
	11.0000		-0.2706		
	12.0000		-0.2740		
	13.0000		-0.0262		
	14.0000		0.0250		
	15.0000		-0.0060		
	16.0000		-0.0691		
	17.0000		-0.1237		
	18.0000		-0.1650		
	19.0000		-0.1978		
	20.0000		-0.2188		
	21.0000		-0.2313		
	22.0000		-0.2430		
	23.0000		-0.2510		
	24.0000		-0.2486		
	25.0000		-0.2643		
	26.0000		-0.2702		
	27.0000		-0.2720		
	28.0000		-0.2720		
	29.0000		-0.2725		
	30.0000		-0.2646		
	31.0000		-0.2717		
	32.0000		-0.2696		
	33.0000		-0.2647		
	34.0000		-0.2488		
	35.0000		-0.2540		
	36.0000		-0.2540		
	37.0000		-0.2513		
	38.0000		-0.2548		
	39.0000		-0.2492		
	40.0000		-0.2554		
	41.0000		-0.2592		
	42.0000		-0.2596		
	43.0000		-0.2594		
	44.0000		-0.2702		
	45.0000		-0.2753		
	46.0000		-0.2781		
	47.0000		-0.2697		
	48.0000		-0.2651		
	49.0000		-0.2589		
	50.0000		-0.2613		
	51.0000		-0.2641		
	52.0000		-0.2602		
	53.0000		-0.2544		
	54.0000		-0.2492		
	55.0000		-0.2537		
	56.0000		-0.2523		
	57.0000		-0.2516		
	58.0000		-0.2587		
	59.0000		-0.2691		
	60.0000		-0.2727		
	61.0000		-0.2711		
	62.0000		-0.2725		
	63.0000		-0.2712		
	64.0000		-0.2644		
	65.0000		-0.2602		
	66.0000		-0.2617		
	67.0000		-0.2645		
	68.0000		-0.2624		
	69.0000		-0.2644		
	70.0000		-0.2558		
	71.0000		-0.2537		
	72.0000		-0.2503		
	73.0000		-0.2491		
	74.0000		-0.2543		
	75.0000		-0.2520		
	76.0000		-0.2463		
	77.0000		-0.2471		
	78.0000		-0.2464		
	79.0000		-0.2505		
	80.0000		-0.2575		
	81.0000		-0.2570		
	82.0000		-0.2603		
	83.0000		-0.2574		
	84.0000		-0.2563		
	85.0000		-0.2527		
	86.0000		-0.2516		
	87.0000		-0.2543		
	88.0000		-0.2550		
	89.0000		-0.2563		
	90.0000		-0.2657		
	91.0000		-0.2699		
	92.0000		-0.2621		
	93.0000		-0.2626		
	94.0000		-0.2597		
	95.0000		-0.2640		
	96.0000		-0.2660		
	97.0000		-0.2649		
	98.0000		-0.2604		
	99.0000		-0.2494		
	100.0000		-0.2447		
	101.0000		-0.2423		
	102.0000		-0.2501		
	103.0000		-0.2579		
	104.0000		-0.2569		
	105.0000		-0.2535		
	106.0000		-0.2489		
	107.0000		-0.2533		
	108.0000		-0.2629		
	109.0000		-0.2632		
	110.0000		-0.2649		
	111.0000		-0.2673		
	112.0000		-0.2617		
	113.0000		-0.2593		
	114.0000		-0.2579		
	115.0000		-0.2606		
	116.0000		-0.2592		
	117.0000		-0.2520		
	118.0000		-0.2490		
	119.0000		-0.2487		
	120.0000		-0.2485		
	121.0000		-0.2521		
	122.0000		-0.2557		
	123.0000		-0.2614		
	124.0000		-0.2545		
	125.0000		-0.2508		
	126.0000		-0.2523		
	127.0000		-0.2498		
	128.0000		-0.2547		
	129.0000		-0.2538		
	130.0000		-0.2587		
	131.0000		-0.2606		
	132.0000		-0.2575		
	133.0000		-0.2610		
	134.0000		-0.2615		
	135.0000		-0.2558		
	136.0000		-0.2564		
	137.0000		-0.2524		
	138.0000		-0.2537		
	139.0000		-0.2496		
	140.0000		-0.2498		
	141.0000		-0.2513		
	142.0000		-0.2528		
	143.0000		-0.2581		
	144.0000		-0.2622		
	145.0000		-0.2658		
	146.0000		-0.2701		
	147.0000		-0.2732		
	148.0000		-0.2746		
	149.0000		-0.2677		
	150.0000		-0.2684		
	151.0000		-0.2615		
	152.0000		-0.2653		
	153.0000		-0.2678		
	154.0000		-0.2687		
	155.0000		-0.2672		
	156.0000		-0.2677		
	157.0000		-0.2662		
	158.0000		-0.2732		
	159.0000		-0.2708		
	160.0000		-0.2749		
	161.0000		-0.2729		
	162.0000		-0.2704		
	163.0000		-0.2646		
	164.0000		-0.2669		
	165.0000		-0.2696		
	166.0000		-0.2662		
	167.0000		-0.2674		
	168.0000		-0.2665		
	169.0000		-0.2658		
	170.0000		-0.2671		
	171.0000		-0.2695		
	172.0000		-0.2615		
	173.0000		-0.2577		
	174.0000		-0.2623		
	175.0000		-0.2658		
	176.0000		-0.2596		
	177.0000		-0.2554		
	178.0000		-0.2586		
	179.0000		-0.2625		
	180.0000		-0.2605		
	181.0000		-0.2606		
	182.0000		-0.2667		
	183.0000		-0.2688		
	184.0000		-0.2685		
	185.0000		-0.2708		
	186.0000		-0.2740		
	187.0000		-0.2739		
	188.0000		-0.2700		
	189.0000		-0.2610		
	190.0000		-0.2544		
	191.0000		-0.2562		
	192.0000		-0.2625		
	193.0000		-0.2629		
	194.0000		-0.2616		
	195.0000		-0.2584		
	196.0000		-0.2583		
	197.0000		-0.2609		
	198.0000		-0.2612		
	199.0000		-0.2635		
	200.0000		-0.2592		
	201.0000		-0.2660		
	202.0000		-0.2679		
	203.0000		-0.2620		
	204.0000		-0.2674		
	205.0000		-0.2677		
	206.0000		-0.2649		
	207.0000		-0.2679		
	208.0000		-0.2676		
	209.0000		-0.2710		
	210.0000		-0.2707		
	211.0000		-0.2729		
	212.0000		-0.2744		
	213.0000		-0.2705		
