IGOR
X| Sat Jul 22 16:51:19 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2983		
	1.0000		-0.3061		
	2.0000		-0.2957		
	3.0000		-0.2867		
	4.0000		-0.2851		
	5.0000		-0.2790		
	6.0000		-0.2589		
	7.0000		-0.2556		
	8.0000		-0.2499		
	9.0000		-0.2475		
	10.0000		-0.2536		
	11.0000		-0.2594		
	12.0000		-0.2643		
	13.0000		-0.2654		
	14.0000		0.0542		
	15.0000		0.0520		
	16.0000		-0.0162		
	17.0000		-0.0818		
	18.0000		-0.1308		
	19.0000		-0.1607		
	20.0000		-0.1842		
	21.0000		-0.2034		
	22.0000		-0.2209		
	23.0000		-0.2291		
	24.0000		-0.2392		
	25.0000		-0.2438		
	26.0000		-0.2425		
	27.0000		-0.2505		
	28.0000		-0.2508		
	29.0000		-0.2455		
	30.0000		-0.2452		
	31.0000		-0.2472		
	32.0000		-0.2500		
	33.0000		-0.2554		
	34.0000		-0.2571		
	35.0000		-0.2598		
	36.0000		-0.2590		
	37.0000		-0.2639		
	38.0000		-0.2667		
	39.0000		-0.2582		
	40.0000		-0.2570		
	41.0000		-0.2483		
	42.0000		-0.2415		
	43.0000		-0.2495		
	44.0000		-0.2517		
	45.0000		-0.2523		
	46.0000		-0.2481		
	47.0000		-0.2368		
	48.0000		-0.2378		
	49.0000		-0.2346		
	50.0000		-0.2426		
	51.0000		-0.2406		
	52.0000		-0.2421		
	53.0000		-0.2428		
	54.0000		-0.2462		
	55.0000		-0.2408		
	56.0000		-0.2434		
	57.0000		-0.2457		
	58.0000		-0.2413		
	59.0000		-0.2432		
	60.0000		-0.2406		
	61.0000		-0.2418		
	62.0000		-0.2466		
	63.0000		-0.2483		
	64.0000		-0.2480		
	65.0000		-0.2480		
	66.0000		-0.2489		
	67.0000		-0.2471		
	68.0000		-0.2416		
	69.0000		-0.2456		
	70.0000		-0.2417		
	71.0000		-0.2488		
	72.0000		-0.2508		
	73.0000		-0.2518		
	74.0000		-0.2426		
	75.0000		-0.2355		
	76.0000		-0.2370		
	77.0000		-0.2379		
	78.0000		-0.2394		
	79.0000		-0.2416		
	80.0000		-0.2426		
	81.0000		-0.2441		
	82.0000		-0.2500		
	83.0000		-0.2544		
	84.0000		-0.2527		
	85.0000		-0.2552		
	86.0000		-0.2522		
	87.0000		-0.2522		
	88.0000		-0.2555		
	89.0000		-0.2554		
	90.0000		-0.2573		
	91.0000		-0.2583		
	92.0000		-0.2574		
	93.0000		-0.2588		
	94.0000		-0.2586		
	95.0000		-0.2574		
	96.0000		-0.2577		
	97.0000		-0.2645		
	98.0000		-0.2539		
	99.0000		-0.2474		
	100.0000		-0.2458		
	101.0000		-0.2417		
	102.0000		-0.2454		
	103.0000		-0.2573		
	104.0000		-0.2567		
	105.0000		-0.2501		
	106.0000		-0.2491		
	107.0000		-0.2538		
	108.0000		-0.2442		
	109.0000		-0.2381		
	110.0000		-0.2351		
	111.0000		-0.2393		
	112.0000		-0.2358		
	113.0000		-0.2373		
	114.0000		-0.2414		
	115.0000		-0.2427		
	116.0000		-0.2390		
	117.0000		-0.2332		
	118.0000		-0.2361		
	119.0000		-0.2348		
	120.0000		-0.2396		
	121.0000		-0.2397		
	122.0000		-0.2351		
	123.0000		-0.2370		
	124.0000		-0.2455		
	125.0000		-0.2433		
	126.0000		-0.2457		
	127.0000		-0.2465		
	128.0000		-0.2522		
	129.0000		-0.2602		
	130.0000		-0.2624		
	131.0000		-0.2584		
	132.0000		-0.2624		
	133.0000		-0.2578		
	134.0000		-0.2543		
	135.0000		-0.2547		
	136.0000		-0.2532		
	137.0000		-0.2560		
	138.0000		-0.2532		
	139.0000		-0.2480		
	140.0000		-0.2515		
	141.0000		-0.2569		
	142.0000		-0.2560		
	143.0000		-0.2582		
	144.0000		-0.2597		
	145.0000		-0.2635		
	146.0000		-0.2608		
	147.0000		-0.2545		
	148.0000		-0.2512		
	149.0000		-0.2500		
	150.0000		-0.2409		
	151.0000		-0.2395		
	152.0000		-0.2430		
	153.0000		-0.2491		
	154.0000		-0.2464		
	155.0000		-0.2442		
	156.0000		-0.2415		
	157.0000		-0.2390		
	158.0000		-0.2482		
	159.0000		-0.2513		
	160.0000		-0.2547		
	161.0000		-0.2564		
	162.0000		-0.2472		
	163.0000		-0.2467		
	164.0000		-0.2509		
	165.0000		-0.2560		
	166.0000		-0.2502		
	167.0000		-0.2477		
	168.0000		-0.2424		
	169.0000		-0.2401		
	170.0000		-0.2451		
	171.0000		-0.2427		
	172.0000		-0.2467		
	173.0000		-0.2413		
	174.0000		-0.2419		
	175.0000		-0.2410		
	176.0000		-0.2416		
	177.0000		-0.2423		
	178.0000		-0.2395		
	179.0000		-0.2288		
	180.0000		-0.2314		
	181.0000		-0.2334		
	182.0000		-0.2415		
	183.0000		-0.2441		
	184.0000		-0.2497		
	185.0000		-0.2450		
	186.0000		-0.2387		
	187.0000		-0.2366		
	188.0000		-0.2326		
	189.0000		-0.2329		
	190.0000		-0.2406		
	191.0000		-0.2546		
	192.0000		-0.2534		
	193.0000		-0.2548		
	194.0000		-0.2479		
	195.0000		-0.2430		
	196.0000		-0.2438		
	197.0000		-0.2477		
	198.0000		-0.2530		
	199.0000		-0.2472		
	200.0000		-0.2438		
	201.0000		-0.2448		
	202.0000		-0.2540		
	203.0000		-0.2502		
	204.0000		-0.2534		
	205.0000		-0.2618		
	206.0000		-0.2725		
	207.0000		-0.2630		
	208.0000		-0.2548		
	209.0000		-0.2480		
	210.0000		-0.2434		
	211.0000		-0.2413		
	212.0000		-0.2390		
	213.0000		-0.2388		
