IGOR
X| Sat Jul 22 18:15:53 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1862		
	1.0000		-0.1876		
	2.0000		-0.1825		
	3.0000		-0.1750		
	4.0000		-0.1667		
	5.0000		-0.1578		
	6.0000		-0.1580		
	7.0000		-0.1569		
	8.0000		-0.1644		
	9.0000		-0.1688		
	10.0000		-0.1664		
	11.0000		-0.1698		
	12.0000		-0.1711		
	13.0000		-0.1687		
	14.0000		0.2515		
	15.0000		0.2190		
	16.0000		0.1370		
	17.0000		0.0642		
	18.0000		0.0115		
	19.0000		-0.0311		
	20.0000		-0.0613		
	21.0000		-0.0790		
	22.0000		-0.0933		
	23.0000		-0.1065		
	24.0000		-0.1150		
	25.0000		-0.1222		
	26.0000		-0.1341		
	27.0000		-0.1413		
	28.0000		-0.1466		
	29.0000		-0.1442		
	30.0000		-0.1449		
	31.0000		-0.1438		
	32.0000		-0.1375		
	33.0000		-0.1356		
	34.0000		-0.1376		
	35.0000		-0.1385		
	36.0000		-0.1415		
	37.0000		-0.1420		
	38.0000		-0.1404		
	39.0000		-0.1399		
	40.0000		-0.1342		
	41.0000		-0.1326		
	42.0000		-0.1371		
	43.0000		-0.1410		
	44.0000		-0.1386		
	45.0000		-0.1406		
	46.0000		-0.1452		
	47.0000		-0.1492		
	48.0000		-0.1528		
	49.0000		-0.1512		
	50.0000		-0.1508		
	51.0000		-0.1557		
	52.0000		-0.1579		
	53.0000		-0.1615		
	54.0000		-0.1585		
	55.0000		-0.1520		
	56.0000		-0.1445		
	57.0000		-0.1412		
	58.0000		-0.1368		
	59.0000		-0.1360		
	60.0000		-0.1431		
	61.0000		-0.1485		
	62.0000		-0.1482		
	63.0000		-0.1508		
	64.0000		-0.1524		
	65.0000		-0.1534		
	66.0000		-0.1532		
	67.0000		-0.1505		
	68.0000		-0.1462		
	69.0000		-0.1492		
	70.0000		-0.1525		
	71.0000		-0.1548		
	72.0000		-0.1561		
	73.0000		-0.1550		
	74.0000		-0.1534		
	75.0000		-0.1512		
	76.0000		-0.1493		
	77.0000		-0.1487		
	78.0000		-0.1479		
	79.0000		-0.1471		
	80.0000		-0.1510		
	81.0000		-0.1495		
	82.0000		-0.1463		
	83.0000		-0.1446		
	84.0000		-0.1426		
	85.0000		-0.1494		
	86.0000		-0.1605		
	87.0000		-0.1610		
	88.0000		-0.1604		
	89.0000		-0.1573		
	90.0000		-0.1588		
	91.0000		-0.1568		
	92.0000		-0.1545		
	93.0000		-0.1562		
	94.0000		-0.1568		
	95.0000		-0.1557		
	96.0000		-0.1508		
	97.0000		-0.1508		
	98.0000		-0.1547		
	99.0000		-0.1594		
	100.0000		-0.1565		
	101.0000		-0.1554		
	102.0000		-0.1553		
	103.0000		-0.1550		
	104.0000		-0.1534		
	105.0000		-0.1589		
	106.0000		-0.1616		
	107.0000		-0.1604		
	108.0000		-0.1587		
	109.0000		-0.1578		
	110.0000		-0.1564		
	111.0000		-0.1535		
	112.0000		-0.1503		
	113.0000		-0.1518		
	114.0000		-0.1556		
	115.0000		-0.1501		
	116.0000		-0.1485		
	117.0000		-0.1476		
	118.0000		-0.1458		
	119.0000		-0.1451		
	120.0000		-0.1396		
	121.0000		-0.1443		
	122.0000		-0.1522		
	123.0000		-0.1510		
	124.0000		-0.1527		
	125.0000		-0.1494		
	126.0000		-0.1511		
	127.0000		-0.1522		
	128.0000		-0.1484		
	129.0000		-0.1500		
	130.0000		-0.1436		
	131.0000		-0.1412		
	132.0000		-0.1432		
	133.0000		-0.1471		
	134.0000		-0.1482		
	135.0000		-0.1466		
	136.0000		-0.1497		
	137.0000		-0.1542		
	138.0000		-0.1590		
	139.0000		-0.1564		
	140.0000		-0.1557		
	141.0000		-0.1614		
	142.0000		-0.1651		
	143.0000		-0.1582		
	144.0000		-0.1499		
	145.0000		-0.1506		
	146.0000		-0.1516		
	147.0000		-0.1491		
	148.0000		-0.1457		
	149.0000		-0.1466		
	150.0000		-0.1453		
	151.0000		-0.1462		
	152.0000		-0.1468		
	153.0000		-0.1440		
	154.0000		-0.1388		
	155.0000		-0.1351		
	156.0000		-0.1346		
	157.0000		-0.1370		
	158.0000		-0.1423		
	159.0000		-0.1488		
	160.0000		-0.1507		
	161.0000		-0.1457		
	162.0000		-0.1402		
	163.0000		-0.1419		
	164.0000		-0.1435		
	165.0000		-0.1475		
	166.0000		-0.1522		
	167.0000		-0.1562		
	168.0000		-0.1577		
	169.0000		-0.1570		
	170.0000		-0.1484		
	171.0000		-0.1521		
	172.0000		-0.1586		
	173.0000		-0.1546		
	174.0000		-0.1511		
	175.0000		-0.1482		
	176.0000		-0.1452		
	177.0000		-0.1425		
	178.0000		-0.1427		
	179.0000		-0.1406		
	180.0000		-0.1424		
	181.0000		-0.1456		
	182.0000		-0.1484		
	183.0000		-0.1462		
	184.0000		-0.1423		
	185.0000		-0.1432		
	186.0000		-0.1432		
	187.0000		-0.1447		
	188.0000		-0.1463		
	189.0000		-0.1439		
	190.0000		-0.1453		
	191.0000		-0.1455		
	192.0000		-0.1467		
	193.0000		-0.1459		
	194.0000		-0.1426		
	195.0000		-0.1388		
	196.0000		-0.1358		
	197.0000		-0.1382		
	198.0000		-0.1366		
	199.0000		-0.1362		
	200.0000		-0.1378		
	201.0000		-0.1351		
	202.0000		-0.1460		
	203.0000		-0.1500		
	204.0000		-0.1485		
	205.0000		-0.1534		
	206.0000		-0.1476		
	207.0000		-0.1485		
	208.0000		-0.1434		
	209.0000		-0.1433		
	210.0000		-0.1501		
	211.0000		-0.1519		
	212.0000		-0.1528		
	213.0000		-0.1417		
