IGOR
X| Fri Jul 28 14:46:04 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2798		
	1.0000		-0.2735		
	2.0000		-0.2680		
	3.0000		-0.2575		
	4.0000		-0.2477		
	5.0000		-0.2425		
	6.0000		-0.2361		
	7.0000		-0.2295		
	8.0000		-0.2257		
	9.0000		-0.2225		
	10.0000		-0.2238		
	11.0000		-0.2190		
	12.0000		-0.2129		
	13.0000		-0.2111		
	14.0000		-0.2153		
	15.0000		-0.0498		
	16.0000		0.0432		
	17.0000		-0.0181		
	18.0000		-0.0740		
	19.0000		-0.1145		
	20.0000		-0.1413		
	21.0000		-0.1633		
	22.0000		-0.1727		
	23.0000		-0.1773		
	24.0000		-0.1822		
	25.0000		-0.1901		
	26.0000		-0.1989		
	27.0000		-0.2015		
	28.0000		-0.2052		
	29.0000		-0.2031		
	30.0000		-0.2020		
	31.0000		-0.2039		
	32.0000		-0.2048		
	33.0000		-0.2131		
	34.0000		-0.2192		
	35.0000		-0.2153		
	36.0000		-0.2074		
	37.0000		-0.2056		
	38.0000		-0.2083		
	39.0000		-0.2137		
	40.0000		-0.2073		
	41.0000		-0.2057		
	42.0000		-0.2102		
	43.0000		-0.2097		
	44.0000		-0.2044		
	45.0000		-0.2017		
	46.0000		-0.2085		
	47.0000		-0.2084		
	48.0000		-0.2060		
	49.0000		-0.2074		
	50.0000		-0.2052		
	51.0000		-0.1956		
	52.0000		-0.1912		
	53.0000		-0.1914		
	54.0000		-0.1941		
	55.0000		-0.1955		
	56.0000		-0.1998		
	57.0000		-0.2059		
	58.0000		-0.2063		
	59.0000		-0.2064		
	60.0000		-0.2047		
	61.0000		-0.2041		
	62.0000		-0.2060		
	63.0000		-0.2072		
	64.0000		-0.2051		
	65.0000		-0.2056		
	66.0000		-0.2064		
	67.0000		-0.2051		
	68.0000		-0.2063		
	69.0000		-0.2115		
	70.0000		-0.2188		
	71.0000		-0.2196		
	72.0000		-0.2133		
	73.0000		-0.2083		
	74.0000		-0.2017		
	75.0000		-0.1939		
	76.0000		-0.1997		
	77.0000		-0.2028		
	78.0000		-0.2100		
	79.0000		-0.2184		
	80.0000		-0.2164		
	81.0000		-0.2160		
	82.0000		-0.2234		
	83.0000		-0.2260		
	84.0000		-0.2235		
	85.0000		-0.2214		
	86.0000		-0.2154		
	87.0000		-0.2130		
	88.0000		-0.2151		
	89.0000		-0.2131		
	90.0000		-0.2071		
	91.0000		-0.2081		
	92.0000		-0.2028		
	93.0000		-0.1979		
	94.0000		-0.2023		
	95.0000		-0.2060		
	96.0000		-0.2046		
	97.0000		-0.2017		
	98.0000		-0.2001		
	99.0000		-0.2055		
	100.0000		-0.2051		
	101.0000		-0.2075		
	102.0000		-0.2060		
	103.0000		-0.2046		
	104.0000		-0.2049		
	105.0000		-0.2050		
	106.0000		-0.2065		
	107.0000		-0.2053		
	108.0000		-0.2060		
	109.0000		-0.2032		
	110.0000		-0.2028		
	111.0000		-0.2049		
	112.0000		-0.1988		
	113.0000		-0.2020		
	114.0000		-0.1977		
	115.0000		-0.2006		
	116.0000		-0.2027		
	117.0000		-0.2000		
	118.0000		-0.2025		
	119.0000		-0.2028		
	120.0000		-0.2097		
	121.0000		-0.2121		
	122.0000		-0.2093		
	123.0000		-0.2064		
	124.0000		-0.2004		
	125.0000		-0.1920		
	126.0000		-0.1907		
	127.0000		-0.1959		
	128.0000		-0.2062		
	129.0000		-0.2043		
	130.0000		-0.2023		
	131.0000		-0.2005		
	132.0000		-0.2034		
	133.0000		-0.2063		
	134.0000		-0.2102		
	135.0000		-0.2083		
	136.0000		-0.2067		
	137.0000		-0.2021		
	138.0000		-0.2006		
	139.0000		-0.2001		
	140.0000		-0.2019		
	141.0000		-0.2054		
	142.0000		-0.2085		
	143.0000		-0.2050		
	144.0000		-0.1986		
	145.0000		-0.1982		
	146.0000		-0.1947		
	147.0000		-0.1967		
	148.0000		-0.2019		
	149.0000		-0.2016		
	150.0000		-0.2031		
	151.0000		-0.2104		
	152.0000		-0.2047		
	153.0000		-0.2021		
	154.0000		-0.2020		
	155.0000		-0.2031		
	156.0000		-0.2014		
	157.0000		-0.1991		
	158.0000		-0.2006		
	159.0000		-0.2010		
	160.0000		-0.1982		
	161.0000		-0.2098		
	162.0000		-0.2081		
	163.0000		-0.2021		
	164.0000		-0.2025		
	165.0000		-0.1998		
	166.0000		-0.2018		
	167.0000		-0.1969		
	168.0000		-0.1925		
	169.0000		-0.1913		
	170.0000		-0.1924		
	171.0000		-0.1984		
	172.0000		-0.2004		
	173.0000		-0.2024		
	174.0000		-0.2032		
	175.0000		-0.2058		
	176.0000		-0.2061		
	177.0000		-0.2045		
	178.0000		-0.1973		
	179.0000		-0.1893		
	180.0000		-0.1960		
	181.0000		-0.1949		
	182.0000		-0.1935		
	183.0000		-0.1920		
	184.0000		-0.1912		
	185.0000		-0.1987		
	186.0000		-0.2076		
	187.0000		-0.2092		
	188.0000		-0.2058		
	189.0000		-0.2079		
	190.0000		-0.2033		
	191.0000		-0.1988		
	192.0000		-0.1985		
	193.0000		-0.2015		
	194.0000		-0.2041		
	195.0000		-0.2038		
	196.0000		-0.2035		
	197.0000		-0.2128		
	198.0000		-0.2127		
	199.0000		-0.2103		
	200.0000		-0.2066		
	201.0000		-0.2018		
	202.0000		-0.2005		
	203.0000		-0.1964		
	204.0000		-0.2018		
	205.0000		-0.2022		
	206.0000		-0.2019		
	207.0000		-0.2024		
	208.0000		-0.2093		
	209.0000		-0.2111		
	210.0000		-0.2043		
	211.0000		-0.1997		
	212.0000		-0.1969		
	213.0000		-0.1946		
