IGOR
X| Fri Jul 28 15:55:20 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1398		
	1.0000		-0.1327		
	2.0000		-0.1248		
	3.0000		-0.1153		
	4.0000		-0.1115		
	5.0000		-0.1091		
	6.0000		-0.1020		
	7.0000		-0.0965		
	8.0000		-0.0949		
	9.0000		-0.0892		
	10.0000		-0.0845		
	11.0000		-0.0860		
	12.0000		-0.0862		
	13.0000		-0.0844		
	14.0000		-0.0873		
	15.0000		0.1223		
	16.0000		0.1850		
	17.0000		0.1247		
	18.0000		0.0717		
	19.0000		0.0352		
	20.0000		-0.0012		
	21.0000		-0.0249		
	22.0000		-0.0412		
	23.0000		-0.0512		
	24.0000		-0.0537		
	25.0000		-0.0605		
	26.0000		-0.0653		
	27.0000		-0.0688		
	28.0000		-0.0735		
	29.0000		-0.0742		
	30.0000		-0.0773		
	31.0000		-0.0779		
	32.0000		-0.0768		
	33.0000		-0.0797		
	34.0000		-0.0804		
	35.0000		-0.0816		
	36.0000		-0.0784		
	37.0000		-0.0769		
	38.0000		-0.0744		
	39.0000		-0.0748		
	40.0000		-0.0752		
	41.0000		-0.0735		
	42.0000		-0.0753		
	43.0000		-0.0831		
	44.0000		-0.0832		
	45.0000		-0.0889		
	46.0000		-0.0852		
	47.0000		-0.0883		
	48.0000		-0.0839		
	49.0000		-0.0796		
	50.0000		-0.0788		
	51.0000		-0.0791		
	52.0000		-0.0839		
	53.0000		-0.0864		
	54.0000		-0.0858		
	55.0000		-0.0850		
	56.0000		-0.0817		
	57.0000		-0.0804		
	58.0000		-0.0793		
	59.0000		-0.0809		
	60.0000		-0.0809		
	61.0000		-0.0771		
	62.0000		-0.0785		
	63.0000		-0.0804		
	64.0000		-0.0793		
	65.0000		-0.0776		
	66.0000		-0.0788		
	67.0000		-0.0838		
	68.0000		-0.0883		
	69.0000		-0.0868		
	70.0000		-0.0869		
	71.0000		-0.0860		
	72.0000		-0.0854		
	73.0000		-0.0816		
	74.0000		-0.0808		
	75.0000		-0.0830		
	76.0000		-0.0839		
	77.0000		-0.0792		
	78.0000		-0.0784		
	79.0000		-0.0801		
	80.0000		-0.0915		
	81.0000		-0.0891		
	82.0000		-0.0865		
	83.0000		-0.0844		
	84.0000		-0.0820		
	85.0000		-0.0824		
	86.0000		-0.0873		
	87.0000		-0.0846		
	88.0000		-0.0863		
	89.0000		-0.0849		
	90.0000		-0.0812		
	91.0000		-0.0804		
	92.0000		-0.0790		
	93.0000		-0.0808		
	94.0000		-0.0834		
	95.0000		-0.0864		
	96.0000		-0.0886		
	97.0000		-0.0918		
	98.0000		-0.0941		
	99.0000		-0.0918		
	100.0000		-0.0912		
	101.0000		-0.0896		
	102.0000		-0.0872		
	103.0000		-0.0852		
	104.0000		-0.0820		
	105.0000		-0.0791		
	106.0000		-0.0776		
	107.0000		-0.0767		
	108.0000		-0.0771		
	109.0000		-0.0736		
	110.0000		-0.0760		
	111.0000		-0.0749		
	112.0000		-0.0728		
	113.0000		-0.0725		
	114.0000		-0.0742		
	115.0000		-0.0770		
	116.0000		-0.0732		
	117.0000		-0.0750		
	118.0000		-0.0765		
	119.0000		-0.0785		
	120.0000		-0.0799		
	121.0000		-0.0826		
	122.0000		-0.0831		
	123.0000		-0.0799		
	124.0000		-0.0814		
	125.0000		-0.0749		
	126.0000		-0.0763		
	127.0000		-0.0753		
	128.0000		-0.0758		
	129.0000		-0.0770		
	130.0000		-0.0806		
	131.0000		-0.0801		
	132.0000		-0.0798		
	133.0000		-0.0746		
	134.0000		-0.0716		
	135.0000		-0.0757		
	136.0000		-0.0771		
	137.0000		-0.0771		
	138.0000		-0.0807		
	139.0000		-0.0796		
	140.0000		-0.0801		
	141.0000		-0.0807		
	142.0000		-0.0832		
	143.0000		-0.0801		
	144.0000		-0.0782		
	145.0000		-0.0771		
	146.0000		-0.0748		
	147.0000		-0.0708		
	148.0000		-0.0706		
	149.0000		-0.0712		
	150.0000		-0.0717		
	151.0000		-0.0718		
	152.0000		-0.0732		
	153.0000		-0.0766		
	154.0000		-0.0776		
	155.0000		-0.0796		
	156.0000		-0.0802		
	157.0000		-0.0773		
	158.0000		-0.0783		
	159.0000		-0.0814		
	160.0000		-0.0795		
	161.0000		-0.0734		
	162.0000		-0.0697		
	163.0000		-0.0671		
	164.0000		-0.0736		
	165.0000		-0.0763		
	166.0000		-0.0755		
	167.0000		-0.0722		
	168.0000		-0.0735		
	169.0000		-0.0776		
	170.0000		-0.0804		
	171.0000		-0.0794		
	172.0000		-0.0790		
	173.0000		-0.0875		
	174.0000		-0.0885		
	175.0000		-0.0872		
	176.0000		-0.0847		
	177.0000		-0.0854		
	178.0000		-0.0825		
	179.0000		-0.0820		
	180.0000		-0.0792		
	181.0000		-0.0812		
	182.0000		-0.0829		
	183.0000		-0.0817		
	184.0000		-0.0817		
	185.0000		-0.0853		
	186.0000		-0.0888		
	187.0000		-0.0904		
	188.0000		-0.0918		
	189.0000		-0.0944		
	190.0000		-0.0921		
	191.0000		-0.0912		
	192.0000		-0.0885		
	193.0000		-0.0902		
	194.0000		-0.0871		
	195.0000		-0.0821		
	196.0000		-0.0786		
	197.0000		-0.0739		
	198.0000		-0.0697		
	199.0000		-0.0716		
	200.0000		-0.0732		
	201.0000		-0.0743		
	202.0000		-0.0732		
	203.0000		-0.0724		
	204.0000		-0.0740		
	205.0000		-0.0788		
	206.0000		-0.0790		
	207.0000		-0.0791		
	208.0000		-0.0749		
	209.0000		-0.0783		
	210.0000		-0.0774		
	211.0000		-0.0782		
	212.0000		-0.0774		
	213.0000		-0.0771		
