IGOR
X| Tue Jul 04 22:38:34 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  300   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1110		
	1.0000		-0.1112		
	2.0000		-0.1120		
	3.0000		-0.1135		
	4.0000		-0.1158		
	5.0000		-0.1188		
	6.0000		-0.1185		
	7.0000		-0.1200		
	8.0000		-0.1204		
	9.0000		-0.1212		
	10.0000		-0.1200		
	11.0000		-0.1200		
	12.0000		-0.1194		
	13.0000		-0.1200		
	14.0000		-0.1210		
	15.0000		-0.1206		
	16.0000		-0.1212		
	17.0000		-0.1223		
	18.0000		-0.1244		
	19.0000		-0.1250		
	20.0000		-0.1250		
	21.0000		-0.1266		
	22.0000		-0.1266		
	23.0000		-0.1254		
	24.0000		-0.1250		
	25.0000		-0.1250		
	26.0000		-0.1250		
	27.0000		-0.1250		
	28.0000		-0.1241		
	29.0000		-0.1241		
	30.0000		-0.1204		
	31.0000		-0.1214		
	32.0000		-0.1212		
	33.0000		-0.1220		
	34.0000		-0.1241		
	35.0000		-0.1235		
	36.0000		-0.1226		
	37.0000		-0.1220		
	38.0000		-0.1220		
	39.0000		-0.1220		
	40.0000		-0.1220		
	41.0000		-0.1212		
	42.0000		-0.1200		
	43.0000		-0.1200		
	44.0000		-0.1208		
	45.0000		-0.1220		
	46.0000		-0.1241		
	47.0000		-0.1235		
	48.0000		-0.1220		
	49.0000		-0.1229		
	50.0000		-0.1244		
	51.0000		-0.1220		
	52.0000		-0.1214		
	53.0000		-0.1200		
	54.0000		-0.1200		
	55.0000		-0.1167		
	56.0000		-0.1152		
	57.0000		-0.1164		
	58.0000		-0.1191		
	59.0000		-0.1216		
	60.0000		-0.1210		
	61.0000		-0.1200		
	62.0000		-0.1200		
	63.0000		-0.1200		
	64.0000		-0.1210		
	65.0000		-0.1216		
	66.0000		-0.1220		
	67.0000		-0.1220		
	68.0000		-0.1212		
	69.0000		-0.1218		
	70.0000		-0.1220		
	71.0000		-0.1232		
	72.0000		-0.1247		
	73.0000		-0.1232		
	74.0000		-0.1250		
	75.0000		-0.1247		
	76.0000		-0.1250		
	77.0000		-0.1226		
	78.0000		-0.1232		
	79.0000		-0.1252		
	80.0000		-0.1262		
	81.0000		-0.1266		
	82.0000		-0.1297		
	83.0000		-0.1273		
	84.0000		-0.1282		
	85.0000		-0.1270		
	86.0000		-0.1270		
	87.0000		-0.1270		
	88.0000		-0.1256		
	89.0000		-0.1256		
	90.0000		-0.1247		
	91.0000		-0.1220		
	92.0000		-0.1214		
	93.0000		-0.1200		
	94.0000		-0.1194		
	95.0000		-0.1173		
	96.0000		-0.1170		
	97.0000		-0.1160		
	98.0000		-0.1170		
	99.0000		-0.1170		
	100.0000		-0.1194		
	101.0000		-0.1210		
	102.0000		-0.1241		
	103.0000		-0.1223		
	104.0000		-0.1232		
	105.0000		-0.1220		
	106.0000		-0.1220		
	107.0000		-0.1235		
	108.0000		-0.1250		
	109.0000		-0.1256		
	110.0000		-0.1256		
	111.0000		-0.1250		
	112.0000		-0.1241		
	113.0000		-0.1220		
	114.0000		-0.1220		
	115.0000		-0.1212		
	116.0000		-0.1194		
	117.0000		-0.1176		
	118.0000		-0.1170		
	119.0000		-0.1179		
	120.0000		-0.1176		
	121.0000		-0.1170		
	122.0000		-0.1170		
	123.0000		-0.1173		
	124.0000		-0.1168		
	125.0000		-0.1158		
	126.0000		-0.1166		
	127.0000		-0.1170		
	128.0000		-0.1170		
	129.0000		-0.1170		
	130.0000		-0.1197		
	131.0000		-0.1185		
	132.0000		-0.1173		
	133.0000		-0.1182		
	134.0000		-0.1188		
	135.0000		-0.1188		
	136.0000		-0.1197		
	137.0000		-0.1200		
	138.0000		-0.1182		
	139.0000		-0.1197		
	140.0000		-0.1200		
	141.0000		-0.1200		
	142.0000		-0.1200		
	143.0000		-0.1197		
	144.0000		-0.1179		
	145.0000		-0.1182		
	146.0000		-0.1185		
	147.0000		-0.1173		
	148.0000		-0.1170		
	149.0000		-0.1185		
	150.0000		-0.1200		
	151.0000		-0.1202		
	152.0000		-0.1214		
	153.0000		-0.1220		
	154.0000		-0.1214		
	155.0000		-0.1194		
	156.0000		-0.1191		
	157.0000		-0.1208		
	158.0000		-0.1202		
	159.0000		-0.1208		
	160.0000		-0.1220		
	161.0000		-0.1220		
	162.0000		-0.1220		
	163.0000		-0.1220		
	164.0000		-0.1220		
	165.0000		-0.1220		
	166.0000		-0.1217		
	167.0000		-0.1210		
