IGOR
X| Tue Jul 04 23:08:02 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  300   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1876		
	1.0000		-0.1906		
	2.0000		-0.1960		
	3.0000		-0.1988		
	4.0000		-0.2033		
	5.0000		-0.2068		
	6.0000		-0.2107		
	7.0000		-0.2120		
	8.0000		-0.2138		
	9.0000		-0.2164		
	10.0000		-0.2169		
	11.0000		-0.2200		
	12.0000		-0.2188		
	13.0000		-0.2188		
	14.0000		-0.2166		
	15.0000		-0.2170		
	16.0000		-0.2162		
	17.0000		-0.2170		
	18.0000		-0.2200		
	19.0000		-0.2202		
	20.0000		-0.2202		
	21.0000		-0.2200		
	22.0000		-0.2194		
	23.0000		-0.2179		
	24.0000		-0.2191		
	25.0000		-0.2200		
	26.0000		-0.2194		
	27.0000		-0.2173		
	28.0000		-0.2160		
	29.0000		-0.2150		
	30.0000		-0.2162		
	31.0000		-0.2147		
	32.0000		-0.2116		
	33.0000		-0.2132		
	34.0000		-0.2147		
	35.0000		-0.2150		
	36.0000		-0.2120		
	37.0000		-0.2143		
	38.0000		-0.2171		
	39.0000		-0.2188		
	40.0000		-0.2170		
	41.0000		-0.2168		
	42.0000		-0.2176		
	43.0000		-0.2188		
	44.0000		-0.2197		
	45.0000		-0.2194		
	46.0000		-0.2202		
	47.0000		-0.2200		
	48.0000		-0.2192		
	49.0000		-0.2164		
	50.0000		-0.2166		
	51.0000		-0.2168		
	52.0000		-0.2182		
	53.0000		-0.2168		
	54.0000		-0.2170		
	55.0000		-0.2156		
	56.0000		-0.2154		
	57.0000		-0.2150		
	58.0000		-0.2150		
	59.0000		-0.2150		
	60.0000		-0.2166		
	61.0000		-0.2170		
	62.0000		-0.2168		
	63.0000		-0.2150		
	64.0000		-0.2167		
	65.0000		-0.2156		
	66.0000		-0.2144		
	67.0000		-0.2138		
	68.0000		-0.2141		
	69.0000		-0.2150		
	70.0000		-0.2160		
	71.0000		-0.2160		
	72.0000		-0.2150		
	73.0000		-0.2150		
	74.0000		-0.2160		
	75.0000		-0.2173		
	76.0000		-0.2170		
	77.0000		-0.2179		
	78.0000		-0.2203		
	79.0000		-0.2204		
	80.0000		-0.2214		
	81.0000		-0.2202		
	82.0000		-0.2182		
	83.0000		-0.2194		
	84.0000		-0.2173		
	85.0000		-0.2170		
	86.0000		-0.2156		
	87.0000		-0.2152		
	88.0000		-0.2154		
	89.0000		-0.2156		
	90.0000		-0.2168		
	91.0000		-0.2164		
	92.0000		-0.2173		
	93.0000		-0.2148		
	94.0000		-0.2120		
	95.0000		-0.2120		
	96.0000		-0.2120		
	97.0000		-0.2120		
	98.0000		-0.2126		
	99.0000		-0.2123		
	100.0000		-0.2120		
	101.0000		-0.2100		
	102.0000		-0.2121		
	103.0000		-0.2115		
	104.0000		-0.2104		
	105.0000		-0.2085		
	106.0000		-0.2100		
	107.0000		-0.2104		
	108.0000		-0.2120		
	109.0000		-0.2120		
	110.0000		-0.2120		
	111.0000		-0.2132		
	112.0000		-0.2110		
	113.0000		-0.2114		
	114.0000		-0.2116		
	115.0000		-0.2120		
	116.0000		-0.2120		
	117.0000		-0.2116		
	118.0000		-0.2114		
	119.0000		-0.2126		
	120.0000		-0.2141		
	121.0000		-0.2178		
	122.0000		-0.2212		
	123.0000		-0.2220		
	124.0000		-0.2220		
	125.0000		-0.2220		
	126.0000		-0.2210		
	127.0000		-0.2214		
	128.0000		-0.2206		
	129.0000		-0.2210		
	130.0000		-0.2220		
	131.0000		-0.2204		
	132.0000		-0.2171		
	133.0000		-0.2176		
	134.0000		-0.2170		
	135.0000		-0.2176		
	136.0000		-0.2160		
	137.0000		-0.2150		
	138.0000		-0.2154		
	139.0000		-0.2151		
	140.0000		-0.2132		
	141.0000		-0.2120		
	142.0000		-0.2120		
	143.0000		-0.2104		
	144.0000		-0.2108		
	145.0000		-0.2138		
	146.0000		-0.2129		
	147.0000		-0.2138		
	148.0000		-0.2135		
	149.0000		-0.2144		
	150.0000		-0.2138		
	151.0000		-0.2158		
	152.0000		-0.2154		
	153.0000		-0.2168		
	154.0000		-0.2169		
	155.0000		-0.2173		
	156.0000		-0.2166		
	157.0000		-0.2164		
	158.0000		-0.2170		
	159.0000		-0.2162		
	160.0000		-0.2150		
	161.0000		-0.2154		
	162.0000		-0.2166		
	163.0000		-0.2154		
	164.0000		-0.2150		
	165.0000		-0.2154		
	166.0000		-0.2141		
	167.0000		-0.2158		
