IGOR
X| Tue Jul 04 19:52:57 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  300   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1399		
	1.0000		-0.1447		
	2.0000		-0.1470		
	3.0000		-0.1470		
	4.0000		-0.1496		
	5.0000		-0.1506		
	6.0000		-0.1500		
	7.0000		-0.1506		
	8.0000		-0.1519		
	9.0000		-0.1520		
	10.0000		-0.1514		
	11.0000		-0.1532		
	12.0000		-0.1550		
	13.0000		-0.1556		
	14.0000		-0.1566		
	15.0000		-0.1570		
	16.0000		-0.1570		
	17.0000		-0.1568		
	18.0000		-0.1568		
	19.0000		-0.1568		
	20.0000		-0.1566		
	21.0000		-0.1570		
	22.0000		-0.1570		
	23.0000		-0.1588		
	24.0000		-0.1597		
	25.0000		-0.1579		
	26.0000		-0.1570		
	27.0000		-0.1564		
	28.0000		-0.1562		
	29.0000		-0.1570		
	30.0000		-0.1558		
	31.0000		-0.1550		
	32.0000		-0.1566		
	33.0000		-0.1570		
	34.0000		-0.1570		
	35.0000		-0.1558		
	36.0000		-0.1558		
	37.0000		-0.1570		
	38.0000		-0.1564		
	39.0000		-0.1552		
	40.0000		-0.1562		
	41.0000		-0.1566		
	42.0000		-0.1573		
	43.0000		-0.1588		
	44.0000		-0.1585		
	45.0000		-0.1576		
	46.0000		-0.1573		
	47.0000		-0.1570		
	48.0000		-0.1570		
	49.0000		-0.1573		
	50.0000		-0.1570		
	51.0000		-0.1570		
	52.0000		-0.1579		
	53.0000		-0.1573		
	54.0000		-0.1573		
	55.0000		-0.1570		
	56.0000		-0.1579		
	57.0000		-0.1570		
	58.0000		-0.1570		
	59.0000		-0.1570		
	60.0000		-0.1570		
	61.0000		-0.1570		
	62.0000		-0.1570		
	63.0000		-0.1554		
	64.0000		-0.1526		
	65.0000		-0.1520		
	66.0000		-0.1520		
	67.0000		-0.1516		
	68.0000		-0.1473		
	69.0000		-0.1470		
	70.0000		-0.1470		
	71.0000		-0.1470		
	72.0000		-0.1470		
	73.0000		-0.1460		
	74.0000		-0.1470		
	75.0000		-0.1458		
	76.0000		-0.1456		
	77.0000		-0.1485		
	78.0000		-0.1514		
	79.0000		-0.1518		
	80.0000		-0.1529		
	81.0000		-0.1544		
	82.0000		-0.1541		
	83.0000		-0.1550		
	84.0000		-0.1554		
	85.0000		-0.1544		
	86.0000		-0.1529		
	87.0000		-0.1538		
	88.0000		-0.1535		
	89.0000		-0.1566		
	90.0000		-0.1568		
	91.0000		-0.1570		
	92.0000		-0.1568		
	93.0000		-0.1568		
	94.0000		-0.1570		
	95.0000		-0.1570		
	96.0000		-0.1570		
	97.0000		-0.1570		
	98.0000		-0.1564		
	99.0000		-0.1552		
	100.0000		-0.1556		
	101.0000		-0.1570		
	102.0000		-0.1570		
	103.0000		-0.1566		
	104.0000		-0.1529		
	105.0000		-0.1500		
	106.0000		-0.1476		
	107.0000		-0.1462		
	108.0000		-0.1441		
	109.0000		-0.1450		
	110.0000		-0.1450		
	111.0000		-0.1458		
	112.0000		-0.1460		
	113.0000		-0.1491		
	114.0000		-0.1504		
	115.0000		-0.1520		
	116.0000		-0.1520		
	117.0000		-0.1510		
	118.0000		-0.1485		
	119.0000		-0.1497		
	120.0000		-0.1516		
	121.0000		-0.1520		
	122.0000		-0.1518		
	123.0000		-0.1532		
	124.0000		-0.1529		
	125.0000		-0.1520		
	126.0000		-0.1520		
	127.0000		-0.1535		
	128.0000		-0.1558		
	129.0000		-0.1564		
	130.0000		-0.1566		
	131.0000		-0.1570		
	132.0000		-0.1558		
	133.0000		-0.1566		
	134.0000		-0.1547		
	135.0000		-0.1547		
	136.0000		-0.1552		
	137.0000		-0.1566		
	138.0000		-0.1550		
	139.0000		-0.1514		
	140.0000		-0.1485		
	141.0000		-0.1460		
	142.0000		-0.1462		
	143.0000		-0.1452		
	144.0000		-0.1452		
	145.0000		-0.1470		
	146.0000		-0.1482		
	147.0000		-0.1473		
	148.0000		-0.1449		
	149.0000		-0.1450		
	150.0000		-0.1429		
	151.0000		-0.1432		
	152.0000		-0.1456		
	153.0000		-0.1470		
	154.0000		-0.1476		
	155.0000		-0.1470		
	156.0000		-0.1485		
	157.0000		-0.1500		
	158.0000		-0.1506		
	159.0000		-0.1504		
	160.0000		-0.1504		
	161.0000		-0.1520		
	162.0000		-0.1508		
	163.0000		-0.1500		
	164.0000		-0.1482		
	165.0000		-0.1470		
	166.0000		-0.1460		
	167.0000		-0.1468		
