IGOR
X| Tue Jul 04 19:37:22 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  300   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1973		
	1.0000		-0.2000		
	2.0000		-0.2000		
	3.0000		-0.2006		
	4.0000		-0.2044		
	5.0000		-0.2117		
	6.0000		-0.2152		
	7.0000		-0.2163		
	8.0000		-0.2173		
	9.0000		-0.2170		
	10.0000		-0.2166		
	11.0000		-0.2152		
	12.0000		-0.2158		
	13.0000		-0.2160		
	14.0000		-0.2166		
	15.0000		-0.2169		
	16.0000		-0.2176		
	17.0000		-0.2170		
	18.0000		-0.2191		
	19.0000		-0.2182		
	20.0000		-0.2170		
	21.0000		-0.2154		
	22.0000		-0.2154		
	23.0000		-0.2167		
	24.0000		-0.2185		
	25.0000		-0.2204		
	26.0000		-0.2206		
	27.0000		-0.2198		
	28.0000		-0.2185		
	29.0000		-0.2179		
	30.0000		-0.2170		
	31.0000		-0.2164		
	32.0000		-0.2150		
	33.0000		-0.2123		
	34.0000		-0.2138		
	35.0000		-0.2135		
	36.0000		-0.2147		
	37.0000		-0.2150		
	38.0000		-0.2123		
	39.0000		-0.2120		
	40.0000		-0.2126		
	41.0000		-0.2166		
	42.0000		-0.2185		
	43.0000		-0.2170		
	44.0000		-0.2140		
	45.0000		-0.2123		
	46.0000		-0.2108		
	47.0000		-0.2088		
	48.0000		-0.2091		
	49.0000		-0.2097		
	50.0000		-0.2097		
	51.0000		-0.2100		
	52.0000		-0.2099		
	53.0000		-0.2110		
	54.0000		-0.2102		
	55.0000		-0.2102		
	56.0000		-0.2116		
	57.0000		-0.2138		
	58.0000		-0.2150		
	59.0000		-0.2147		
	60.0000		-0.2150		
	61.0000		-0.2160		
	62.0000		-0.2164		
	63.0000		-0.2191		
	64.0000		-0.2194		
	65.0000		-0.2194		
	66.0000		-0.2185		
	67.0000		-0.2176		
	68.0000		-0.2173		
	69.0000		-0.2185		
	70.0000		-0.2162		
	71.0000		-0.2141		
	72.0000		-0.2126		
	73.0000		-0.2100		
	74.0000		-0.2122		
	75.0000		-0.2129		
	76.0000		-0.2121		
	77.0000		-0.2118		
	78.0000		-0.2120		
	79.0000		-0.2132		
	80.0000		-0.2150		
	81.0000		-0.2162		
	82.0000		-0.2150		
	83.0000		-0.2135		
	84.0000		-0.2112		
	85.0000		-0.2088		
	86.0000		-0.2104		
	87.0000		-0.2110		
	88.0000		-0.2106		
	89.0000		-0.2106		
	90.0000		-0.2110		
	91.0000		-0.2106		
	92.0000		-0.2118		
	93.0000		-0.2138		
	94.0000		-0.2138		
	95.0000		-0.2147		
	96.0000		-0.2150		
	97.0000		-0.2156		
	98.0000		-0.2147		
	99.0000		-0.2168		
	100.0000		-0.2158		
	101.0000		-0.2150		
	102.0000		-0.2123		
	103.0000		-0.2120		
	104.0000		-0.2126		
	105.0000		-0.2130		
	106.0000		-0.2097		
	107.0000		-0.2085		
	108.0000		-0.2118		
	109.0000		-0.2114		
	110.0000		-0.2096		
	111.0000		-0.2085		
	112.0000		-0.2074		
	113.0000		-0.2079		
	114.0000		-0.2073		
	115.0000		-0.2070		
	116.0000		-0.2068		
	117.0000		-0.2070		
	118.0000		-0.2076		
	119.0000		-0.2100		
	120.0000		-0.2100		
	121.0000		-0.2102		
	122.0000		-0.2108		
	123.0000		-0.2120		
	124.0000		-0.2135		
	125.0000		-0.2141		
	126.0000		-0.2150		
	127.0000		-0.2164		
	128.0000		-0.2171		
	129.0000		-0.2143		
	130.0000		-0.2108		
	131.0000		-0.2082		
	132.0000		-0.2073		
	133.0000		-0.2068		
	134.0000		-0.2070		
	135.0000		-0.2076		
	136.0000		-0.2100		
	137.0000		-0.2139		
	138.0000		-0.2160		
	139.0000		-0.2168		
	140.0000		-0.2162		
	141.0000		-0.2166		
	142.0000		-0.2158		
	143.0000		-0.2185		
	144.0000		-0.2200		
	145.0000		-0.2202		
	146.0000		-0.2202		
	147.0000		-0.2200		
	148.0000		-0.2182		
	149.0000		-0.2170		
	150.0000		-0.2182		
	151.0000		-0.2206		
	152.0000		-0.2204		
	153.0000		-0.2200		
	154.0000		-0.2210		
	155.0000		-0.2191		
	156.0000		-0.2166		
	157.0000		-0.2162		
	158.0000		-0.2170		
	159.0000		-0.2160		
	160.0000		-0.2154		
	161.0000		-0.2170		
	162.0000		-0.2194		
	163.0000		-0.2170		
	164.0000		-0.2143		
	165.0000		-0.2112		
	166.0000		-0.2108		
	167.0000		-0.2073		
