IGOR
X| Tue Jul 04 19:16:24 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2570		
	1.0000		-0.2547		
	2.0000		-0.2520		
	3.0000		-0.2512		
	4.0000		-0.2464		
	5.0000		-0.2444		
	6.0000		-0.2410		
	7.0000		-0.2400		
	8.0000		-0.2414		
	9.0000		-0.2400		
	10.0000		-0.2400		
	11.0000		-0.2391		
	12.0000		-0.2376		
	13.0000		-0.2065		
	14.0000		-0.1638		
	15.0000		-0.1767		
	16.0000		-0.1893		
	17.0000		-0.2018		
	18.0000		-0.2121		
	19.0000		-0.2196		
	20.0000		-0.2257		
	21.0000		-0.2297		
	22.0000		-0.2329		
	23.0000		-0.2350		
	24.0000		-0.2366		
	25.0000		-0.2397		
	26.0000		-0.2402		
	27.0000		-0.2394		
	28.0000		-0.2397		
	29.0000		-0.2400		
	30.0000		-0.2400		
	31.0000		-0.2402		
	32.0000		-0.2400		
	33.0000		-0.2414		
	34.0000		-0.2402		
	35.0000		-0.2400		
	36.0000		-0.2410		
	37.0000		-0.2412		
	38.0000		-0.2402		
	39.0000		-0.2400		
	40.0000		-0.2404		
	41.0000		-0.2408		
	42.0000		-0.2408		
	43.0000		-0.2400		
	44.0000		-0.2400		
	45.0000		-0.2400		
	46.0000		-0.2400		
	47.0000		-0.2400		
	48.0000		-0.2408		
	49.0000		-0.2412		
	50.0000		-0.2382		
	51.0000		-0.2376		
	52.0000		-0.2366		
	53.0000		-0.2350		
	54.0000		-0.2338		
	55.0000		-0.2366		
	56.0000		-0.2370		
	57.0000		-0.2391		
	58.0000		-0.2402		
	59.0000		-0.2410		
	60.0000		-0.2406		
	61.0000		-0.2426		
	62.0000		-0.2456		
	63.0000		-0.2490		
	64.0000		-0.2508		
	65.0000		-0.2510		
	66.0000		-0.2506		
	67.0000		-0.2516		
	68.0000		-0.2482		
	69.0000		-0.2470		
	70.0000		-0.2441		
	71.0000		-0.2420		
	72.0000		-0.2420		
	73.0000		-0.2388		
	74.0000		-0.2343		
	75.0000		-0.2304		
	76.0000		-0.2260		
	77.0000		-0.2244		
	78.0000		-0.2266		
	79.0000		-0.2266		
	80.0000		-0.2241		
	81.0000		-0.2247		
	82.0000		-0.2262		
	83.0000		-0.2276		
	84.0000		-0.2321		
	85.0000		-0.2332		
	86.0000		-0.2344		
	87.0000		-0.2350		
	88.0000		-0.2326		
	89.0000		-0.2358		
	90.0000		-0.2368		
	91.0000		-0.2352		
	92.0000		-0.2370		
	93.0000		-0.2370		
	94.0000		-0.2354		
	95.0000		-0.2344		
	96.0000		-0.2332		
	97.0000		-0.2326		
	98.0000		-0.2362		
	99.0000		-0.2364		
	100.0000		-0.2360		
	101.0000		-0.2350		
	102.0000		-0.2368		
	103.0000		-0.2394		
	104.0000		-0.2370		
	105.0000		-0.2344		
	106.0000		-0.2316		
	107.0000		-0.2285		
	108.0000		-0.2270		
	109.0000		-0.2285		
	110.0000		-0.2312		
	111.0000		-0.2344		
	112.0000		-0.2341		
	113.0000		-0.2364		
	114.0000		-0.2385		
	115.0000		-0.2397		
	116.0000		-0.2410		
	117.0000		-0.2442		
	118.0000		-0.2492		
	119.0000		-0.2546		
	120.0000		-0.2576		
	121.0000		-0.2612		
	122.0000		-0.2612		
	123.0000		-0.2618		
	124.0000		-0.2602		
	125.0000		-0.2573		
	126.0000		-0.2553		
	127.0000		-0.2518		
	128.0000		-0.2502		
	129.0000		-0.2479		
	130.0000		-0.2473		
	131.0000		-0.2491		
	132.0000		-0.2485		
	133.0000		-0.2447		
	134.0000		-0.2447		
	135.0000		-0.2420		
	136.0000		-0.2420		
	137.0000		-0.2420		
	138.0000		-0.2414		
	139.0000		-0.2389		
	140.0000		-0.2379		
	141.0000		-0.2397		
	142.0000		-0.2370		
	143.0000		-0.2360		
	144.0000		-0.2360		
	145.0000		-0.2323		
	146.0000		-0.2314		
	147.0000		-0.2310		
	148.0000		-0.2341		
	149.0000		-0.2356		
	150.0000		-0.2357		
	151.0000		-0.2326		
	152.0000		-0.2316		
	153.0000		-0.2326		
	154.0000		-0.2341		
	155.0000		-0.2320		
	156.0000		-0.2312		
	157.0000		-0.2320		
	158.0000		-0.2351		
	159.0000		-0.2376		
	160.0000		-0.2400		
	161.0000		-0.2400		
	162.0000		-0.2373		
	163.0000		-0.2370		
	164.0000		-0.2370		
	165.0000		-0.2370		
	166.0000		-0.2370		
	167.0000		-0.2340		
	168.0000		-0.2344		
	169.0000		-0.2352		
	170.0000		-0.2368		
	171.0000		-0.2379		
	172.0000		-0.2400		
	173.0000		-0.2402		
	174.0000		-0.2402		
	175.0000		-0.2379		
	176.0000		-0.2370		
	177.0000		-0.2370		
	178.0000		-0.2370		
	179.0000		-0.2352		
	180.0000		-0.2346		
	181.0000		-0.2329		
	182.0000		-0.2318		
	183.0000		-0.2314		
	184.0000		-0.2341		
	185.0000		-0.2347		
	186.0000		-0.2326		
	187.0000		-0.2312		
	188.0000		-0.2327		
	189.0000		-0.2335		
	190.0000		-0.2341		
	191.0000		-0.2320		
	192.0000		-0.2341		
	193.0000		-0.2350		
	194.0000		-0.2368		
	195.0000		-0.2391		
	196.0000		-0.2397		
	197.0000		-0.2397		
	198.0000		-0.2400		
	199.0000		-0.2391		
	200.0000		-0.2391		
	201.0000		-0.2382		
	202.0000		-0.2391		
	203.0000		-0.2370		
	204.0000		-0.2382		
	205.0000		-0.2373		
	206.0000		-0.2366		
	207.0000		-0.2366		
	208.0000		-0.2376		
	209.0000		-0.2394		
	210.0000		-0.2388		
	211.0000		-0.2400		
	212.0000		-0.2402		
	213.0000		-0.2215		
