IGOR
X| Tue Jul 04 21:32:13 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.1579		
	1.0000		-0.1573		
	2.0000		-0.1570		
	3.0000		-0.1552		
	4.0000		-0.1513		
	5.0000		-0.1474		
	6.0000		-0.1466		
	7.0000		-0.1438		
	8.0000		-0.1432		
	9.0000		-0.1450		
	10.0000		-0.1450		
	11.0000		-0.1458		
	12.0000		-0.1449		
	13.0000		-0.1144		
	14.0000		-0.0875		
	15.0000		-0.0967		
	16.0000		-0.1087		
	17.0000		-0.1190		
	18.0000		-0.1284		
	19.0000		-0.1349		
	20.0000		-0.1405		
	21.0000		-0.1455		
	22.0000		-0.1491		
	23.0000		-0.1519		
	24.0000		-0.1538		
	25.0000		-0.1535		
	26.0000		-0.1520		
	27.0000		-0.1520		
	28.0000		-0.1496		
	29.0000		-0.1430		
	30.0000		-0.1376		
	31.0000		-0.1362		
	32.0000		-0.1350		
	33.0000		-0.1350		
	34.0000		-0.1368		
	35.0000		-0.1399		
	36.0000		-0.1426		
	37.0000		-0.1458		
	38.0000		-0.1485		
	39.0000		-0.1476		
	40.0000		-0.1470		
	41.0000		-0.1470		
	42.0000		-0.1470		
	43.0000		-0.1470		
	44.0000		-0.1462		
	45.0000		-0.1452		
	46.0000		-0.1464		
	47.0000		-0.1450		
	48.0000		-0.1423		
	49.0000		-0.1450		
	50.0000		-0.1450		
	51.0000		-0.1462		
	52.0000		-0.1466		
	53.0000		-0.1482		
	54.0000		-0.1497		
	55.0000		-0.1510		
	56.0000		-0.1532		
	57.0000		-0.1526		
	58.0000		-0.1535		
	59.0000		-0.1541		
	60.0000		-0.1516		
	61.0000		-0.1506		
	62.0000		-0.1508		
	63.0000		-0.1479		
	64.0000		-0.1473		
	65.0000		-0.1488		
	66.0000		-0.1468		
	67.0000		-0.1456		
	68.0000		-0.1470		
	69.0000		-0.1470		
	70.0000		-0.1468		
	71.0000		-0.1470		
	72.0000		-0.1468		
	73.0000		-0.1447		
	74.0000		-0.1410		
	75.0000		-0.1360		
	76.0000		-0.1329		
	77.0000		-0.1326		
	78.0000		-0.1364		
	79.0000		-0.1404		
	80.0000		-0.1420		
	81.0000		-0.1441		
	82.0000		-0.1464		
	83.0000		-0.1485		
	84.0000		-0.1485		
	85.0000		-0.1449		
	86.0000		-0.1416		
	87.0000		-0.1418		
	88.0000		-0.1416		
	89.0000		-0.1402		
	90.0000		-0.1400		
	91.0000		-0.1400		
	92.0000		-0.1402		
	93.0000		-0.1420		
	94.0000		-0.1420		
	95.0000		-0.1420		
	96.0000		-0.1423		
	97.0000		-0.1420		
	98.0000		-0.1414		
	99.0000		-0.1410		
	100.0000		-0.1388		
	101.0000		-0.1366		
	102.0000		-0.1364		
	103.0000		-0.1368		
	104.0000		-0.1370		
	105.0000		-0.1373		
	106.0000		-0.1385		
	107.0000		-0.1373		
	108.0000		-0.1376		
	109.0000		-0.1370		
	110.0000		-0.1370		
	111.0000		-0.1385		
	112.0000		-0.1400		
	113.0000		-0.1400		
	114.0000		-0.1382		
	115.0000		-0.1370		
	116.0000		-0.1370		
	117.0000		-0.1376		
	118.0000		-0.1406		
	119.0000		-0.1406		
	120.0000		-0.1400		
	121.0000		-0.1402		
	122.0000		-0.1420		
	123.0000		-0.1414		
	124.0000		-0.1401		
	125.0000		-0.1373		
	126.0000		-0.1376		
	127.0000		-0.1394		
	128.0000		-0.1400		
	129.0000		-0.1391		
	130.0000		-0.1397		
	131.0000		-0.1388		
	132.0000		-0.1400		
	133.0000		-0.1408		
	134.0000		-0.1418		
	135.0000		-0.1420		
	136.0000		-0.1420		
	137.0000		-0.1420		
	138.0000		-0.1420		
	139.0000		-0.1404		
	140.0000		-0.1404		
	141.0000		-0.1412		
	142.0000		-0.1418		
	143.0000		-0.1400		
	144.0000		-0.1391		
	145.0000		-0.1402		
	146.0000		-0.1402		
	147.0000		-0.1394		
	148.0000		-0.1397		
	149.0000		-0.1388		
	150.0000		-0.1408		
	151.0000		-0.1420		
	152.0000		-0.1418		
	153.0000		-0.1408		
	154.0000		-0.1388		
	155.0000		-0.1388		
	156.0000		-0.1376		
	157.0000		-0.1400		
	158.0000		-0.1400		
	159.0000		-0.1394		
	160.0000		-0.1379		
	161.0000		-0.1370		
	162.0000		-0.1370		
	163.0000		-0.1370		
	164.0000		-0.1354		
	165.0000		-0.1352		
	166.0000		-0.1335		
	167.0000		-0.1347		
	168.0000		-0.1350		
	169.0000		-0.1341		
	170.0000		-0.1344		
	171.0000		-0.1354		
	172.0000		-0.1358		
	173.0000		-0.1358		
	174.0000		-0.1350		
	175.0000		-0.1347		
	176.0000		-0.1360		
	177.0000		-0.1354		
	178.0000		-0.1354		
	179.0000		-0.1350		
	180.0000		-0.1350		
	181.0000		-0.1352		
	182.0000		-0.1356		
	183.0000		-0.1352		
	184.0000		-0.1362		
	185.0000		-0.1360		
	186.0000		-0.1350		
	187.0000		-0.1350		
	188.0000		-0.1358		
	189.0000		-0.1350		
	190.0000		-0.1350		
	191.0000		-0.1338		
	192.0000		-0.1320		
	193.0000		-0.1320		
	194.0000		-0.1320		
	195.0000		-0.1320		
	196.0000		-0.1347		
	197.0000		-0.1329		
	198.0000		-0.1323		
	199.0000		-0.1326		
	200.0000		-0.1326		
	201.0000		-0.1323		
	202.0000		-0.1312		
	203.0000		-0.1308		
	204.0000		-0.1332		
	205.0000		-0.1350		
	206.0000		-0.1347		
	207.0000		-0.1352		
	208.0000		-0.1362		
	209.0000		-0.1397		
	210.0000		-0.1400		
	211.0000		-0.1400		
	212.0000		-0.1412		
	213.0000		-0.1397		
