IGOR
X| Tue Jul 04 21:23:27 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2550		
	1.0000		-0.2521		
	2.0000		-0.2442		
	3.0000		-0.2406		
	4.0000		-0.2376		
	5.0000		-0.2362		
	6.0000		-0.2304		
	7.0000		-0.2256		
	8.0000		-0.2235		
	9.0000		-0.2235		
	10.0000		-0.2208		
	11.0000		-0.2216		
	12.0000		-0.2238		
	13.0000		-0.2178		
	14.0000		-0.1691		
	15.0000		-0.1560		
	16.0000		-0.1693		
	17.0000		-0.1822		
	18.0000		-0.1949		
	19.0000		-0.2050		
	20.0000		-0.2123		
	21.0000		-0.2189		
	22.0000		-0.2234		
	23.0000		-0.2273		
	24.0000		-0.2305		
	25.0000		-0.2341		
	26.0000		-0.2347		
	27.0000		-0.2350		
	28.0000		-0.2366		
	29.0000		-0.2373		
	30.0000		-0.2400		
	31.0000		-0.2402		
	32.0000		-0.2400		
	33.0000		-0.2418		
	34.0000		-0.2423		
	35.0000		-0.2432		
	36.0000		-0.2404		
	37.0000		-0.2402		
	38.0000		-0.2369		
	39.0000		-0.2347		
	40.0000		-0.2350		
	41.0000		-0.2350		
	42.0000		-0.2354		
	43.0000		-0.2347		
	44.0000		-0.2326		
	45.0000		-0.2310		
	46.0000		-0.2329		
	47.0000		-0.2347		
	48.0000		-0.2349		
	49.0000		-0.2347		
	50.0000		-0.2332		
	51.0000		-0.2335		
	52.0000		-0.2360		
	53.0000		-0.2354		
	54.0000		-0.2354		
	55.0000		-0.2366		
	56.0000		-0.2358		
	57.0000		-0.2346		
	58.0000		-0.2341		
	59.0000		-0.2362		
	60.0000		-0.2368		
	61.0000		-0.2370		
	62.0000		-0.2376		
	63.0000		-0.2368		
	64.0000		-0.2350		
	65.0000		-0.2362		
	66.0000		-0.2364		
	67.0000		-0.2364		
	68.0000		-0.2366		
	69.0000		-0.2364		
	70.0000		-0.2358		
	71.0000		-0.2349		
	72.0000		-0.2360		
	73.0000		-0.2356		
	74.0000		-0.2338		
	75.0000		-0.2349		
	76.0000		-0.2354		
	77.0000		-0.2360		
	78.0000		-0.2374		
	79.0000		-0.2376		
	80.0000		-0.2362		
	81.0000		-0.2352		
	82.0000		-0.2328		
	83.0000		-0.2268		
	84.0000		-0.2273		
	85.0000		-0.2282		
	86.0000		-0.2270		
	87.0000		-0.2279		
	88.0000		-0.2291		
	89.0000		-0.2301		
	90.0000		-0.2308		
	91.0000		-0.2299		
	92.0000		-0.2324		
	93.0000		-0.2332		
	94.0000		-0.2312		
	95.0000		-0.2294		
	96.0000		-0.2297		
	97.0000		-0.2300		
	98.0000		-0.2302		
	99.0000		-0.2300		
	100.0000		-0.2306		
	101.0000		-0.2318		
	102.0000		-0.2316		
	103.0000		-0.2321		
	104.0000		-0.2332		
	105.0000		-0.2329		
	106.0000		-0.2303		
	107.0000		-0.2273		
	108.0000		-0.2303		
	109.0000		-0.2314		
	110.0000		-0.2308		
	111.0000		-0.2314		
	112.0000		-0.2323		
	113.0000		-0.2335		
	114.0000		-0.2326		
	115.0000		-0.2326		
	116.0000		-0.2323		
	117.0000		-0.2320		
	118.0000		-0.2323		
	119.0000		-0.2307		
	120.0000		-0.2276		
	121.0000		-0.2282		
	122.0000		-0.2306		
	123.0000		-0.2300		
	124.0000		-0.2273		
	125.0000		-0.2297		
	126.0000		-0.2300		
	127.0000		-0.2300		
	128.0000		-0.2310		
	129.0000		-0.2320		
	130.0000		-0.2302		
	131.0000		-0.2308		
	132.0000		-0.2326		
	133.0000		-0.2344		
	134.0000		-0.2323		
	135.0000		-0.2316		
	136.0000		-0.2310		
	137.0000		-0.2294		
	138.0000		-0.2308		
	139.0000		-0.2318		
	140.0000		-0.2314		
	141.0000		-0.2312		
	142.0000		-0.2316		
	143.0000		-0.2312		
	144.0000		-0.2320		
	145.0000		-0.2318		
	146.0000		-0.2285		
	147.0000		-0.2256		
	148.0000		-0.2232		
	149.0000		-0.2216		
	150.0000		-0.2200		
	151.0000		-0.2200		
	152.0000		-0.2194		
	153.0000		-0.2212		
	154.0000		-0.2214		
	155.0000		-0.2206		
	156.0000		-0.2220		
	157.0000		-0.2216		
	158.0000		-0.2226		
	159.0000		-0.2247		
	160.0000		-0.2216		
	161.0000		-0.2204		
	162.0000		-0.2226		
	163.0000		-0.2250		
	164.0000		-0.2250		
	165.0000		-0.2260		
	166.0000		-0.2251		
	167.0000		-0.2250		
	168.0000		-0.2226		
	169.0000		-0.2241		
	170.0000		-0.2258		
	171.0000		-0.2240		
	172.0000		-0.2212		
	173.0000		-0.2194		
	174.0000		-0.2166		
	175.0000		-0.2164		
	176.0000		-0.2154		
	177.0000		-0.2150		
	178.0000		-0.2152		
	179.0000		-0.2172		
	180.0000		-0.2171		
	181.0000		-0.2151		
	182.0000		-0.2154		
	183.0000		-0.2170		
	184.0000		-0.2156		
	185.0000		-0.2150		
	186.0000		-0.2160		
	187.0000		-0.2144		
	188.0000		-0.2144		
	189.0000		-0.2120		
	190.0000		-0.2120		
	191.0000		-0.2110		
	192.0000		-0.2127		
	193.0000		-0.2152		
	194.0000		-0.2143		
	195.0000		-0.2138		
	196.0000		-0.2147		
	197.0000		-0.2150		
	198.0000		-0.2160		
	199.0000		-0.2154		
	200.0000		-0.2168		
	201.0000		-0.2156		
	202.0000		-0.2160		
	203.0000		-0.2164		
	204.0000		-0.2166		
	205.0000		-0.2173		
	206.0000		-0.2188		
	207.0000		-0.2179		
	208.0000		-0.2162		
	209.0000		-0.2162		
	210.0000		-0.2170		
	211.0000		-0.2182		
	212.0000		-0.2179		
	213.0000		-0.1969		
