IGOR
X| Tue Jul 04 18:25:15 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2337		
	1.0000		-0.2285		
	2.0000		-0.2244		
	3.0000		-0.2200		
	4.0000		-0.2179		
	5.0000		-0.2173		
	6.0000		-0.2150		
	7.0000		-0.2112		
	8.0000		-0.2100		
	9.0000		-0.2100		
	10.0000		-0.2100		
	11.0000		-0.2073		
	12.0000		-0.2070		
	13.0000		-0.2060		
	14.0000		-0.1930		
	15.0000		-0.1438		
	16.0000		-0.1362		
	17.0000		-0.1554		
	18.0000		-0.1700		
	19.0000		-0.1825		
	20.0000		-0.1902		
	21.0000		-0.1973		
	22.0000		-0.2044		
	23.0000		-0.2106		
	24.0000		-0.2140		
	25.0000		-0.2154		
	26.0000		-0.2156		
	27.0000		-0.2177		
	28.0000		-0.2182		
	29.0000		-0.2200		
	30.0000		-0.2204		
	31.0000		-0.2212		
	32.0000		-0.2226		
	33.0000		-0.2244		
	34.0000		-0.2221		
	35.0000		-0.2204		
	36.0000		-0.2199		
	37.0000		-0.2220		
	38.0000		-0.2220		
	39.0000		-0.2220		
	40.0000		-0.2208		
	41.0000		-0.2200		
	42.0000		-0.2200		
	43.0000		-0.2210		
	44.0000		-0.2220		
	45.0000		-0.2235		
	46.0000		-0.2244		
	47.0000		-0.2250		
	48.0000		-0.2258		
	49.0000		-0.2270		
	50.0000		-0.2262		
	51.0000		-0.2244		
	52.0000		-0.2218		
	53.0000		-0.2229		
	54.0000		-0.2229		
	55.0000		-0.2241		
	56.0000		-0.2238		
	57.0000		-0.2220		
	58.0000		-0.2204		
	59.0000		-0.2204		
	60.0000		-0.2173		
	61.0000		-0.2179		
	62.0000		-0.2188		
	63.0000		-0.2188		
	64.0000		-0.2170		
	65.0000		-0.2170		
	66.0000		-0.2201		
	67.0000		-0.2208		
	68.0000		-0.2220		
	69.0000		-0.2250		
	70.0000		-0.2250		
	71.0000		-0.2250		
	72.0000		-0.2254		
	73.0000		-0.2226		
	74.0000		-0.2247		
	75.0000		-0.2238		
	76.0000		-0.2229		
	77.0000		-0.2212		
	78.0000		-0.2179		
	79.0000		-0.2194		
	80.0000		-0.2200		
	81.0000		-0.2191		
	82.0000		-0.2179		
	83.0000		-0.2170		
	84.0000		-0.2179		
	85.0000		-0.2191		
	86.0000		-0.2170		
	87.0000		-0.2151		
	88.0000		-0.2173		
	89.0000		-0.2188		
	90.0000		-0.2182		
	91.0000		-0.2188		
	92.0000		-0.2168		
	93.0000		-0.2164		
	94.0000		-0.2188		
	95.0000		-0.2202		
	96.0000		-0.2216		
	97.0000		-0.2220		
	98.0000		-0.2244		
	99.0000		-0.2247		
	100.0000		-0.2229		
	101.0000		-0.2218		
	102.0000		-0.2200		
	103.0000		-0.2212		
	104.0000		-0.2201		
	105.0000		-0.2206		
	106.0000		-0.2220		
	107.0000		-0.2220		
	108.0000		-0.2220		
	109.0000		-0.2220		
	110.0000		-0.2244		
	111.0000		-0.2250		
	112.0000		-0.2254		
	113.0000		-0.2262		
	114.0000		-0.2273		
	115.0000		-0.2282		
	116.0000		-0.2285		
	117.0000		-0.2262		
	118.0000		-0.2268		
	119.0000		-0.2256		
	120.0000		-0.2258		
	121.0000		-0.2250		
	122.0000		-0.2238		
	123.0000		-0.2226		
	124.0000		-0.2260		
	125.0000		-0.2262		
	126.0000		-0.2262		
	127.0000		-0.2229		
	128.0000		-0.2220		
	129.0000		-0.2241		
	130.0000		-0.2252		
	131.0000		-0.2238		
	132.0000		-0.2226		
	133.0000		-0.2244		
	134.0000		-0.2223		
	135.0000		-0.2229		
	136.0000		-0.2220		
	137.0000		-0.2226		
	138.0000		-0.2220		
	139.0000		-0.2262		
	140.0000		-0.2256		
	141.0000		-0.2247		
	142.0000		-0.2250		
	143.0000		-0.2268		
	144.0000		-0.2250		
	145.0000		-0.2229		
	146.0000		-0.2220		
	147.0000		-0.2223		
	148.0000		-0.2250		
	149.0000		-0.2250		
	150.0000		-0.2254		
	151.0000		-0.2250		
	152.0000		-0.2241		
	153.0000		-0.2241		
	154.0000		-0.2220		
	155.0000		-0.2220		
	156.0000		-0.2244		
	157.0000		-0.2258		
	158.0000		-0.2240		
	159.0000		-0.2238		
	160.0000		-0.2262		
	161.0000		-0.2266		
	162.0000		-0.2270		
	163.0000		-0.2268		
	164.0000		-0.2270		
	165.0000		-0.2268		
	166.0000		-0.2232		
	167.0000		-0.2207		
	168.0000		-0.2168		
	169.0000		-0.2153		
	170.0000		-0.2150		
	171.0000		-0.2168		
	172.0000		-0.2162		
	173.0000		-0.2164		
	174.0000		-0.2138		
	175.0000		-0.2123		
	176.0000		-0.2120		
	177.0000		-0.2112		
	178.0000		-0.2104		
	179.0000		-0.2108		
	180.0000		-0.2108		
	181.0000		-0.2106		
	182.0000		-0.2106		
	183.0000		-0.2102		
	184.0000		-0.2112		
	185.0000		-0.2123		
	186.0000		-0.2120		
	187.0000		-0.2116		
	188.0000		-0.2112		
	189.0000		-0.2120		
	190.0000		-0.2102		
	191.0000		-0.2100		
	192.0000		-0.2088		
	193.0000		-0.2104		
	194.0000		-0.2126		
	195.0000		-0.2108		
	196.0000		-0.2100		
	197.0000		-0.2100		
	198.0000		-0.2104		
	199.0000		-0.2087		
	200.0000		-0.2073		
	201.0000		-0.2070		
	202.0000		-0.2088		
	203.0000		-0.2110		
	204.0000		-0.2106		
	205.0000		-0.2082		
	206.0000		-0.2076		
	207.0000		-0.2100		
	208.0000		-0.2106		
	209.0000		-0.2108		
	210.0000		-0.2112		
	211.0000		-0.2100		
	212.0000		-0.2100		
	213.0000		-0.2088		
