IGOR
X| Tue Jul 04 18:32:53 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2501		
	1.0000		-0.2473		
	2.0000		-0.2448		
	3.0000		-0.2408		
	4.0000		-0.2391		
	5.0000		-0.2354		
	6.0000		-0.2326		
	7.0000		-0.2335		
	8.0000		-0.2329		
	9.0000		-0.2323		
	10.0000		-0.2320		
	11.0000		-0.2332		
	12.0000		-0.2323		
	13.0000		-0.2320		
	14.0000		-0.2209		
	15.0000		-0.1728		
	16.0000		-0.1785		
	17.0000		-0.1921		
	18.0000		-0.2018		
	19.0000		-0.2080		
	20.0000		-0.2123		
	21.0000		-0.2164		
	22.0000		-0.2201		
	23.0000		-0.2273		
	24.0000		-0.2314		
	25.0000		-0.2355		
	26.0000		-0.2370		
	27.0000		-0.2399		
	28.0000		-0.2410		
	29.0000		-0.2397		
	30.0000		-0.2385		
	31.0000		-0.2400		
	32.0000		-0.2400		
	33.0000		-0.2382		
	34.0000		-0.2370		
	35.0000		-0.2391		
	36.0000		-0.2370		
	37.0000		-0.2373		
	38.0000		-0.2373		
	39.0000		-0.2370		
	40.0000		-0.2391		
	41.0000		-0.2385		
	42.0000		-0.2400		
	43.0000		-0.2379		
	44.0000		-0.2366		
	45.0000		-0.2368		
	46.0000		-0.2391		
	47.0000		-0.2373		
	48.0000		-0.2373		
	49.0000		-0.2385		
	50.0000		-0.2418		
	51.0000		-0.2450		
	52.0000		-0.2454		
	53.0000		-0.2438		
	54.0000		-0.2444		
	55.0000		-0.2435		
	56.0000		-0.2450		
	57.0000		-0.2438		
	58.0000		-0.2447		
	59.0000		-0.2438		
	60.0000		-0.2456		
	61.0000		-0.2476		
	62.0000		-0.2500		
	63.0000		-0.2504		
	64.0000		-0.2512		
	65.0000		-0.2520		
	66.0000		-0.2504		
	67.0000		-0.2520		
	68.0000		-0.2554		
	69.0000		-0.2560		
	70.0000		-0.2550		
	71.0000		-0.2529		
	72.0000		-0.2535		
	73.0000		-0.2485		
	74.0000		-0.2468		
	75.0000		-0.2444		
	76.0000		-0.2423		
	77.0000		-0.2424		
	78.0000		-0.2402		
	79.0000		-0.2414		
	80.0000		-0.2429		
	81.0000		-0.2438		
	82.0000		-0.2432		
	83.0000		-0.2416		
	84.0000		-0.2397		
	85.0000		-0.2370		
	86.0000		-0.2356		
	87.0000		-0.2350		
	88.0000		-0.2341		
	89.0000		-0.2350		
	90.0000		-0.2366		
	91.0000		-0.2350		
	92.0000		-0.2344		
	93.0000		-0.2356		
	94.0000		-0.2368		
	95.0000		-0.2370		
	96.0000		-0.2360		
	97.0000		-0.2371		
	98.0000		-0.2370		
	99.0000		-0.2358		
	100.0000		-0.2370		
	101.0000		-0.2391		
	102.0000		-0.2376		
	103.0000		-0.2370		
	104.0000		-0.2379		
	105.0000		-0.2385		
	106.0000		-0.2382		
	107.0000		-0.2400		
	108.0000		-0.2400		
	109.0000		-0.2385		
	110.0000		-0.2388		
	111.0000		-0.2385		
	112.0000		-0.2394		
	113.0000		-0.2385		
	114.0000		-0.2370		
	115.0000		-0.2358		
	116.0000		-0.2323		
	117.0000		-0.2323		
	118.0000		-0.2303		
	119.0000		-0.2297		
	120.0000		-0.2302		
	121.0000		-0.2300		
	122.0000		-0.2296		
	123.0000		-0.2314		
	124.0000		-0.2314		
	125.0000		-0.2316		
	126.0000		-0.2329		
	127.0000		-0.2350		
	128.0000		-0.2323		
	129.0000		-0.2306		
	130.0000		-0.2302		
	131.0000		-0.2300		
	132.0000		-0.2308		
	133.0000		-0.2308		
	134.0000		-0.2285		
	135.0000		-0.2270		
	136.0000		-0.2262		
	137.0000		-0.2270		
	138.0000		-0.2270		
	139.0000		-0.2282		
	140.0000		-0.2291		
	141.0000		-0.2304		
	142.0000		-0.2304		
	143.0000		-0.2282		
	144.0000		-0.2294		
	145.0000		-0.2300		
	146.0000		-0.2302		
	147.0000		-0.2300		
	148.0000		-0.2291		
	149.0000		-0.2294		
	150.0000		-0.2304		
	151.0000		-0.2294		
	152.0000		-0.2310		
	153.0000		-0.2320		
	154.0000		-0.2320		
	155.0000		-0.2335		
	156.0000		-0.2344		
	157.0000		-0.2344		
	158.0000		-0.2347		
	159.0000		-0.2344		
	160.0000		-0.2323		
	161.0000		-0.2312		
	162.0000		-0.2282		
	163.0000		-0.2294		
	164.0000		-0.2273		
	165.0000		-0.2270		
	166.0000		-0.2270		
	167.0000		-0.2264		
	168.0000		-0.2260		
	169.0000		-0.2268		
	170.0000		-0.2270		
	171.0000		-0.2287		
	172.0000		-0.2316		
	173.0000		-0.2318		
	174.0000		-0.2318		
	175.0000		-0.2360		
	176.0000		-0.2335		
	177.0000		-0.2323		
	178.0000		-0.2312		
	179.0000		-0.2320		
	180.0000		-0.2312		
	181.0000		-0.2279		
	182.0000		-0.2270		
	183.0000		-0.2270		
	184.0000		-0.2270		
	185.0000		-0.2256		
	186.0000		-0.2247		
	187.0000		-0.2215		
	188.0000		-0.2216		
	189.0000		-0.2223		
	190.0000		-0.2226		
	191.0000		-0.2226		
	192.0000		-0.2220		
	193.0000		-0.2218		
	194.0000		-0.2218		
	195.0000		-0.2197		
	196.0000		-0.2210		
	197.0000		-0.2241		
	198.0000		-0.2250		
	199.0000		-0.2258		
	200.0000		-0.2274		
	201.0000		-0.2270		
	202.0000		-0.2268		
	203.0000		-0.2250		
	204.0000		-0.2258		
	205.0000		-0.2273		
	206.0000		-0.2270		
	207.0000		-0.2268		
	208.0000		-0.2260		
	209.0000		-0.2252		
	210.0000		-0.2256		
	211.0000		-0.2273		
	212.0000		-0.2282		
	213.0000		-0.2270		
