IGOR
X| Wed Jul 05 00:29:34 2017
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X|   0.000000000000 0 X|
X| data_type 	 num_points 	 num_chans 	 shots_per_read 	 reads_per_point 	 num_sweeps
X|      0   			  900   		     1    		   30  		    10     			   1
WAVES	  XDATA  Z1DATA	 
BEGIN
	0.0000		-0.2244		
	1.0000		-0.2185		
	2.0000		-0.2114		
	3.0000		-0.2060		
	4.0000		-0.2029		
	5.0000		-0.2004		
	6.0000		-0.1973		
	7.0000		-0.1976		
	8.0000		-0.1960		
	9.0000		-0.1956		
	10.0000		-0.1970		
	11.0000		-0.1883		
	12.0000		-0.1444		
	13.0000		-0.1432		
	14.0000		-0.1545		
	15.0000		-0.1618		
	16.0000		-0.1718		
	17.0000		-0.1784		
	18.0000		-0.1821		
	19.0000		-0.1862		
	20.0000		-0.1902		
	21.0000		-0.1920		
	22.0000		-0.1960		
	23.0000		-0.1973		
	24.0000		-0.2006		
	25.0000		-0.2032		
	26.0000		-0.2044		
	27.0000		-0.2052		
	28.0000		-0.2050		
	29.0000		-0.2035		
	30.0000		-0.2012		
	31.0000		-0.2000		
	32.0000		-0.1976		
	33.0000		-0.1970		
	34.0000		-0.1970		
	35.0000		-0.1976		
	36.0000		-0.1997		
	37.0000		-0.2000		
	38.0000		-0.2000		
	39.0000		-0.1973		
	40.0000		-0.1954		
	41.0000		-0.1956		
	42.0000		-0.1979		
	43.0000		-0.2000		
	44.0000		-0.2000		
	45.0000		-0.2006		
	46.0000		-0.2016		
	47.0000		-0.1997		
	48.0000		-0.2000		
	49.0000		-0.2004		
	50.0000		-0.2020		
	51.0000		-0.2010		
	52.0000		-0.2008		
	53.0000		-0.2020		
	54.0000		-0.2020		
	55.0000		-0.2000		
	56.0000		-0.1988		
	57.0000		-0.1979		
	58.0000		-0.1973		
	59.0000		-0.1966		
	60.0000		-0.1952		
	61.0000		-0.1960		
	62.0000		-0.1970		
	63.0000		-0.1970		
	64.0000		-0.1991		
	65.0000		-0.2016		
	66.0000		-0.2010		
	67.0000		-0.2000		
	68.0000		-0.2000		
	69.0000		-0.2002		
	70.0000		-0.2014		
	71.0000		-0.2023		
	72.0000		-0.2000		
	73.0000		-0.2008		
	74.0000		-0.2040		
	75.0000		-0.2062		
	76.0000		-0.2056		
	77.0000		-0.2068		
	78.0000		-0.2070		
	79.0000		-0.2060		
	80.0000		-0.2044		
	81.0000		-0.2035		
	82.0000		-0.2032		
	83.0000		-0.2044		
	84.0000		-0.2035		
	85.0000		-0.2032		
	86.0000		-0.2020		
	87.0000		-0.2020		
	88.0000		-0.2018		
	89.0000		-0.2002		
	90.0000		-0.2018		
	91.0000		-0.2020		
	92.0000		-0.2020		
	93.0000		-0.2016		
	94.0000		-0.2002		
	95.0000		-0.1994		
	96.0000		-0.2000		
	97.0000		-0.1985		
	98.0000		-0.1991		
	99.0000		-0.1991		
	100.0000		-0.1991		
	101.0000		-0.1968		
	102.0000		-0.1964		
	103.0000		-0.1970		
	104.0000		-0.1970		
	105.0000		-0.1958		
	106.0000		-0.1954		
	107.0000		-0.1962		
	108.0000		-0.1970		
	109.0000		-0.1970		
	110.0000		-0.1970		
	111.0000		-0.1970		
	112.0000		-0.1973		
	113.0000		-0.1970		
	114.0000		-0.1970		
	115.0000		-0.1970		
	116.0000		-0.1976		
	117.0000		-0.1991		
	118.0000		-0.1982		
	119.0000		-0.1970		
	120.0000		-0.1970		
	121.0000		-0.1968		
	122.0000		-0.1970		
	123.0000		-0.1968		
	124.0000		-0.1968		
	125.0000		-0.1966		
	126.0000		-0.1952		
	127.0000		-0.1950		
	128.0000		-0.1956		
	129.0000		-0.1966		
	130.0000		-0.1968		
	131.0000		-0.1976		
	132.0000		-0.1994		
	133.0000		-0.1985		
	134.0000		-0.1991		
	135.0000		-0.1979		
	136.0000		-0.1997		
	137.0000		-0.2012		
	138.0000		-0.2014		
	139.0000		-0.1979		
	140.0000		-0.1976		
	141.0000		-0.2002		
	142.0000		-0.2010		
	143.0000		-0.2020		
	144.0000		-0.2035		
	145.0000		-0.2057		
	146.0000		-0.2091		
	147.0000		-0.2070		
	148.0000		-0.2068		
	149.0000		-0.2062		
	150.0000		-0.2050		
	151.0000		-0.2064		
	152.0000		-0.2060		
	153.0000		-0.2041		
	154.0000		-0.2050		
	155.0000		-0.2026		
	156.0000		-0.1991		
	157.0000		-0.1976		
	158.0000		-0.1970		
	159.0000		-0.1970		
	160.0000		-0.1970		
	161.0000		-0.1962		
	162.0000		-0.1968		
	163.0000		-0.1970		
	164.0000		-0.1958		
	165.0000		-0.1938		
	166.0000		-0.1935		
	167.0000		-0.1958		
	168.0000		-0.1944		
	169.0000		-0.1964		
	170.0000		-0.1970		
	171.0000		-0.1962		
	172.0000		-0.1970		
	173.0000		-0.1973		
	174.0000		-0.1991		
	175.0000		-0.1970		
	176.0000		-0.1970		
	177.0000		-0.1970		
	178.0000		-0.1970		
	179.0000		-0.1962		
	180.0000		-0.1968		
	181.0000		-0.1966		
	182.0000		-0.1950		
	183.0000		-0.1935		
	184.0000		-0.1923		
	185.0000		-0.1920		
	186.0000		-0.1941		
	187.0000		-0.1960		
	188.0000		-0.1950		
	189.0000		-0.1941		
	190.0000		-0.1923		
	191.0000		-0.1920		
	192.0000		-0.1900		
	193.0000		-0.1888		
	194.0000		-0.1870		
	195.0000		-0.1870		
	196.0000		-0.1870		
	197.0000		-0.1876		
	198.0000		-0.1882		
	199.0000		-0.1856		
	200.0000		-0.1866		
	201.0000		-0.1858		
	202.0000		-0.1862		
	203.0000		-0.1870		
	204.0000		-0.1873		
	205.0000		-0.1897		
	206.0000		-0.1885		
	207.0000		-0.1870		
	208.0000		-0.1879		
	209.0000		-0.1891		
	210.0000		-0.1904		
	211.0000		-0.1864		
	212.0000		-0.1481		
	213.0000		-0.1462		
